Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700837267962,15869,4445,-2746,4168583,100
1700837268072,15869,4445,-2746,4168583,100
1700837268178,15869,4445,-2746,4168583,100
1700837268282,15869,4445,-2746,4168583,100
1700837268397,15869,4445,-2746,4168583,100
1700837268503,15869,4445,-2746,4168583,100
1700837268607,15869,4445,-2746,4168583,100
1700837268712,15869,4445,-2746,4168583,100
1700837268816,15869,4445,-2746,4168583,100
1700837268920,15869,4445,-2746,4168583,100
1700837269030,15869,4445,-2746,4168583,100
1700837269135,10681,4445,-2746,4169000,100
1700837269239,10681,4445,-2746,4169000,100
1700837269345,10681,4445,-2746,4169000,100
1700837269450,10681,4445,-2746,4169000,100
1700837269554,10681,4445,-2746,4169000,100
1700837269660,10681,4445,-2746,4169000,100
1700837269765,10681,4445,-2746,4169000,100
1700837269872,10681,4445,-2746,4169000,100
1700837269981,10681,4445,-2746,4169000,100
1700837270093,10681,4445,-2746,4169000,100
1700837270206,10681,4445,-2746,4169000,100
1700837270314,10681,4445,-2746,4169000,100
1700837270420,10681,4445,-2746,4169000,100
1700837270526,10681,4445,-2746,4169000,100
1700837270633,10681,4445,-2746,4169000,100
1700837270740,10681,4445,-2746,4169000,100
1700837270852,10681,4445,-2746,4169000,100
1700837270957,10681,4445,-2746,4169000,100
1700837271062,10681,4445,-2746,4169000,100
1700837271168,10681,4445,-2746,4169000,100
1700837271274,10681,4445,-2746,4169000,100
1700837271379,10681,4445,-2746,4169000,100
1700837271487,10681,4445,-2746,4169000,100
1700837271591,10681,4445,-2746,4169000,100
1700837271698,10681,4445,-2746,4169000,100
1700837271808,10681,4445,-2746,4169000,100
1700837271920,10681,4445,-2746,4169000,100
1700837272027,10681,4445,-2746,4169000,100
1700837272135,10681,4445,-2746,4169000,100
1700837272246,10681,4445,-2746,4169000,100
1700837272356,10681,4445,-2746,4169000,100
1700837272482,10681,4445,-2746,4169000,100
1700837272610,10681,4445,-2746,4169000,100
1700837272719,10681,4445,-2746,4169000,100
1700837272829,10681,4445,-2746,4169000,100
1700837272938,10681,4445,-2746,4169000,100
1700837273047,10681,4445,-2746,4169000,100
1700837273154,10681,4445,-2746,4169000,100
1700837273259,10681,4445,-2746,4169000,100
1700837273375,10681,4445,-2746,4169000,100
1700837273479,10681,4445,-2746,4169000,100
1700837273590,10681,4445,-2746,4169000,100
1700837273696,10681,4445,-2746,4169000,100
1700837273807,10681,4445,-2746,4169000,100
1700837273918,10681,4445,-2746,4169000,100
1700837274044,10681,4445,-2746,4169000,100
1700837274152,10681,4445,-2746,4169000,100
1700837274260,10681,4445,-2746,4169000,100
1700837274365,10681,4445,-2746,4169000,100
1700837274469,10681,4445,-2746,4169000,100
1700837274576,10681,4445,-2746,4169000,100
1700837274685,10681,4445,-2746,4169000,100
1700837274791,10681,4445,-2746,4169000,100
1700837274899,10681,4445,-2746,4169000,100
1700837275005,10681,4445,-2746,4169000,100
1700837275114,10681,4445,-2746,4169000,100
1700837275223,10681,4445,-2746,4169000,100
1700837275331,10681,4445,-2746,4169000,100
1700837275437,10681,4445,-2746,4169000,100
1700837275543,10681,4445,-2746,4169000,100
1700837275648,10681,4445,-2746,4169000,100
1700837275752,10681,4445,-2746,4169000,100
1700837275860,10681,4445,-2746,4169000,100
1700837275975,10681,4445,-2746,4169000,100
1700837276089,10681,4445,-2746,4169000,100
1700837276195,10681,4445,-2746,4169000,100
1700837276309,10681,4445,-2746,4169000,100
1700837276419,10681,4445,-2746,4169000,100
1700837276531,10681,4445,-2746,4169000,100
1700837276641,10681,4445,-2746,4169000,100
1700837276758,10681,4445,-2746,4169000,100
1700837276870,10681,4445,-2746,4169000,100
1700837276984,10681,4445,-2746,4169000,100
1700837277089,10681,4445,-2746,4169000,100
1700837277194,10681,4445,-2746,4169000,100
1700837277301,10681,4445,-2746,4169000,100
1700837277406,10681,4445,-2746,4169000,100
1700837277513,10681,4445,-2746,4169000,100
1700837277622,10681,4445,-2746,4169000,100
1700837277730,10681,4445,-2746,4169000,100
1700837277837,10681,4445,-2746,4169000,100
1700837277946,10681,4445,-2746,4169000,100
1700837278056,10681,4445,-2746,4169000,100
1700837278165,10681,4445,-2746,4169000,100
1700837278278,10681,4445,-2746,4169000,100
1700837278385,10681,4445,-2746,4169000,100
1700837278493,10681,4445,-2746,4169000,100
1700837278611,10681,4445,-2746,4169000,100
1700837278721,10681,4445,-2746,4169000,100
1700837278832,10681,4445,-2746,4169000,100
1700837278942,10681,4445,-2746,4169000,100
1700837279056,10681,4445,-2746,4169000,100
1700837279165,10681,4445,-2746,4169000,100
1700837279270,10681,4445,-2746,4169000,100
1700837279377,10681,4445,-2746,4169000,100
1700837279483,10681,4445,-2746,4169000,100
1700837279592,10681,4445,-2746,4169000,100
1700837279718,10681,4445,-2746,4169000,100
1700837279829,10681,4445,-2746,4169000,100
1700837279941,10681,4445,-2746,4169000,100
1700837280053,10681,4445,-2746,4169000,100
1700837280163,10681,4445,-2746,4169000,100
1700837280269,10681,4445,-2746,4169000,100
1700837280374,10681,4445,-2746,4169000,100
1700837280487,10681,4445,-2746,4169000,100
1700837280596,10681,4445,-2746,4169000,100
1700837280704,10681,4445,-2746,4169000,100
1700837280809,10681,4445,-2746,4169000,100
1700837280914,10681,4445,-2746,4169000,100
1700837281019,10681,4445,-2746,4169000,100
1700837281128,10681,4445,-2746,4169000,100
1700837281234,10681,4445,-2746,4169000,100
1700837281341,10681,4445,-2746,4169000,100
1700837281446,10681,4445,-2746,4169000,100
1700837281552,10681,4445,-2746,4169000,100
1700837281660,10681,4445,-2746,4169000,100
1700837281766,10681,4445,-2746,4169000,100
1700837281882,10681,4445,-2746,4169000,100
1700837281989,10681,4445,-2746,4169000,100
1700837282095,10681,4445,-2746,4169000,100
1700837282204,10681,4445,-2746,4169000,100
1700837282309,10681,4445,-2746,4169000,100
1700837282413,10681,4445,-2746,4169000,100
1700837282521,10681,4445,-2746,4169000,100
1700837282627,10681,4445,-2746,4169000,100
1700837282734,10681,4445,-2746,4169000,100
1700837282843,10681,4445,-2746,4169000,100
1700837282951,10681,4445,-2746,4169000,100
1700837283056,10681,4445,-2746,4169000,100
1700837283163,10681,4445,-2746,4169000,100
1700837283272,10681,4445,-2746,4169000,100
1700837283378,10681,4445,-2746,4169000,100
1700837283485,10681,4445,-2746,4169000,100
1700837283590,10681,4445,-2746,4169000,100
1700837283697,10681,4445,-2746,4169000,100
1700837283801,10681,4445,-2746,4169000,100
1700837283907,10681,4445,-2746,4169000,100
1700837284014,10681,4445,-2746,4169000,100
1700837284122,10681,4445,-2746,4169000,100
1700837284229,10681,4445,-2746,4169000,100
1700837284335,10681,4445,-2746,4169000,100
1700837284443,10681,4445,-2746,4169000,100
1700837284548,10681,4445,-2746,4169000,100
1700837284655,10681,4445,-2746,4169000,100
1700837284762,10681,4445,-2746,4169000,100
1700837284870,10681,4445,-2746,4169000,100
1700837284978,10681,4445,-2746,4169000,100
1700837285083,14648,4445,-2746,4169000,100
1700837285187,14648,4445,-2746,4169000,100
1700837285294,14648,4445,-2746,4169000,100
1700837285399,14648,4445,-2746,4169000,100
1700837285504,14648,4445,-2746,4169000,100
1700837285609,14648,4445,-2746,4169000,100
1700837285715,14648,4445,-2746,4169000,100
1700837285823,14648,4445,-2746,4169000,100
1700837285929,14648,4445,-2746,4169000,100
1700837286037,14648,4445,-2746,4169000,100
1700837286146,14648,4445,-2746,4169000,100
1700837286253,14648,4445,-2746,4169000,100
1700837286359,14648,4445,-2746,4169000,100
1700837286464,14648,4445,-2746,4169000,100
1700837286570,14648,4445,-2746,4169000,100
1700837286675,14648,4445,-2746,4169000,100
1700837286781,14648,4445,-2746,4169000,100
1700837286886,14648,4445,-2746,4169000,100
1700837286993,14648,4445,-2746,4169000,100
1700837287098,14648,4445,-2746,4169000,100
1700837287204,14648,4445,-2746,4169000,100
1700837287309,14648,4445,-2746,4169000,100
1700837287416,14648,4445,-2746,4169000,100
1700837287526,14648,4445,-2746,4169000,100
1700837287631,14648,4445,-2746,4169000,100
1700837287738,14648,4445,-2746,4169000,100
1700837287845,14648,4445,-2746,4169000,100
1700837287951,14648,4445,-2746,4169000,100
1700837288056,14648,4445,-2746,4169000,100
1700837288161,14648,4445,-2746,4169000,100
1700837288267,14648,4445,-2746,4169000,100
1700837288373,14648,4445,-2746,4169000,100
1700837288478,14648,4445,-2746,4169000,100
1700837288586,14648,4445,-2746,4169000,100
1700837288692,14648,4445,-2746,4169000,100
1700837288804,14648,4445,-2746,4169000,100
1700837288920,14648,4445,-2746,4169000,100
1700837289027,14648,4445,-2746,4169000,100
1700837289132,14648,4445,-2746,4169000,100
1700837289239,14648,4445,-2746,4169000,100
1700837289344,14648,4445,-2746,4169000,100
1700837289452,14648,4445,-2746,4169000,100
1700837289557,14648,4445,-2746,4169000,100
1700837289664,14648,4445,-2746,4169000,100
1700837289769,14648,4445,-2746,4169000,100
1700837289874,14648,4445,-2746,4169000,100
1700837289979,14648,4445,-2746,4169000,100
1700837290086,14648,4445,-2746,4169000,100
1700837290192,14648,4445,-2746,4169000,100
1700837290299,14648,4445,-2746,4169000,100
1700837290405,14648,4445,-2746,4169000,100
1700837290509,14648,4445,-2746,4169000,100
1700837290614,14648,4445,-2746,4169000,100
1700837290719,14648,4445,-2746,4169000,100
1700837290823,14648,4445,-2746,4169000,100
1700837290930,14648,4445,-2746,4169000,100
1700837291037,14648,4445,-2746,4169000,100
1700837291141,14648,4445,-2746,4169000,100
1700837291248,14648,4445,-2746,4169000,100
1700837291354,14648,4445,-2746,4169000,100
1700837291459,14648,4445,-2746,4169000,100
1700837291566,14648,4445,-2746,4169000,100
1700837291672,14648,4445,-2746,4169000,100
1700837291779,14648,4445,-2746,4169000,100
1700837291886,14648,4445,-2746,4169000,100
1700837291992,14648,4445,-2746,4169000,100
1700837292097,14648,4445,-2746,4169000,100
1700837292201,14648,4445,-2746,4169000,100
1700837292307,14648,4445,-2746,4169000,100
1700837292412,14648,4445,-2746,4169000,100
1700837292517,14648,4445,-2746,4169000,100
1700837292622,14648,4445,-2746,4169000,100
1700837292727,14648,4445,-2746,4169000,100
1700837292832,14648,4445,-2746,4169000,100
1700837292938,14648,4445,-2746,4169000,100
1700837293046,14648,4445,-2746,4169000,100
1700837293156,14648,4445,-2746,4169000,100
1700837293262,14648,4445,-2746,4169000,100
1700837293367,14648,4445,-2746,4169000,100
1700837293475,14648,4445,-2746,4169000,100
1700837293580,14648,4445,-2746,4169000,100
1700837293686,14648,4445,-2746,4169000,100
1700837293791,14648,4445,-2746,4169000,100
1700837293897,14648,4445,-2746,4169000,100
1700837294003,14648,4445,-2746,4169000,100
1700837294108,14648,4445,-2746,4169000,100
1700837294215,14648,4445,-2746,4169000,100
1700837294319,14648,4445,-2746,4169000,100
1700837294424,14648,4445,-2746,4169000,100
1700837294533,14648,4445,-2746,4169000,100
1700837294645,14648,4445,-2746,4169000,100
1700837294752,14648,4445,-2746,4169000,100
1700837294856,14648,4445,-2746,4169000,100
1700837294961,14648,4445,-2746,4169000,100
1700837295067,14648,4445,-2746,4169000,100
1700837295171,14648,4445,-2746,4169000,100
1700837295276,14648,4445,-2746,4169000,100
1700837295382,14648,4445,-2746,4169000,100
1700837295489,14648,4445,-2746,4169000,100
1700837295597,14648,4445,-2746,4169000,100
1700837295702,14648,4445,-2746,4169000,100
1700837295808,14648,4445,-2746,4169000,100
1700837295917,14648,4445,-2746,4169000,100
1700837296023,14648,4445,-2746,4169000,100
1700837296140,14648,4445,-2746,4169000,100
1700837296247,14648,4445,-2746,4169000,100
1700837296354,14648,4445,-2746,4169000,100
1700837296460,14648,4445,-2746,4169000,100
1700837296567,14648,4445,-2746,4169000,100
1700837296672,14648,4445,-2746,4169000,100
1700837296779,14648,4445,-2746,4169000,100
1700837296884,14648,4445,-2746,4169000,100
1700837296990,14648,4445,-2746,4169000,100
1700837297095,14648,4445,-2746,4169000,100
1700837297201,14648,4445,-2746,4169000,100
1700837297307,14648,4445,-2746,4169000,100
1700837297412,14648,4445,-2746,4169000,100
1700837297517,14648,4445,-2746,4169000,100
1700837297622,14648,4445,-2746,4169000,100
1700837297727,14648,4445,-2746,4169000,100
1700837297831,14648,4445,-2746,4169000,100
1700837297936,14648,4445,-2746,4169000,100
1700837298041,14648,4445,-2746,4169000,100
1700837298147,14648,4445,-2746,4169000,100
1700837298252,14648,4445,-2746,4169000,100
1700837298357,14648,4445,-2746,4169000,100
1700837298463,14648,4445,-2746,4169000,100
1700837298568,14648,4445,-2746,4169000,100
1700837298672,14648,4445,-2746,4169000,100
1700837298778,14648,4445,-2746,4169000,100
1700837298884,14648,4445,-2746,4169000,100
1700837298988,14648,4445,-2746,4169000,100
1700837299094,14648,4445,-2746,4169000,100
1700837299198,14648,4445,-2746,4169000,100
1700837299303,14648,4445,-2746,4169000,100
1700837299409,14648,4445,-2746,4169000,100
1700837299514,14648,4445,-2746,4169000,100
1700837299619,14648,4445,-2746,4169000,100
1700837299724,14648,4445,-2746,4169000,100
1700837299830,14648,4445,-2746,4169000,100
1700837299937,14648,4445,-2746,4169000,100
1700837300044,14648,4445,-2746,4169000,100
1700837300149,14648,4445,-2746,4169000,100
1700837300255,14648,4445,-2746,4169000,100
1700837300360,14648,4445,-2746,4169000,100
1700837300469,14648,4445,-2746,4169000,100
1700837300575,14648,4445,-2746,4169000,100
1700837300680,14648,4445,-2746,4169000,100
1700837300785,14648,4445,-2746,4169000,100
1700837300890,14648,4445,-2746,4169000,100
1700837300995,14648,4445,-2746,4169000,100
1700837301102,15258,4445,-2746,4169000,100
1700837301209,15258,4445,-2746,4169000,100
1700837301315,15258,4445,-2746,4169000,100
1700837301421,15258,4445,-2746,4169000,100
1700837301526,15258,4445,-2746,4169000,100
1700837301636,15258,4445,-2746,4169000,100
1700837301741,15258,4445,-2746,4169000,100
1700837301849,15258,4445,-2746,4169000,100
1700837301955,15258,4445,-2746,4169000,100
1700837302061,15258,4445,-2746,4169000,100
1700837302166,15258,4445,-2746,4169000,100
1700837302272,15258,4445,-2746,4169000,100
1700837302378,15258,4445,-2746,4169000,100
1700837302484,15258,4445,-2746,4169000,100
1700837302589,15258,4445,-2746,4169000,100
1700837302696,15258,4445,-2746,4169000,100
1700837302801,15258,4445,-2746,4169000,100
1700837302914,15258,4445,-2746,4169000,100
1700837303022,15258,4445,-2746,4169000,100
1700837303127,15258,4445,-2746,4169000,100
1700837303236,15258,4445,-2746,4169000,100
1700837303339,15258,4445,-2746,4169000,100
1700837303444,15258,4445,-2746,4169000,100
1700837303549,15258,4445,-2746,4169000,100
1700837303654,15258,4445,-2746,4169000,100
1700837303760,15258,4445,-2746,4169000,100
1700837303865,15258,4445,-2746,4169000,100
1700837303970,15258,4445,-2746,4169000,100
1700837304076,15258,4445,-2746,4169000,100
1700837304182,15258,4445,-2746,4169000,100
1700837304287,15258,4445,-2746,4169000,100
1700837304392,15258,4445,-2746,4169000,100
1700837304499,15258,4445,-2746,4169000,100
1700837304606,15258,4445,-2746,4169000,100
1700837304712,15258,4445,-2746,4169000,100
1700837304818,15258,4445,-2746,4169000,100
1700837304923,15258,4445,-2746,4169000,100
1700837305029,15258,4445,-2746,4169000,100
1700837305133,15258,4445,-2746,4169000,100
1700837305238,15258,4445,-2746,4169000,100
1700837305343,15258,4445,-2746,4169000,100
1700837305448,15258,4445,-2746,4169000,100
1700837305552,15258,4445,-2746,4169000,100
1700837305658,15258,4445,-2746,4169000,100
1700837305763,15258,4445,-2746,4169000,100
1700837305869,15258,4445,-2746,4169000,100
1700837305974,15258,4445,-2746,4169000,100
1700837306080,15258,4445,-2746,4169000,100
1700837306185,15258,4445,-2746,4169000,100
1700837306290,15258,4445,-2746,4169000,100
1700837306396,15258,4445,-2746,4169000,100
1700837306503,15258,4445,-2746,4169000,100
1700837306609,15258,4445,-2746,4169000,100
1700837306714,15258,4445,-2746,4169000,100
1700837306818,15258,4445,-2746,4169000,100
1700837306925,15258,4445,-2746,4169000,100
1700837307030,15258,4445,-2746,4169000,100
1700837307136,15258,4445,-2746,4169000,100
1700837307242,15258,4445,-2746,4169000,100
1700837307349,15258,4445,-2746,4169000,100
1700837307455,15258,4445,-2746,4169000,100
1700837307561,15258,4445,-2746,4169000,100
1700837307667,15258,4445,-2746,4169000,100
1700837307773,15258,4445,-2746,4169000,100
1700837307879,15258,4445,-2746,4169000,100
1700837307983,15258,4445,-2746,4169000,100
1700837308088,15258,4445,-2746,4169000,100
1700837308192,15258,4445,-2746,4169000,100
1700837308298,15258,4445,-2746,4169000,100
1700837308402,15258,4445,-2746,4169000,100
1700837308507,15258,4445,-2746,4169000,100
1700837308613,15258,4445,-2746,4169000,100
1700837308724,15258,4445,-2746,4169000,100
1700837308831,15258,4445,-2746,4169000,100
1700837308938,15258,4445,-2746,4169000,100
1700837309044,15258,4445,-2746,4169000,100
1700837309149,15258,4445,-2746,4169000,100
1700837309254,15258,4445,-2746,4169000,100
1700837309359,15258,4445,-2746,4169000,100
1700837309463,15258,4445,-2746,4169000,100
1700837309568,15258,4445,-2746,4169000,100
1700837309672,15258,4445,-2746,4169000,100
1700837309778,15258,4445,-2746,4169000,100
1700837309883,15258,4445,-2746,4169000,100
1700837309989,15258,4445,-2746,4169000,100
1700837310093,15258,4445,-2746,4169000,100
1700837310199,15258,4445,-2746,4169000,100
1700837310303,15258,4445,-2746,4169000,100
1700837310409,15258,4445,-2746,4169000,100
1700837310514,15258,4445,-2746,4169000,100
1700837310619,15258,4445,-2746,4169000,100
1700837310724,15258,4445,-2746,4169000,100
1700837310829,15258,4445,-2746,4169000,100
1700837310937,15258,4445,-2746,4169000,100
1700837311041,15258,4445,-2746,4169000,100
1700837311147,15258,4445,-2746,4169000,100
1700837311252,15258,4445,-2746,4169000,100
1700837311358,15258,4445,-2746,4169000,100
1700837311463,15258,4445,-2746,4169000,100
1700837311569,15258,4445,-2746,4169000,100
1700837311675,15258,4445,-2746,4169000,100
1700837311781,15258,4445,-2746,4169000,100
1700837311888,15258,4445,-2746,4169000,100
1700837311996,15258,4445,-2746,4169000,100
1700837312102,15258,4445,-2746,4169000,100
1700837312207,15258,4445,-2746,4169000,100
1700837312311,15258,4445,-2746,4169000,100
1700837312418,15258,4445,-2746,4169000,100
1700837312524,15258,4445,-2746,4169000,100
1700837312629,15258,4445,-2746,4169000,100
1700837312735,15258,4445,-2746,4169000,100
1700837312840,15258,4445,-2746,4169000,100
1700837312947,15258,4445,-2746,4169000,100
1700837313056,15258,4445,-2746,4169000,100
1700837313162,15258,4445,-2746,4169000,100
1700837313267,15258,4445,-2746,4169000,100
1700837313374,15258,4445,-2746,4169000,100
1700837313478,15258,4445,-2746,4169000,100
1700837313582,15258,4445,-2746,4169000,100
1700837313686,15258,4445,-2746,4169000,100
1700837313791,15258,4445,-2746,4169000,100
1700837313896,15258,4445,-2746,4169000,100
1700837314003,15258,4445,-2746,4169000,100
