device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,13427.0,4441.0,11619.17808219178,1.6211155432385,1.6213477898657533,0.0516007698630137
pixel5g,com-chrome-canary,1,100.0,4169000.0,13427.0,4441.0,10757.188498402556,3.233412717125,3.2330157211661343,0.047772674121405755
pixel5g,com-chrome-canary,2,100.0,4169000.0,13427.0,4441.0,11257.5568369028,3.385652533091,3.387498335253821,0.049994809912685345
pixel5g,com-chrome-canary,3,100.0,4169000.0,13427.0,4441.0,9364.559726962458,1.3028541027145,1.3069863823328056,0.04158800974744028
pixel5g,com-chrome-canary,4,100.0,4169000.0,13427.0,4441.0,13128.401913875598,3.9525263606875,3.9538337390810523,0.05830323289952153
pixel5g,com-chrome-canary,5,100.0,4169000.0,13427.0,4441.0,13151.484896661368,3.9610060549385,3.961836861653819,0.05840574442607314
pixel5g,com-chrome-canary,6,100.0,4169000.0,13427.0,4441.0,13192.421974522293,3.9664575090070002,3.9661425132614276,0.05858754598885352
pixel5g,com-chrome-canary,7,100.0,4169000.0,13427.0,4441.0,12049.113402061856,1.6855057709964998,1.686424709286433,0.053510112618556704
pixel5g,com-chrome-canary,8,100.0,4169000.0,13427.0,4441.0,13825.178343949045,4.167254179779,4.169020991263988,0.06139761702547772
pixel5g,com-chrome-canary,9,100.0,4169000.0,13427.0,4441.0,13498.743630573248,4.059215001749999,4.059972913382126,0.0599479204633758
