Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700924377139,11596,4441,13427,4169000,100
1700924377250,11596,4441,13427,4169000,100
1700924377359,11596,4441,13427,4169000,100
1700924377469,11596,4441,13427,4169000,100
1700924377576,11596,4441,13427,4169000,100
1700924377682,11596,4441,13427,4169000,100
1700924377787,11596,4441,13427,4169000,100
1700924377891,11596,4441,13427,4169000,100
1700924377997,11596,4441,13427,4169000,100
1700924378103,11596,4441,13427,4169000,100
1700924378207,11596,4441,13427,4169000,100
1700924378313,11596,4441,13427,4169000,100
1700924378419,11596,4441,13427,4169000,100
1700924378525,11596,4441,13427,4169000,100
1700924378632,11596,4441,13427,4169000,100
1700924378738,11596,4441,13427,4169000,100
1700924378844,11596,4441,13427,4169000,100
1700924378949,11596,4441,13427,4169000,100
1700924379060,11596,4441,13427,4169000,100
1700924379168,11596,4441,13427,4169000,100
1700924379275,11596,4441,13427,4169000,100
1700924379381,11596,4441,13427,4169000,100
1700924379496,11596,4441,13427,4169000,100
1700924379608,11596,4441,13427,4169000,100
1700924379725,11596,4441,13427,4169000,100
1700924379847,11596,4441,13427,4169000,100
1700924379955,11596,4441,13427,4169000,100
1700924380077,11596,4441,13427,4169000,100
1700924380186,11596,4441,13427,4169000,100
1700924380304,11596,4441,13427,4169000,100
1700924380422,11596,4441,13427,4169000,100
1700924380549,11596,4441,13427,4169000,100
1700924380663,11596,4441,13427,4169000,100
1700924380775,11596,4441,13427,4169000,100
1700924380886,11596,4441,13427,4169000,100
1700924381002,11596,4441,13427,4169000,100
1700924381111,11596,4441,13427,4169000,100
1700924381220,11596,4441,13427,4169000,100
1700924381332,11596,4441,13427,4169000,100
1700924381444,11596,4441,13427,4169000,100
1700924381552,11596,4441,13427,4169000,100
1700924381661,11596,4441,13427,4169000,100
1700924381771,11596,4441,13427,4169000,100
1700924381880,11596,4441,13427,4169000,100
1700924381983,11596,4441,13427,4169000,100
1700924382096,11596,4441,13427,4169000,100
1700924382211,11596,4441,13427,4169000,100
1700924382327,11596,4441,13427,4169000,100
1700924382436,11596,4441,13427,4169000,100
1700924382556,11596,4441,13427,4169000,100
1700924382671,11596,4441,13427,4169000,100
1700924382781,11596,4441,13427,4169000,100
1700924382894,11596,4441,13427,4169000,100
1700924383004,11596,4441,13427,4169000,100
1700924383116,11596,4441,13427,4169000,100
1700924383224,11596,4441,13427,4169000,100
1700924383335,11596,4441,13427,4169000,100
1700924383447,11596,4441,13427,4169000,100
1700924383558,11596,4441,13427,4169000,100
1700924383672,11596,4441,13427,4169000,100
1700924383787,11596,4441,13427,4169000,100
1700924383898,11596,4441,13427,4169000,100
1700924384005,11596,4441,13427,4169000,100
1700924384111,11596,4441,13427,4169000,100
1700924384218,11596,4441,13427,4169000,100
1700924384328,11596,4441,13427,4169000,100
1700924384434,11596,4441,13427,4169000,100
1700924384549,11596,4441,13427,4169000,100
1700924384660,11596,4441,13427,4169000,100
1700924384770,11596,4441,13427,4169000,100
1700924384875,11596,4441,13427,4169000,100
1700924384983,11596,4441,13427,4169000,100
1700924385094,11596,4441,13427,4169000,100
1700924385213,11596,4441,13427,4169000,100
1700924385333,11596,4441,13427,4169000,100
1700924385440,11596,4441,13427,4169000,100
1700924385549,11596,4441,13427,4169000,100
1700924385658,11596,4441,13427,4169000,100
1700924385770,11596,4441,13427,4169000,100
1700924385876,11596,4441,13427,4169000,100
1700924385987,11596,4441,13427,4169000,100
1700924386101,11596,4441,13427,4169000,100
1700924386208,11596,4441,13427,4169000,100
1700924386314,11596,4441,13427,4169000,100
1700924386421,11596,4441,13427,4169000,100
1700924386529,11596,4441,13427,4169000,100
1700924386637,11596,4441,13427,4169000,100
1700924386743,11596,4441,13427,4169000,100
1700924386853,11596,4441,13427,4169000,100
1700924386960,11596,4441,13427,4169000,100
1700924387067,11596,4441,13427,4169000,100
1700924387176,11596,4441,13427,4169000,100
1700924387289,11596,4441,13427,4169000,100
1700924387394,11596,4441,13427,4169000,100
1700924387500,11596,4441,13427,4169000,100
1700924387609,11596,4441,13427,4169000,100
1700924387717,11596,4441,13427,4169000,100
1700924387824,11596,4441,13427,4169000,100
1700924387934,11596,4441,13427,4169000,100
1700924388043,12512,4441,13427,4169000,100
1700924388152,12512,4441,13427,4169000,100
1700924388258,12512,4441,13427,4169000,100
1700924388365,12512,4441,13427,4169000,100
1700924388471,12512,4441,13427,4169000,100
1700924388578,12512,4441,13427,4169000,100
1700924388683,12512,4441,13427,4169000,100
1700924388790,12512,4441,13427,4169000,100
1700924388896,12512,4441,13427,4169000,100
1700924389001,12512,4441,13427,4169000,100
1700924389107,12512,4441,13427,4169000,100
1700924389212,12512,4441,13427,4169000,100
1700924389320,12512,4441,13427,4169000,100
1700924389428,12512,4441,13427,4169000,100
1700924389535,12512,4441,13427,4169000,100
1700924389643,12512,4441,13427,4169000,100
1700924389749,12512,4441,13427,4169000,100
1700924389856,12512,4441,13427,4169000,100
1700924389961,12512,4441,13427,4169000,100
1700924390069,12512,4441,13427,4169000,100
1700924390174,12512,4441,13427,4169000,100
1700924390280,12512,4441,13427,4169000,100
1700924390386,12512,4441,13427,4169000,100
1700924390491,12512,4441,13427,4169000,100
1700924390597,12512,4441,13427,4169000,100
1700924390704,12512,4441,13427,4169000,100
1700924390809,12512,4441,13427,4169000,100
1700924390916,12512,4441,13427,4169000,100
1700924391022,12512,4441,13427,4169000,100
1700924391130,12512,4441,13427,4169000,100
1700924391239,12512,4441,13427,4169000,100
1700924391346,12512,4441,13427,4169000,100
1700924391452,12512,4441,13427,4169000,100
1700924391558,12512,4441,13427,4169000,100
1700924391664,12512,4441,13427,4169000,100
1700924391771,12512,4441,13427,4169000,100
1700924391876,12512,4441,13427,4169000,100
1700924391982,12512,4441,13427,4169000,100
1700924392087,12512,4441,13427,4169000,100
1700924392193,12512,4441,13427,4169000,100
1700924392298,12512,4441,13427,4169000,100
1700924392403,12512,4441,13427,4169000,100
1700924392510,12512,4441,13427,4169000,100
1700924392616,12512,4441,13427,4169000,100
1700924392722,12512,4441,13427,4169000,100
1700924392828,12512,4441,13427,4169000,100
1700924392933,12512,4441,13427,4169000,100
1700924393041,12512,4441,13427,4169000,100
1700924393151,12512,4441,13427,4169000,100
1700924393256,12512,4441,13427,4169000,100
1700924393361,12512,4441,13427,4169000,100
1700924393466,12512,4441,13427,4169000,100
1700924393578,12512,4441,13427,4169000,100
1700924393686,12512,4441,13427,4169000,100
1700924393791,12512,4441,13427,4169000,100
1700924393897,12512,4441,13427,4169000,100
1700924394002,12512,4441,13427,4169000,100
1700924394107,12512,4441,13427,4169000,100
1700924394212,12512,4441,13427,4169000,100
1700924394317,12512,4441,13427,4169000,100
1700924394421,12512,4441,13427,4169000,100
1700924394527,12512,4441,13427,4169000,100
1700924394632,12512,4441,13427,4169000,100
1700924394738,12512,4441,13427,4169000,100
1700924394851,12512,4441,13427,4169000,100
1700924394960,12512,4441,13427,4169000,100
1700924395071,12512,4441,13427,4169000,100
1700924395184,12512,4441,13427,4169000,100
1700924395295,12512,4441,13427,4169000,100
1700924395407,12512,4441,13427,4169000,100
1700924395519,12512,4441,13427,4169000,100
1700924395627,12512,4441,13427,4169000,100
1700924395731,12512,4441,13427,4169000,100
1700924395833,12512,4441,13427,4169000,100
1700924395939,12512,4441,13427,4169000,100
1700924396066,12512,4441,13427,4169000,100
1700924396181,12512,4441,13427,4169000,100
1700924396295,12512,4441,13427,4169000,100
1700924396407,12512,4441,13427,4169000,100
1700924396517,12512,4441,13427,4169000,100
1700924396627,12512,4441,13427,4169000,100
1700924396735,12512,4441,13427,4169000,100
1700924396862,12512,4441,13427,4169000,100
1700924396975,12512,4441,13427,4169000,100
