device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,-2746.0,4444.0,10687.02840909091,6.195347416632,6.19581442399225,0.04749315425
pixel5g,com-chrome-canary,1,100.0,4169000.0,-2746.0,4444.0,10994.74530612245,6.3757590136680005,6.376461164267687,0.04886064814040818
pixel5g,com-chrome-canary,2,100.0,4169000.0,-2746.0,4444.0,10724.748780487806,6.219092279686,6.218111790611923,0.04766078358048781
pixel5g,com-chrome-canary,3,100.0,4169000.0,-2746.0,4444.0,12244.569560047563,14.532247169946,14.53317712657243,0.05441486712485137
pixel5g,com-chrome-canary,4,100.0,4169000.0,-2746.0,4444.0,11097.648780487805,6.444432814490001,6.445806901338577,0.04931795118048781
pixel5g,com-chrome-canary,5,100.0,4169000.0,-2746.0,4444.0,11851.942810457516,6.870259863082,6.870437225452923,0.052670033849673205
pixel5g,com-chrome-canary,6,100.0,4169000.0,-2746.0,4444.0,11587.007352941177,6.715994680032,6.715981761389353,0.05149266067647059
pixel5g,com-chrome-canary,7,100.0,4169000.0,-2746.0,4444.0,11588.887162714636,6.72028040475,6.720109883700786,0.05150101455110385
pixel5g,com-chrome-canary,8,100.0,4169000.0,-2746.0,4444.0,11204.062475129327,13.285567821459999,13.285195568084648,0.04979085363947473
pixel5g,com-chrome-canary,9,100.0,4169000.0,-2746.0,4444.0,11649.766721044045,6.753195472914001,6.754480550146552,0.051771563308319744
