datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 15:28:06 UTC 2023,31,169343,4.14 MB (94.84 KB is purgeable),1804800
Fri Nov 24 15:28:07 UTC 2023,31,176808,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:08 UTC 2023,31,174977,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:10 UTC 2023,31,173556,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:12 UTC 2023,31,161203,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:14 UTC 2023,31,161179,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:15 UTC 2023,31,160061,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:16 UTC 2023,31,160473,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:18 UTC 2023,31,160317,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:19 UTC 2023,31,160545,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:21 UTC 2023,31,161443,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:22 UTC 2023,31,161435,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:23 UTC 2023,31,161203,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:25 UTC 2023,31,161183,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:26 UTC 2023,31,161091,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:28 UTC 2023,31,161071,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:29 UTC 2023,31,161095,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:30 UTC 2023,31,161303,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:32 UTC 2023,31,161295,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:33 UTC 2023,31,161287,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:35 UTC 2023,31,161227,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:36 UTC 2023,31,161207,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:37 UTC 2023,31,160839,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 15:28:39 UTC 2023,31,160819,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:40 UTC 2023,31,160823,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:42 UTC 2023,31,160827,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:43 UTC 2023,31,160815,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:44 UTC 2023,31,160826,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:46 UTC 2023,31,160818,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:47 UTC 2023,31,160814,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:49 UTC 2023,31,160818,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:50 UTC 2023,31,160814,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:51 UTC 2023,31,160834,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:53 UTC 2023,31,160814,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:54 UTC 2023,31,160818,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:56 UTC 2023,31,160818,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:57 UTC 2023,31,160802,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:28:59 UTC 2023,31,160818,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:00 UTC 2023,31,160802,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:01 UTC 2023,31,160814,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:03 UTC 2023,31,160802,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:04 UTC 2023,31,159326,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:06 UTC 2023,31,159534,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:07 UTC 2023,31,159497,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:08 UTC 2023,31,159353,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:10 UTC 2023,31,159398,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:11 UTC 2023,31,159394,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:13 UTC 2023,31,159330,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:14 UTC 2023,31,159322,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:15 UTC 2023,31,159618,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:17 UTC 2023,31,159326,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:18 UTC 2023,31,159326,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:20 UTC 2023,31,159334,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:21 UTC 2023,31,159334,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:23 UTC 2023,31,159350,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:24 UTC 2023,31,159342,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:25 UTC 2023,31,159346,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:27 UTC 2023,31,159334,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 15:29:28 UTC 2023,31,159334,4.42 MB (383.86 KB is purgeable),1804800
