Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700838924573,6408,4444,-2746,4169000,100
1700838924678,6408,4444,-2746,4169000,100
1700838924791,6408,4444,-2746,4169000,100
1700838924897,6408,4444,-2746,4169000,100
1700838925001,6408,4444,-2746,4169000,100
1700838925107,6408,4444,-2746,4169000,100
1700838925212,6408,4444,-2746,4169000,100
1700838925317,6408,4444,-2746,4169000,100
1700838925421,6408,4444,-2746,4169000,100
1700838925525,6408,4444,-2746,4169000,100
1700838925630,6408,4444,-2746,4169000,100
1700838925735,6408,4444,-2746,4169000,100
1700838925842,6408,4444,-2746,4169000,100
1700838925947,6408,4444,-2746,4169000,100
1700838926052,6408,4444,-2746,4169000,100
1700838926159,6408,4444,-2746,4169000,100
1700838926266,6408,4444,-2746,4169000,100
1700838926378,6408,4444,-2746,4169000,100
1700838926489,6408,4444,-2746,4169000,100
1700838926593,6408,4444,-2746,4169000,100
1700838926700,6408,4444,-2746,4169000,100
1700838926805,6408,4444,-2746,4169000,100
1700838926917,6408,4444,-2746,4169000,100
1700838927027,6408,4444,-2746,4169000,100
1700838927134,6408,4444,-2746,4169000,100
1700838927240,6408,4444,-2746,4169000,100
1700838927358,6408,4444,-2746,4169000,100
1700838927466,6408,4444,-2746,4169000,100
1700838927579,6408,4444,-2746,4169000,100
1700838927692,6408,4444,-2746,4169000,100
1700838927804,6408,4444,-2746,4169000,100
1700838927911,6408,4444,-2746,4169000,100
1700838928019,6408,4444,-2746,4169000,100
1700838928132,6408,4444,-2746,4169000,100
1700838928242,6408,4444,-2746,4169000,100
1700838928348,6408,4444,-2746,4169000,100
1700838928457,6408,4444,-2746,4169000,100
1700838928562,6408,4444,-2746,4169000,100
1700838928669,6408,4444,-2746,4169000,100
1700838928776,6408,4444,-2746,4169000,100
1700838928887,6408,4444,-2746,4169000,100
1700838928995,6408,4444,-2746,4169000,100
1700838929100,6408,4444,-2746,4169000,100
1700838929207,6408,4444,-2746,4169000,100
1700838929316,6408,4444,-2746,4169000,100
1700838929423,6408,4444,-2746,4169000,100
1700838929528,6408,4444,-2746,4169000,100
1700838929638,6408,4444,-2746,4169000,100
1700838929743,6408,4444,-2746,4169000,100
1700838929857,6408,4444,-2746,4169000,100
1700838929967,6408,4444,-2746,4169000,100
1700838930078,6408,4444,-2746,4169000,100
1700838930189,6408,4444,-2746,4169000,100
1700838930304,6408,4444,-2746,4169000,100
1700838930412,6408,4444,-2746,4169000,100
1700838930519,6408,4444,-2746,4169000,100
1700838930624,6408,4444,-2746,4169000,100
1700838930733,6408,4444,-2746,4169000,100
1700838930841,6408,4444,-2746,4169000,100
1700838930948,6408,4444,-2746,4169000,100
1700838931056,6408,4444,-2746,4169000,100
1700838931165,6408,4444,-2746,4169000,100
1700838931270,6408,4444,-2746,4169000,100
1700838931378,6408,4444,-2746,4169000,100
1700838931493,6408,4444,-2746,4169000,100
1700838931600,6408,4444,-2746,4169000,100
1700838931716,6408,4444,-2746,4169000,100
1700838931838,7934,4444,-2746,4169000,100
1700838931943,7934,4444,-2746,4169000,100
1700838932048,7934,4444,-2746,4169000,100
1700838932153,7934,4444,-2746,4169000,100
1700838932262,7934,4444,-2746,4169000,100
1700838932367,7934,4444,-2746,4169000,100
1700838932472,7934,4444,-2746,4169000,100
1700838932578,7934,4444,-2746,4169000,100
1700838932684,7934,4444,-2746,4169000,100
1700838932790,7934,4444,-2746,4169000,100
1700838932896,7934,4444,-2746,4169000,100
1700838933000,7934,4444,-2746,4169000,100
1700838933107,7934,4444,-2746,4169000,100
1700838933212,7934,4444,-2746,4169000,100
1700838933318,7934,4444,-2746,4169000,100
1700838933422,7934,4444,-2746,4169000,100
1700838933528,7934,4444,-2746,4169000,100
1700838933633,7934,4444,-2746,4169000,100
1700838933740,7934,4444,-2746,4169000,100
1700838933844,7934,4444,-2746,4169000,100
1700838933950,7934,4444,-2746,4169000,100
1700838934054,7934,4444,-2746,4169000,100
1700838934160,7934,4444,-2746,4169000,100
1700838934264,7934,4444,-2746,4169000,100
1700838934368,7934,4444,-2746,4169000,100
1700838934473,7934,4444,-2746,4169000,100
1700838934576,7934,4444,-2746,4169000,100
1700838934681,7934,4444,-2746,4169000,100
1700838934786,7934,4444,-2746,4169000,100
1700838934890,7934,4444,-2746,4169000,100
