datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 16:00:39 UTC 2023,34,145103,4.14 MB (94.84 KB is purgeable),1363200
Fri Nov 24 16:00:41 UTC 2023,34,152970,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:00:42 UTC 2023,34,164989,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:00:44 UTC 2023,34,173016,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:00:45 UTC 2023,34,143071,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:00:46 UTC 2023,34,141207,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:00:48 UTC 2023,34,141021,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:00:49 UTC 2023,34,141213,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:00:51 UTC 2023,34,141201,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:00:53 UTC 2023,34,141477,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:00:54 UTC 2023,34,142447,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:00:56 UTC 2023,34,142431,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:00:57 UTC 2023,34,142075,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:00:58 UTC 2023,34,142059,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:01:00 UTC 2023,34,142063,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:01:01 UTC 2023,34,142047,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:01:03 UTC 2023,34,142135,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:01:04 UTC 2023,34,142187,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:01:06 UTC 2023,34,142167,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:01:07 UTC 2023,34,142187,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:01:09 UTC 2023,34,142267,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:01:10 UTC 2023,34,142250,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:01:11 UTC 2023,34,141854,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 16:01:13 UTC 2023,34,141858,4.16 MB (111.86 KB is purgeable),1363200
