Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700841335517,13427,4443,-2746,4169000,100
1700841335623,13427,4443,-2746,4169000,100
1700841335734,13427,4443,-2746,4169000,100
1700841335838,13427,4443,-2746,4169000,100
1700841335943,13427,4443,-2746,4169000,100
1700841336048,13427,4443,-2746,4169000,100
1700841336152,13427,4443,-2746,4169000,100
1700841336256,13427,4443,-2746,4169000,100
1700841336360,13427,4443,-2746,4169000,100
1700841336465,13427,4443,-2746,4169000,100
1700841336568,13427,4443,-2746,4169000,100
1700841336672,13427,4443,-2746,4169000,100
1700841336777,13427,4443,-2746,4169000,100
1700841336881,13427,4443,-2746,4169000,100
1700841336984,13427,4443,-2746,4169000,100
1700841337090,13427,4443,-2746,4169000,100
1700841337195,13427,4443,-2746,4169000,100
1700841337300,13427,4443,-2746,4169000,100
1700841337405,13427,4443,-2746,4169000,100
1700841337514,13427,4443,-2746,4169000,100
1700841337620,13427,4443,-2746,4169000,100
1700841337727,13427,4443,-2746,4169000,100
1700841337837,13427,4443,-2746,4169000,100
1700841337945,13427,4443,-2746,4169000,100
1700841338052,13427,4443,-2746,4169000,100
1700841338157,13427,4443,-2746,4169000,100
1700841338264,13427,4443,-2746,4169000,100
1700841338373,13427,4443,-2746,4169000,100
1700841338483,13427,4443,-2746,4169000,100
1700841338589,13427,4443,-2746,4169000,100
1700841338695,13427,4443,-2746,4169000,100
1700841338799,13427,4443,-2746,4169000,100
1700841338902,13427,4443,-2746,4169000,100
1700841339010,13427,4443,-2746,4169000,100
1700841339118,13427,4443,-2746,4169000,100
1700841339222,13427,4443,-2746,4169000,100
1700841339326,13427,4443,-2746,4169000,100
1700841339428,13427,4443,-2746,4169000,100
1700841339538,13427,4443,-2746,4169000,100
1700841339645,13427,4443,-2746,4169000,100
1700841339761,13427,4443,-2746,4169000,100
1700841339875,13427,4443,-2746,4169000,100
1700841339988,13427,4443,-2746,4169000,100
1700841340096,13427,4443,-2746,4169000,100
1700841340205,13427,4443,-2746,4169000,100
1700841340310,13427,4443,-2746,4169000,100
1700841340421,13427,4443,-2746,4169000,100
1700841340529,13427,4443,-2746,4169000,100
1700841340653,13427,4443,-2746,4169000,100
1700841340759,13427,4443,-2746,4169000,100
1700841340867,13427,4443,-2746,4169000,100
1700841340982,13427,4443,-2746,4169000,100
1700841341086,13427,4443,-2746,4169000,100
1700841341203,13427,4443,-2746,4169000,100
1700841341310,13427,4443,-2746,4169000,100
1700841341420,13427,4443,-2746,4169000,100
1700841341528,13427,4443,-2746,4169000,100
1700841341647,13427,4443,-2746,4169000,100
1700841341757,13427,4443,-2746,4169000,100
1700841341863,13427,4443,-2746,4169000,100
1700841341971,13427,4443,-2746,4169000,100
1700841342078,13427,4443,-2746,4169000,100
1700841342186,13427,4443,-2746,4169000,100
1700841342295,13427,4443,-2746,4169000,100
1700841342401,13427,4443,-2746,4169000,100
1700841342508,13427,4443,-2746,4169000,100
1700841342621,13427,4443,-2746,4169000,100
1700841342728,13427,4443,-2746,4169000,100
1700841342850,13427,4443,-2746,4169000,100
1700841342958,13427,4443,-2746,4169000,100
1700841343063,13427,4443,-2746,4169000,100
1700841343169,13427,4443,-2746,4169000,100
1700841343274,13427,4443,-2746,4169000,100
1700841343380,13427,4443,-2746,4169000,100
1700841343489,13427,4443,-2746,4169000,100
1700841343597,13427,4443,-2746,4169000,100
1700841343703,13427,4443,-2746,4169000,100
1700841343817,13427,4443,-2746,4169000,100
1700841343923,13427,4443,-2746,4169000,100
1700841344030,13427,4443,-2746,4169000,100
1700841344136,13427,4443,-2746,4169000,100
1700841344244,13427,4443,-2746,4169000,100
1700841344352,13427,4443,-2746,4169000,100
1700841344456,13427,4443,-2746,4169000,100
1700841344565,13427,4443,-2746,4169000,100
1700841344670,13427,4443,-2746,4169000,100
1700841344775,13427,4443,-2746,4169000,100
1700841344879,13427,4443,-2746,4169000,100
1700841344986,13427,4443,-2746,4169000,100
1700841345091,13427,4443,-2746,4169000,100
1700841345198,13427,4443,-2746,4169000,100
1700841345304,13427,4443,-2746,4169000,100
1700841345410,13427,4443,-2746,4169000,100
1700841345517,13427,4443,-2746,4169000,100
1700841345621,13122,4443,-2746,4169000,100
1700841345729,13122,4443,-2746,4169000,100
1700841345837,13122,4443,-2746,4169000,100
1700841345944,13122,4443,-2746,4169000,100
1700841346050,13122,4443,-2746,4169000,100
1700841346157,13122,4443,-2746,4169000,100
1700841346261,13122,4443,-2746,4169000,100
1700841346367,13122,4443,-2746,4169000,100
1700841346470,13122,4443,-2746,4169000,100
1700841346574,13122,4443,-2746,4169000,100
1700841346679,13122,4443,-2746,4169000,100
1700841346783,13122,4443,-2746,4169000,100
1700841346891,13122,4443,-2746,4169000,100
1700841346995,13122,4443,-2746,4169000,100
1700841347104,13122,4443,-2746,4169000,100
1700841347208,13122,4443,-2746,4169000,100
1700841347314,13122,4443,-2746,4169000,100
1700841347419,13122,4443,-2746,4169000,100
1700841347527,13122,4443,-2746,4169000,100
1700841347631,13122,4443,-2746,4169000,100
1700841347739,13122,4443,-2746,4169000,100
1700841347843,13122,4443,-2746,4169000,100
1700841347950,13122,4443,-2746,4169000,100
1700841348057,13122,4443,-2746,4169000,100
1700841348163,13122,4443,-2746,4169000,100
1700841348267,13122,4443,-2746,4169000,100
1700841348373,13122,4443,-2746,4169000,100
1700841348479,13122,4443,-2746,4169000,100
1700841348588,13122,4443,-2746,4169000,100
1700841348696,13122,4443,-2746,4169000,100
1700841348803,13122,4443,-2746,4169000,100
1700841348909,13122,4443,-2746,4169000,100
1700841349014,13122,4443,-2746,4169000,100
1700841349120,13122,4443,-2746,4169000,100
1700841349224,13122,4443,-2746,4169000,100
1700841349329,13122,4443,-2746,4169000,100
1700841349434,13122,4443,-2746,4169000,100
1700841349540,13122,4443,-2746,4169000,100
1700841349644,13122,4443,-2746,4169000,100
1700841349748,13122,4443,-2746,4169000,100
1700841349854,13122,4443,-2746,4169000,100
1700841349958,13122,4443,-2746,4169000,100
1700841350063,13122,4443,-2746,4169000,100
1700841350168,13122,4443,-2746,4169000,100
1700841350273,13122,4443,-2746,4169000,100
1700841350378,13122,4443,-2746,4169000,100
1700841350482,13122,4443,-2746,4169000,100
1700841350587,13122,4443,-2746,4169000,100
1700841350691,13122,4443,-2746,4169000,100
1700841350796,13122,4443,-2746,4169000,100
1700841350900,13122,4443,-2746,4169000,100
1700841351004,13122,4443,-2746,4169000,100
1700841351110,13122,4443,-2746,4169000,100
1700841351214,13122,4443,-2746,4169000,100
1700841351319,13122,4443,-2746,4169000,100
1700841351424,13122,4443,-2746,4169000,100
1700841351531,13122,4443,-2746,4169000,100
1700841351637,13122,4443,-2746,4169000,100
1700841351740,13122,4443,-2746,4169000,100
1700841351844,13122,4443,-2746,4169000,100
1700841351948,13122,4443,-2746,4169000,100
1700841352052,13122,4443,-2746,4169000,100
1700841352156,13122,4443,-2746,4169000,100
1700841352261,13122,4443,-2746,4169000,100
1700841352365,13122,4443,-2746,4169000,100
1700841352470,13122,4443,-2746,4169000,100
1700841352575,13122,4443,-2746,4169000,100
1700841352681,13122,4443,-2746,4169000,100
1700841352785,13122,4443,-2746,4169000,100
1700841352890,13122,4443,-2746,4169000,100
1700841352996,13122,4443,-2746,4169000,100
1700841353103,13122,4443,-2746,4169000,100
1700841353208,13122,4443,-2746,4169000,100
1700841353314,13122,4443,-2746,4169000,100
1700841353418,13122,4443,-2746,4169000,100
1700841353523,13122,4443,-2746,4169000,100
1700841353629,13122,4443,-2746,4169000,100
1700841353734,13122,4443,-2746,4169000,100
1700841353840,13122,4443,-2746,4169000,100
1700841353943,13122,4443,-2746,4169000,100
1700841354050,13122,4443,-2746,4169000,100
1700841354154,13122,4443,-2746,4169000,100
1700841354260,13122,4443,-2746,4169000,100
1700841354365,13122,4443,-2746,4169000,100
1700841354473,13122,4443,-2746,4169000,100
1700841354578,13122,4443,-2746,4169000,100
1700841354683,13122,4443,-2746,4169000,100
1700841354789,13122,4443,-2746,4169000,100
1700841354893,13122,4443,-2746,4169000,100
1700841354997,13122,4443,-2746,4169000,100
1700841355101,13122,4443,-2746,4169000,100
1700841355205,13122,4443,-2746,4169000,100
1700841355312,13122,4443,-2746,4169000,100
1700841355416,13122,4443,-2746,4169000,100
1700841355520,13122,4443,-2746,4169000,100
1700841355625,13122,4443,-2746,4169000,100
1700841355730,13122,4443,-2746,4169000,100
1700841355835,13122,4443,-2746,4169000,100
1700841355941,13122,4443,-2746,4169000,100
1700841356047,13122,4443,-2746,4169000,100
1700841356151,13122,4443,-2746,4169000,100
1700841356256,13122,4443,-2746,4169000,100
1700841356361,13122,4443,-2746,4169000,100
1700841356467,13122,4443,-2746,4169000,100
1700841356572,13122,4443,-2746,4169000,100
1700841356677,13122,4443,-2746,4169000,100
1700841356783,13122,4443,-2746,4169000,100
1700841356887,13122,4443,-2746,4169000,100
1700841356993,13122,4443,-2746,4169000,100
1700841357098,13122,4443,-2746,4169000,100
1700841357203,13122,4443,-2746,4169000,100
1700841357310,13122,4443,-2746,4169000,100
1700841357417,13122,4443,-2746,4169000,100
1700841357522,13122,4443,-2746,4169000,100
1700841357626,13122,4443,-2746,4169000,100
1700841357730,13122,4443,-2746,4169000,100
1700841357835,13122,4443,-2746,4169000,100
1700841357939,13122,4443,-2746,4169000,100
1700841358043,13122,4443,-2746,4169000,100
1700841358148,13122,4443,-2746,4169000,100
1700841358253,13122,4443,-2746,4169000,100
1700841358358,13122,4443,-2746,4169000,100
1700841358462,13122,4443,-2746,4169000,100
1700841358567,13122,4443,-2746,4169000,100
1700841358672,13122,4443,-2746,4169000,100
1700841358777,13122,4443,-2746,4169000,100
1700841358882,13122,4443,-2746,4169000,100
1700841358987,13122,4443,-2746,4169000,100
1700841359092,13122,4443,-2746,4169000,100
1700841359196,13122,4443,-2746,4169000,100
1700841359300,13122,4443,-2746,4169000,100
1700841359404,13122,4443,-2746,4169000,100
1700841359509,13122,4443,-2746,4169000,100
1700841359613,13122,4443,-2746,4169000,100
1700841359718,13122,4443,-2746,4169000,100
1700841359824,13122,4443,-2746,4169000,100
1700841359933,13122,4443,-2746,4169000,100
1700841360038,13122,4443,-2746,4169000,100
1700841360145,13122,4443,-2746,4169000,100
1700841360250,13122,4443,-2746,4169000,100
1700841360356,13122,4443,-2746,4169000,100
1700841360460,13122,4443,-2746,4169000,100
1700841360564,13122,4443,-2746,4169000,100
1700841360670,13122,4443,-2746,4169000,100
1700841360773,13122,4443,-2746,4169000,100
1700841360878,13122,4443,-2746,4169000,100
1700841360982,13122,4443,-2746,4169000,100
1700841361087,13122,4443,-2746,4169000,100
1700841361191,13122,4443,-2746,4169000,100
1700841361296,13122,4443,-2746,4169000,100
1700841361403,13122,4443,-2746,4169000,100
1700841361508,13122,4443,-2746,4169000,100
1700841361613,12207,4443,-2746,4169000,100
1700841361718,12207,4443,-2746,4169000,100
1700841361822,12207,4443,-2746,4169000,100
1700841361927,12207,4443,-2746,4169000,100
1700841362031,12207,4443,-2746,4169000,100
1700841362139,12207,4443,-2746,4169000,100
1700841362243,12207,4443,-2746,4169000,100
1700841362347,12207,4443,-2746,4169000,100
1700841362451,12207,4443,-2746,4169000,100
1700841362555,12207,4443,-2746,4169000,100
1700841362661,12207,4443,-2746,4169000,100
1700841362765,12207,4443,-2746,4169000,100
1700841362873,12207,4443,-2746,4169000,100
1700841362977,12207,4443,-2746,4169000,100
1700841363083,12207,4443,-2746,4169000,100
1700841363187,12207,4443,-2746,4169000,100
1700841363291,12207,4443,-2746,4169000,100
1700841363396,12207,4443,-2746,4169000,100
1700841363501,12207,4443,-2746,4169000,100
1700841363605,12207,4443,-2746,4169000,100
1700841363710,12207,4443,-2746,4169000,100
1700841363815,12207,4443,-2746,4169000,100
1700841363919,12207,4443,-2746,4169000,100
1700841364025,12207,4443,-2746,4169000,100
1700841364131,12207,4443,-2746,4169000,100
1700841364237,12207,4443,-2746,4169000,100
1700841364342,12207,4443,-2746,4169000,100
1700841364446,12207,4443,-2746,4169000,100
1700841364551,12207,4443,-2746,4169000,100
1700841364657,12207,4443,-2746,4169000,100
1700841364764,12207,4443,-2746,4169000,100
1700841364870,12207,4443,-2746,4169000,100
1700841364974,12207,4443,-2746,4169000,100
1700841365080,12207,4443,-2746,4169000,100
1700841365184,12207,4443,-2746,4169000,100
1700841365289,12207,4443,-2746,4169000,100
1700841365394,12207,4443,-2746,4169000,100
1700841365500,12207,4443,-2746,4169000,100
1700841365607,12207,4443,-2746,4169000,100
1700841365712,12207,4443,-2746,4169000,100
1700841365816,12207,4443,-2746,4169000,100
1700841365921,12207,4443,-2746,4169000,100
1700841366026,12207,4443,-2746,4169000,100
1700841366130,12207,4443,-2746,4169000,100
1700841366235,12207,4443,-2746,4169000,100
1700841366340,12207,4443,-2746,4169000,100
1700841366445,12207,4443,-2746,4169000,100
1700841366550,12207,4443,-2746,4169000,100
1700841366656,12207,4443,-2746,4169000,100
1700841366763,12207,4443,-2746,4169000,100
1700841366868,12207,4443,-2746,4169000,100
1700841366975,12207,4443,-2746,4169000,100
1700841367080,12207,4443,-2746,4169000,100
1700841367185,12207,4443,-2746,4169000,100
1700841367290,12207,4443,-2746,4169000,100
1700841367396,12207,4443,-2746,4169000,100
1700841367500,12207,4443,-2746,4169000,100
1700841367605,12207,4443,-2746,4169000,100
1700841367709,12207,4443,-2746,4169000,100
1700841367813,12207,4443,-2746,4169000,100
1700841367919,12207,4443,-2746,4169000,100
1700841368024,12207,4443,-2746,4169000,100
1700841368129,12207,4443,-2746,4169000,100
1700841368233,12207,4443,-2746,4169000,100
1700841368339,12207,4443,-2746,4169000,100
1700841368444,12207,4443,-2746,4169000,100
1700841368548,12207,4443,-2746,4169000,100
1700841368653,12207,4443,-2746,4169000,100
1700841368758,12207,4443,-2746,4169000,100
1700841368862,12207,4443,-2746,4169000,100
1700841368966,12207,4443,-2746,4169000,100
1700841369072,12207,4443,-2746,4169000,100
1700841369177,12207,4443,-2746,4169000,100
1700841369281,12207,4443,-2746,4169000,100
1700841369388,12207,4443,-2746,4169000,100
1700841369496,12207,4443,-2746,4169000,100
1700841369602,12207,4443,-2746,4169000,100
1700841369710,12207,4443,-2746,4169000,100
1700841369815,12207,4443,-2746,4169000,100
1700841369923,12207,4443,-2746,4169000,100
1700841370029,12207,4443,-2746,4169000,100
1700841370137,12207,4443,-2746,4169000,100
1700841370244,12207,4443,-2746,4169000,100
1700841370350,12207,4443,-2746,4169000,100
1700841370457,12207,4443,-2746,4169000,100
1700841370563,12207,4443,-2746,4169000,100
1700841370669,12207,4443,-2746,4169000,100
1700841370778,12207,4443,-2746,4169000,100
1700841370884,12207,4443,-2746,4169000,100
1700841370988,12207,4443,-2746,4169000,100
1700841371094,12207,4443,-2746,4169000,100
1700841371200,12207,4443,-2746,4169000,100
1700841371309,12207,4443,-2746,4169000,100
1700841371416,12207,4443,-2746,4169000,100
1700841371522,12207,4443,-2746,4169000,100
1700841371630,12207,4443,-2746,4169000,100
1700841371738,12207,4443,-2746,4169000,100
1700841371844,12207,4443,-2746,4169000,100
1700841371952,12207,4443,-2746,4169000,100
1700841372061,12207,4443,-2746,4169000,100
1700841372170,12207,4443,-2746,4169000,100
1700841372274,12207,4443,-2746,4169000,100
1700841372378,12207,4443,-2746,4169000,100
1700841372485,12207,4443,-2746,4169000,100
1700841372590,12207,4443,-2746,4169000,100
1700841372694,12207,4443,-2746,4169000,100
1700841372800,12207,4443,-2746,4169000,100
1700841372905,12207,4443,-2746,4169000,100
1700841373009,12207,4443,-2746,4169000,100
1700841373113,12207,4443,-2746,4169000,100
1700841373218,12207,4443,-2746,4169000,100
1700841373322,12207,4443,-2746,4169000,100
1700841373426,12207,4443,-2746,4169000,100
1700841373531,12207,4443,-2746,4169000,100
1700841373636,12207,4443,-2746,4169000,100
1700841373743,12207,4443,-2746,4169000,100
1700841373849,12207,4443,-2746,4169000,100
1700841373956,12207,4443,-2746,4169000,100
1700841374061,12207,4443,-2746,4169000,100
1700841374169,12207,4443,-2746,4169000,100
1700841374276,12207,4443,-2746,4169000,100
1700841374382,12207,4443,-2746,4169000,100
1700841374488,12207,4443,-2746,4169000,100
1700841374592,12207,4443,-2746,4169000,100
1700841374698,12207,4443,-2746,4169000,100
1700841374804,12207,4443,-2746,4169000,100
1700841374909,12207,4443,-2746,4169000,100
1700841375014,12207,4443,-2746,4169000,100
1700841375118,12207,4443,-2746,4169000,100
1700841375221,12207,4443,-2746,4169000,100
1700841375325,12207,4443,-2746,4169000,100
1700841375431,12207,4443,-2746,4169000,100
1700841375536,12207,4443,-2746,4169000,100
1700841375640,12207,4443,-2746,4169000,100
1700841375746,12207,4443,-2746,4169000,100
1700841375851,12207,4443,-2746,4169000,100
1700841375955,12207,4443,-2746,4169000,100
1700841376060,12207,4443,-2746,4169000,100
1700841376173,12207,4443,-2746,4169000,100
1700841376279,12207,4443,-2746,4169000,100
1700841376386,12207,4443,-2746,4169000,100
1700841376495,12207,4443,-2746,4169000,100
1700841376600,12207,4443,-2746,4169000,100
1700841376706,12207,4443,-2746,4169000,100
1700841376810,12207,4443,-2746,4169000,100
1700841376916,12207,4443,-2746,4169000,100
1700841377022,12207,4443,-2746,4169000,100
1700841377131,12207,4443,-2746,4169000,100
1700841377237,12207,4443,-2746,4169000,100
1700841377345,12207,4443,-2746,4169000,100
1700841377451,12207,4443,-2746,4169000,100
1700841377556,12207,4443,-2746,4169000,100
1700841377664,15258,4443,-2746,4169000,100
1700841377770,15258,4443,-2746,4169000,100
1700841377878,15258,4443,-2746,4169000,100
1700841377984,15258,4443,-2746,4169000,100
1700841378090,15258,4443,-2746,4169000,100
1700841378195,15258,4443,-2746,4169000,100
1700841378301,15258,4443,-2746,4169000,100
1700841378411,15258,4443,-2746,4169000,100
1700841378518,15258,4443,-2746,4169000,100
1700841378626,15258,4443,-2746,4169000,100
1700841378734,15258,4443,-2746,4169000,100
1700841378840,15258,4443,-2746,4169000,100
1700841378946,15258,4443,-2746,4169000,100
1700841379052,15258,4443,-2746,4169000,100
1700841379160,15258,4443,-2746,4169000,100
1700841379268,15258,4443,-2746,4169000,100
1700841379377,15258,4443,-2746,4169000,100
1700841379484,15258,4443,-2746,4169000,100
1700841379592,15258,4443,-2746,4169000,100
1700841379700,15258,4443,-2746,4169000,100
1700841379806,15258,4443,-2746,4169000,100
1700841379912,15258,4443,-2746,4169000,100
1700841380019,15258,4443,-2746,4169000,100
1700841380128,15258,4443,-2746,4169000,100
1700841380237,15258,4443,-2746,4169000,100
1700841380342,15258,4443,-2746,4169000,100
1700841380450,15258,4443,-2746,4169000,100
1700841380556,15258,4443,-2746,4169000,100
1700841380663,15258,4443,-2746,4169000,100
1700841380771,15258,4443,-2746,4169000,100
1700841380876,15258,4443,-2746,4169000,100
1700841380984,15258,4443,-2746,4169000,100
1700841381090,15258,4443,-2746,4169000,100
1700841381197,15258,4443,-2746,4169000,100
1700841381305,15258,4443,-2746,4169000,100
1700841381414,15258,4443,-2746,4169000,100
1700841381522,15258,4443,-2746,4169000,100
1700841381630,15258,4443,-2746,4169000,100
1700841381740,15258,4443,-2746,4169000,100
1700841381846,15258,4443,-2746,4169000,100
1700841381955,15258,4443,-2746,4169000,100
1700841382065,15258,4443,-2746,4169000,100
1700841382171,15258,4443,-2746,4169000,100
1700841382277,15258,4443,-2746,4169000,100
1700841382383,15258,4443,-2746,4169000,100
1700841382489,15258,4443,-2746,4169000,100
1700841382596,15258,4443,-2746,4169000,100
1700841382702,15258,4443,-2746,4169000,100
1700841382810,15258,4443,-2746,4169000,100
1700841382917,15258,4443,-2746,4169000,100
1700841383025,15258,4443,-2746,4169000,100
1700841383134,15258,4443,-2746,4169000,100
1700841383245,15258,4443,-2746,4169000,100
1700841383351,15258,4443,-2746,4169000,100
1700841383457,15258,4443,-2746,4169000,100
1700841383562,15258,4443,-2746,4169000,100
1700841383670,15258,4443,-2746,4169000,100
1700841383776,15258,4443,-2746,4169000,100
1700841383882,15258,4443,-2746,4169000,100
1700841383990,15258,4443,-2746,4169000,100
1700841384097,15258,4443,-2746,4169000,100
1700841384205,15258,4443,-2746,4169000,100
1700841384311,15258,4443,-2746,4169000,100
1700841384418,15258,4443,-2746,4169000,100
1700841384525,15258,4443,-2746,4169000,100
1700841384632,15258,4443,-2746,4169000,100
1700841384740,15258,4443,-2746,4169000,100
1700841384846,15258,4443,-2746,4169000,100
1700841384950,15258,4443,-2746,4169000,100
1700841385057,15258,4443,-2746,4169000,100
1700841385161,15258,4443,-2746,4169000,100
1700841385265,15258,4443,-2746,4169000,100
1700841385373,15258,4443,-2746,4169000,100
1700841385480,15258,4443,-2746,4169000,100
1700841385588,15258,4443,-2746,4169000,100
1700841385695,15258,4443,-2746,4169000,100
1700841385802,15258,4443,-2746,4169000,100
1700841385911,15258,4443,-2746,4169000,100
1700841386019,15258,4443,-2746,4169000,100
1700841386128,15258,4443,-2746,4169000,100
1700841386236,15258,4443,-2746,4169000,100
1700841386341,15258,4443,-2746,4169000,100
1700841386448,15258,4443,-2746,4169000,100
1700841386553,15258,4443,-2746,4169000,100
1700841386659,15258,4443,-2746,4169000,100
1700841386766,15258,4443,-2746,4169000,100
1700841386873,15258,4443,-2746,4169000,100
1700841386980,15258,4443,-2746,4169000,100
1700841387089,15258,4443,-2746,4169000,100
1700841387194,15258,4443,-2746,4169000,100
1700841387300,15258,4443,-2746,4169000,100
1700841387408,15258,4443,-2746,4169000,100
1700841387514,15258,4443,-2746,4169000,100
1700841387621,15258,4443,-2746,4169000,100
1700841387729,15258,4443,-2746,4169000,100
1700841387835,15258,4443,-2746,4169000,100
1700841387940,15258,4443,-2746,4169000,100
1700841388046,15258,4443,-2746,4169000,100
1700841388151,15258,4443,-2746,4169000,100
1700841388259,15258,4443,-2746,4169000,100
1700841388365,15258,4443,-2746,4169000,100
1700841388473,15258,4443,-2746,4169000,100
1700841388581,15258,4443,-2746,4169000,100
1700841388688,15258,4443,-2746,4169000,100
1700841388795,15258,4443,-2746,4169000,100
1700841388903,15258,4443,-2746,4169000,100
