device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,-2746.0,4442.0,12439.147274206673,7.210247890249001,7.212947518747079,0.05525469219202604
pixel5g,com-chrome-canary,1,100.0,4169000.0,-2746.0,4442.0,10853.105433901055,6.290250718257,6.291724686983897,0.048209494337388484
pixel5g,com-chrome-canary,2,100.0,4169000.0,-2746.0,4442.0,12811.365196078432,7.425228281522001,7.426960252901549,0.05690808420098039
pixel5g,com-chrome-canary,3,100.0,4169000.0,-2746.0,4442.0,12799.812042310821,7.422267501958,7.4249249533570545,0.05685676509194467
pixel5g,com-chrome-canary,4,100.0,4169000.0,-2746.0,4442.0,13906.100756670648,16.472082982146,16.478993501320293,0.06177089956113103
pixel5g,com-chrome-canary,5,100.0,4169000.0,-2746.0,4442.0,12185.630470016207,7.057212694814,7.05896101371071,0.05412857054781199
pixel5g,com-chrome-canary,6,100.0,4169000.0,-2746.0,4442.0,12095.256297481008,14.331735565481,14.335311237890007,0.05372712847341064
pixel5g,com-chrome-canary,7,100.0,4169000.0,-2746.0,4442.0,11078.901554404145,15.474779656381003,15.481333610874666,0.05796493801833401
pixel5g,com-chrome-canary,8,100.0,4169000.0,-2746.0,4442.0,12579.432410423453,7.286046611344,7.28758773200531,0.055877838767100986
pixel5g,com-chrome-canary,9,100.0,4169000.0,-2746.0,4442.0,12095.086038961039,7.010091814449002,7.011130391034419,0.05372637218506493
