datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 16:35:31 UTC 2023,34,137993,4.14 MB (94.84 KB is purgeable),1804800
Fri Nov 24 16:35:32 UTC 2023,34,147490,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 16:35:33 UTC 2023,34,163219,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 16:35:35 UTC 2023,34,176509,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 16:35:36 UTC 2023,34,170419,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 16:35:37 UTC 2023,34,156813,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 16:35:39 UTC 2023,34,139515,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 16:35:40 UTC 2023,34,139079,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 16:35:42 UTC 2023,34,139151,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 16:35:43 UTC 2023,34,139393,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 16:35:44 UTC 2023,34,139385,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 16:35:46 UTC 2023,34,160358,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:35:47 UTC 2023,34,161934,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:35:49 UTC 2023,34,160150,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:35:50 UTC 2023,34,160354,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:35:52 UTC 2023,34,159890,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:35:54 UTC 2023,34,176809,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:35:55 UTC 2023,34,160084,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:35:57 UTC 2023,34,160049,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:35:58 UTC 2023,34,160073,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:00 UTC 2023,34,160068,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:01 UTC 2023,34,160044,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:03 UTC 2023,34,159636,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:04 UTC 2023,34,159620,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:06 UTC 2023,34,159636,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:07 UTC 2023,34,159611,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:08 UTC 2023,34,159619,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:10 UTC 2023,34,159567,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:11 UTC 2023,34,159547,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 16:36:13 UTC 2023,34,159535,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:14 UTC 2023,34,159507,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:15 UTC 2023,34,159511,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:17 UTC 2023,34,159536,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:18 UTC 2023,34,159511,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:19 UTC 2023,34,159507,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:21 UTC 2023,34,159467,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:22 UTC 2023,34,159459,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:24 UTC 2023,34,159495,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:25 UTC 2023,34,159475,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:27 UTC 2023,34,159479,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:28 UTC 2023,34,159475,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:29 UTC 2023,34,159495,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:31 UTC 2023,34,158270,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:32 UTC 2023,34,158214,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:34 UTC 2023,34,158051,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:35 UTC 2023,34,158047,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:37 UTC 2023,34,158043,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:38 UTC 2023,34,158063,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 16:36:39 UTC 2023,34,158043,4.42 MB (383.86 KB is purgeable),1804800
