Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700842970093,4882,4442,-2746,4169000,100
1700842970199,4882,4442,-2746,4169000,100
1700842970313,4882,4442,-2746,4169000,100
1700842970416,4882,4442,-2746,4169000,100
1700842970520,4882,4442,-2746,4169000,100
1700842970627,4882,4442,-2746,4169000,100
1700842970730,4882,4442,-2746,4169000,100
1700842970835,4882,4442,-2746,4169000,100
1700842970939,4882,4442,-2746,4169000,100
1700842971043,4882,4442,-2746,4169000,100
1700842971147,4882,4442,-2746,4169000,100
1700842971251,4882,4442,-2746,4169000,100
1700842971356,4882,4442,-2746,4169000,100
1700842971461,4882,4442,-2746,4169000,100
1700842971568,4882,4442,-2746,4169000,100
1700842971672,4882,4442,-2746,4169000,100
1700842971781,4882,4442,-2746,4169000,100
1700842971885,4882,4442,-2746,4169000,100
1700842971996,4882,4442,-2746,4169000,100
1700842972104,4882,4442,-2746,4169000,100
1700842972212,4882,4442,-2746,4169000,100
1700842972318,4882,4442,-2746,4169000,100
1700842972423,4882,4442,-2746,4169000,100
1700842972529,4882,4442,-2746,4169000,100
1700842972632,4882,4442,-2746,4169000,100
1700842972737,4882,4442,-2746,4169000,100
1700842972856,4882,4442,-2746,4169000,100
1700842972964,4882,4442,-2746,4169000,100
1700842973070,4882,4442,-2746,4169000,100
1700842973180,4882,4442,-2746,4169000,100
1700842973299,4882,4442,-2746,4169000,100
1700842973404,4882,4442,-2746,4169000,100
1700842973521,4882,4442,-2746,4169000,100
1700842973627,4882,4442,-2746,4169000,100
1700842973741,4882,4442,-2746,4169000,100
1700842973852,4882,4442,-2746,4169000,100
1700842973962,4882,4442,-2746,4169000,100
1700842974081,4882,4442,-2746,4169000,100
1700842974197,4882,4442,-2746,4169000,100
1700842974305,4882,4442,-2746,4169000,100
1700842974408,4882,4442,-2746,4169000,100
1700842974519,4882,4442,-2746,4169000,100
1700842974628,4882,4442,-2746,4169000,100
1700842974738,4882,4442,-2746,4169000,100
1700842974847,4882,4442,-2746,4169000,100
1700842974952,4882,4442,-2746,4169000,100
1700842975055,4882,4442,-2746,4169000,100
1700842975160,4882,4442,-2746,4169000,100
1700842975264,4882,4442,-2746,4169000,100
1700842975366,4882,4442,-2746,4169000,100
1700842975472,4882,4442,-2746,4169000,100
1700842975581,4882,4442,-2746,4169000,100
1700842975688,4882,4442,-2746,4169000,100
1700842975796,4882,4442,-2746,4169000,100
