datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 17:47:49 UTC 2023,32,176243,4.14 MB (94.84 KB is purgeable),1804800
Fri Nov 24 17:47:50 UTC 2023,32,167595,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:47:52 UTC 2023,32,166372,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:47:54 UTC 2023,32,168537,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:47:55 UTC 2023,32,163401,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:47:57 UTC 2023,32,163001,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:47:58 UTC 2023,32,163510,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:47:59 UTC 2023,32,163638,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:01 UTC 2023,32,163670,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:02 UTC 2023,32,163662,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:03 UTC 2023,32,164940,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:05 UTC 2023,32,164292,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:06 UTC 2023,32,164516,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:08 UTC 2023,32,164524,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:09 UTC 2023,32,164296,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:10 UTC 2023,32,164288,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:12 UTC 2023,32,164312,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:13 UTC 2023,32,164496,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:14 UTC 2023,32,164472,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:16 UTC 2023,32,164479,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:17 UTC 2023,32,164219,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:18 UTC 2023,32,164291,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:20 UTC 2023,32,163890,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:21 UTC 2023,32,163523,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:22 UTC 2023,32,163519,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:24 UTC 2023,32,163506,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:25 UTC 2023,32,163506,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:26 UTC 2023,32,163513,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:28 UTC 2023,32,163497,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:29 UTC 2023,32,163481,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:31 UTC 2023,32,163477,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 17:48:32 UTC 2023,32,163477,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:33 UTC 2023,32,163477,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:35 UTC 2023,32,163497,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:36 UTC 2023,32,163477,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:38 UTC 2023,32,163481,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:39 UTC 2023,32,163497,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:40 UTC 2023,32,163429,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:42 UTC 2023,32,163429,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:43 UTC 2023,32,163445,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:44 UTC 2023,32,163429,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:46 UTC 2023,32,163445,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:47 UTC 2023,32,163429,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 17:48:49 UTC 2023,32,163704,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:50 UTC 2023,32,163724,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:51 UTC 2023,32,163805,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:53 UTC 2023,32,163512,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:54 UTC 2023,32,163528,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:55 UTC 2023,32,163512,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:57 UTC 2023,32,163520,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:48:58 UTC 2023,32,163812,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:00 UTC 2023,32,163796,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:01 UTC 2023,32,163540,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:02 UTC 2023,32,163524,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:04 UTC 2023,32,163528,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:05 UTC 2023,32,163548,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:06 UTC 2023,32,163524,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:08 UTC 2023,32,163528,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:09 UTC 2023,32,163524,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:11 UTC 2023,32,163528,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:12 UTC 2023,32,163540,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:13 UTC 2023,32,163528,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:15 UTC 2023,32,163524,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:16 UTC 2023,32,163548,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:17 UTC 2023,32,163524,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 17:49:19 UTC 2023,32,163531,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:20 UTC 2023,32,163532,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 17:49:21 UTC 2023,32,163520,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:23 UTC 2023,32,163516,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:24 UTC 2023,32,163500,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:26 UTC 2023,32,163480,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:27 UTC 2023,32,163500,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:28 UTC 2023,32,163480,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:30 UTC 2023,32,163484,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:31 UTC 2023,32,163500,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 17:49:32 UTC 2023,32,163484,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:34 UTC 2023,32,163500,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:35 UTC 2023,32,163484,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:37 UTC 2023,32,163492,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:38 UTC 2023,32,163500,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:39 UTC 2023,32,163484,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:41 UTC 2023,32,163496,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:42 UTC 2023,32,163496,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:44 UTC 2023,32,163496,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:45 UTC 2023,32,163504,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:46 UTC 2023,32,163488,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:48 UTC 2023,32,163468,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:49 UTC 2023,32,163494,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:50 UTC 2023,32,163534,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:52 UTC 2023,32,163518,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 17:49:53 UTC 2023,32,163566,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:55 UTC 2023,32,163550,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:56 UTC 2023,32,163558,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:57 UTC 2023,32,163546,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 17:49:59 UTC 2023,32,163542,4.42 MB (383.86 KB is purgeable),1804800
