Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700848221931,8239,4443,-2746,4169000,100
1700848222037,8239,4443,-2746,4169000,100
1700848222142,8239,4443,-2746,4169000,100
1700848222248,8239,4443,-2746,4169000,100
1700848222356,8239,4443,-2746,4169000,100
1700848222463,8239,4443,-2746,4169000,100
1700848222568,8239,4443,-2746,4169000,100
1700848222673,8239,4443,-2746,4169000,100
1700848222779,8239,4443,-2746,4169000,100
1700848222884,8239,4443,-2746,4169000,100
1700848222989,8239,4443,-2746,4169000,100
1700848223095,8239,4443,-2746,4169000,100
1700848223201,8239,4443,-2746,4169000,100
1700848223306,8239,4443,-2746,4169000,100
1700848223412,8239,4443,-2746,4169000,100
1700848223518,8239,4443,-2746,4169000,100
1700848223623,8239,4443,-2746,4169000,100
1700848223731,8239,4443,-2746,4169000,100
1700848223839,8239,4443,-2746,4169000,100
1700848223944,8239,4443,-2746,4169000,100
1700848224049,8239,4443,-2746,4169000,100
1700848224160,8239,4443,-2746,4169000,100
1700848224266,8239,4443,-2746,4169000,100
1700848224379,8239,4443,-2746,4169000,100
1700848224487,8239,4443,-2746,4169000,100
1700848224597,8239,4443,-2746,4169000,100
1700848224710,8239,4443,-2746,4169000,100
1700848224817,8239,4443,-2746,4169000,100
1700848224927,8239,4443,-2746,4169000,100
1700848225035,8239,4443,-2746,4169000,100
1700848225154,8239,4443,-2746,4169000,100
1700848225263,8239,4443,-2746,4169000,100
1700848225371,8239,4443,-2746,4169000,100
1700848225480,8239,4443,-2746,4169000,100
1700848225588,8239,4443,-2746,4169000,100
1700848225699,8239,4443,-2746,4169000,100
1700848225808,8239,4443,-2746,4169000,100
1700848225920,8239,4443,-2746,4169000,100
1700848226031,8239,4443,-2746,4169000,100
1700848226144,8239,4443,-2746,4169000,100
1700848226257,8239,4443,-2746,4169000,100
1700848226365,8239,4443,-2746,4169000,100
1700848226476,8239,4443,-2746,4169000,100
1700848226584,8239,4443,-2746,4169000,100
1700848226694,8239,4443,-2746,4169000,100
1700848226803,8239,4443,-2746,4169000,100
1700848226913,8239,4443,-2746,4169000,100
1700848227021,8239,4443,-2746,4169000,100
1700848227139,8239,4443,-2746,4169000,100
1700848227259,8239,4443,-2746,4169000,100
1700848227371,8239,4443,-2746,4169000,100
1700848227478,8239,4443,-2746,4169000,100
1700848227590,8239,4443,-2746,4169000,100
1700848227697,8239,4443,-2746,4169000,100
1700848227813,8239,4443,-2746,4169000,100
1700848227925,8239,4443,-2746,4169000,100
1700848228032,8239,4443,-2746,4169000,100
1700848228144,8239,4443,-2746,4169000,100
1700848228250,8239,4443,-2746,4169000,100
1700848228358,8239,4443,-2746,4169000,100
1700848228465,8239,4443,-2746,4169000,100
1700848228573,8239,4443,-2746,4169000,100
1700848228686,8239,4443,-2746,4169000,100
1700848228792,8239,4443,-2746,4169000,100
1700848228900,8239,4443,-2746,4169000,100
1700848229014,8239,4443,-2746,4169000,100
1700848229122,8239,4443,-2746,4169000,100
1700848229229,8239,4443,-2746,4169000,100
1700848229337,8239,4443,-2746,4169000,100
1700848229443,8239,4443,-2746,4169000,100
1700848229549,8239,4443,-2746,4169000,100
1700848229655,8239,4443,-2746,4169000,100
1700848229762,8239,4443,-2746,4169000,100
1700848229868,8239,4443,-2746,4169000,100
1700848229975,8239,4443,-2746,4169000,100
1700848230082,8239,4443,-2746,4169000,100
1700848230187,8239,4443,-2746,4169000,100
1700848230294,8239,4443,-2746,4169000,100
1700848230403,8239,4443,-2746,4169000,100
1700848230510,8239,4443,-2746,4169000,100
1700848230618,8239,4443,-2746,4169000,100
1700848230726,8239,4443,-2746,4169000,100
1700848230831,8239,4443,-2746,4169000,100
1700848230936,8239,4443,-2746,4169000,100
1700848231041,8239,4443,-2746,4169000,100
1700848231147,8239,4443,-2746,4169000,100
1700848231253,8239,4443,-2746,4169000,100
1700848231363,8239,4443,-2746,4169000,100
1700848231468,8239,4443,-2746,4169000,100
1700848231575,8239,4443,-2746,4169000,100
1700848231684,8239,4443,-2746,4169000,100
1700848231789,8239,4443,-2746,4169000,100
1700848231894,8239,4443,-2746,4169000,100
1700848231999,8239,4443,-2746,4169000,100
1700848232105,8239,4443,-2746,4169000,100
1700848232210,8239,4443,-2746,4169000,100
1700848232318,8239,4443,-2746,4169000,100
1700848232423,8239,4443,-2746,4169000,100
1700848232530,8239,4443,-2746,4169000,100
1700848232634,8239,4443,-2746,4169000,100
1700848232740,8239,4443,-2746,4169000,100
1700848232845,8239,4443,-2746,4169000,100
1700848232952,8239,4443,-2746,4169000,100
1700848233058,8239,4443,-2746,4169000,100
1700848233165,8239,4443,-2746,4169000,100
1700848233271,8239,4443,-2746,4169000,100
1700848233378,8239,4443,-2746,4169000,100
