device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,13427.0,4442.0,11197.054607508533,1.561339639522,1.5608067311749967,0.049737316566552905
pixel5g,com-chrome-canary,1,100.0,4169000.0,13427.0,4442.0,13046.185007974482,3.9364222030320004,3.9366218780023607,0.057951153805422644
pixel5g,com-chrome-canary,2,100.0,4169000.0,13427.0,4442.0,12517.948881789138,3.7649038611439996,3.7663307095415455,0.05560472893290734
pixel5g,com-chrome-canary,3,100.0,4169000.0,13427.0,4442.0,5172.501754385965,0.715953462234,0.7171807546801545,0.02297625279298246
pixel5g,com-chrome-canary,4,100.0,4169000.0,13427.0,4442.0,13496.912,4.0537277605819995,4.05524006915456,0.059953283104
pixel5g,com-chrome-canary,5,100.0,4169000.0,13427.0,4442.0,13055.738019169328,3.9263242977140003,3.9259339522807415,0.057993588281150164
pixel5g,com-chrome-canary,6,100.0,4169000.0,13427.0,4442.0,12302.608,3.694037663446,3.6962939191735686,0.054648184736000006
pixel5g,com-chrome-canary,7,100.0,4169000.0,13427.0,4442.0,11401.912280701754,3.4277249005140007,3.4282140600221753,0.05064729435087719
pixel5g,com-chrome-canary,8,100.0,4169000.0,13427.0,4442.0,11651.291525423729,1.630191023755,1.63085296951838,0.05175503695593221
pixel5g,com-chrome-canary,9,100.0,4169000.0,13427.0,4442.0,12122.987158908507,3.6377880599749997,3.6412501912485977,0.053850308959871605
