device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,6713.0,4442.0,12253.094806265457,7.096607991033,7.100654692258461,0.054428247129431166
pixel5g,com-chrome-canary,1,100.0,4169000.0,6713.0,4442.0,12096.49293433084,7.011845900282,7.024143227907438,0.05373262161429759
pixel5g,com-chrome-canary,2,100.0,4169000.0,6713.0,4442.0,13060.351594439902,7.573825374812001,7.57507270058664,0.058014081782502044
pixel5g,com-chrome-canary,3,100.0,4169000.0,6713.0,4442.0,12839.938384679434,7.4432643273490005,7.448315543349396,0.05703500630474604
pixel5g,com-chrome-canary,4,100.0,4169000.0,6713.0,4442.0,12387.771255060728,16.141547872054,16.146353843446484,0.0605119902388664
pixel5g,com-chrome-canary,5,100.0,4168607.302652733,5814.41921221865,4442.0,13083.335209003215,16.806225962373,16.794554603855822,0.06293371681832798
pixel5g,com-chrome-canary,6,100.0,4169000.0,6713.0,4442.0,12718.159146841674,7.370383409468,7.372079753959817,0.05649406293027072
pixel5g,com-chrome-canary,7,100.0,4169000.0,6713.0,4442.0,13505.832998795664,15.999377544320003,16.007248301490947,0.059992910180650345
pixel5g,com-chrome-canary,8,100.0,4169000.0,6713.0,4442.0,11918.68888888889,6.920043679289001,6.9219025980988,0.052942816044444445
pixel5g,com-chrome-canary,9,100.0,4169000.0,6713.0,4442.0,13022.750830564784,7.561680413772001,7.564312847838619,0.05784705918936878
