datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 18:16:00 UTC 2023,35,175013,4.14 MB (94.84 KB is purgeable),1804800
Fri Nov 24 18:16:02 UTC 2023,35,162447,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:03 UTC 2023,35,168874,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:05 UTC 2023,35,182602,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:06 UTC 2023,35,165040,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:08 UTC 2023,35,164104,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:09 UTC 2023,35,169937,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:11 UTC 2023,35,165013,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:12 UTC 2023,35,164913,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:14 UTC 2023,35,164780,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:15 UTC 2023,35,164283,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:16 UTC 2023,35,164271,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:18 UTC 2023,35,164415,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:19 UTC 2023,35,164199,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:21 UTC 2023,35,164263,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:22 UTC 2023,35,164271,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:23 UTC 2023,35,164299,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:25 UTC 2023,35,164571,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:26 UTC 2023,35,166709,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:28 UTC 2023,35,165585,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:29 UTC 2023,35,165881,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:30 UTC 2023,35,165861,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:32 UTC 2023,35,165085,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:33 UTC 2023,35,165109,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:34 UTC 2023,35,165085,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:36 UTC 2023,35,165349,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:37 UTC 2023,35,165329,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:39 UTC 2023,35,165068,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:40 UTC 2023,35,165044,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:42 UTC 2023,35,165048,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:43 UTC 2023,35,165000,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:44 UTC 2023,35,164980,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:46 UTC 2023,35,164996,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:47 UTC 2023,35,164984,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 18:16:49 UTC 2023,35,164984,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:50 UTC 2023,35,165028,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:52 UTC 2023,35,165012,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:53 UTC 2023,35,165032,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 18:16:54 UTC 2023,35,165012,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:56 UTC 2023,35,165012,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:57 UTC 2023,35,165028,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:16:59 UTC 2023,35,165024,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:00 UTC 2023,35,165213,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:01 UTC 2023,35,165200,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:03 UTC 2023,35,165244,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:04 UTC 2023,35,165051,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:05 UTC 2023,35,165031,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:07 UTC 2023,35,165051,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:08 UTC 2023,35,165031,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:10 UTC 2023,35,165299,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:11 UTC 2023,35,165047,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:12 UTC 2023,35,165035,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:14 UTC 2023,35,165035,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:15 UTC 2023,35,165055,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:17 UTC 2023,35,165039,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:18 UTC 2023,35,165051,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:19 UTC 2023,35,165031,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 18:17:21 UTC 2023,35,165031,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:22 UTC 2023,35,165047,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:24 UTC 2023,35,165031,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:25 UTC 2023,35,165043,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 18:17:26 UTC 2023,35,165027,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:28 UTC 2023,35,165027,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:29 UTC 2023,35,165067,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:30 UTC 2023,35,165027,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:32 UTC 2023,35,165015,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:33 UTC 2023,35,165019,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:35 UTC 2023,35,164971,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:36 UTC 2023,35,164995,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:38 UTC 2023,35,164965,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:39 UTC 2023,35,164968,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:17:40 UTC 2023,35,164940,4.42 MB (383.86 KB is purgeable),1804800
