Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700850492601,12207,4442,6713,4169000,100
1700850492709,12207,4442,6713,4169000,100
1700850492818,12207,4442,6713,4169000,100
1700850492937,12207,4442,6713,4169000,100
1700850493045,12207,4442,6713,4169000,100
1700850493152,12207,4442,6713,4169000,100
1700850493258,12207,4442,6713,4169000,100
1700850493364,12207,4442,6713,4169000,100
1700850493470,12207,4442,6713,4169000,100
1700850493575,12207,4442,6713,4169000,100
1700850493683,12207,4442,6713,4169000,100
1700850493789,12207,4442,6713,4169000,100
1700850493894,12207,4442,6713,4169000,100
1700850493998,12207,4442,6713,4169000,100
1700850494105,12207,4442,6713,4169000,100
1700850494211,12207,4442,6713,4169000,100
1700850494317,12207,4442,6713,4169000,100
1700850494423,12207,4442,6713,4169000,100
1700850494529,12207,4442,6713,4169000,100
1700850494634,12207,4442,6713,4169000,100
1700850494741,12207,4442,6713,4169000,100
1700850494849,12207,4442,6713,4169000,100
1700850494969,12207,4442,6713,4169000,100
1700850495077,12207,4442,6713,4169000,100
1700850495183,12207,4442,6713,4169000,100
1700850495288,12207,4442,6713,4169000,100
1700850495395,12207,4442,6713,4169000,100
1700850495503,12207,4442,6713,4169000,100
1700850495610,12207,4442,6713,4169000,100
1700850495716,12207,4442,6713,4169000,100
1700850495823,12207,4442,6713,4169000,100
1700850495934,12207,4442,6713,4169000,100
1700850496044,12207,4442,6713,4169000,100
1700850496152,12207,4442,6713,4169000,100
1700850496261,12207,4442,6713,4169000,100
1700850496370,12207,4442,6713,4169000,100
1700850496476,12207,4442,6713,4169000,100
1700850496584,12207,4442,6713,4169000,100
1700850496694,12207,4442,6713,4169000,100
1700850496803,12207,4442,6713,4169000,100
1700850496912,12207,4442,6713,4169000,100
1700850497017,12207,4442,6713,4169000,100
1700850497125,12207,4442,6713,4169000,100
1700850497231,12207,4442,6713,4169000,100
1700850497337,12207,4442,6713,4169000,100
1700850497443,12207,4442,6713,4169000,100
1700850497553,12207,4442,6713,4169000,100
1700850497663,12207,4442,6713,4169000,100
1700850497772,12207,4442,6713,4169000,100
1700850497884,12207,4442,6713,4169000,100
1700850497990,12207,4442,6713,4169000,100
1700850498101,12207,4442,6713,4169000,100
1700850498211,12207,4442,6713,4169000,100
1700850498322,12207,4442,6713,4169000,100
1700850498428,12207,4442,6713,4169000,100
1700850498534,12207,4442,6713,4169000,100
1700850498646,12207,4442,6713,4169000,100
1700850498753,12207,4442,6713,4169000,100
1700850498865,12207,4442,6713,4169000,100
1700850498992,2746,4442,6713,4169000,100
1700850499122,2746,4442,6713,4169000,100
1700850499233,2746,4442,6713,4169000,100
1700850499342,2746,4442,6713,4169000,100
1700850499461,2746,4442,6713,4169000,100
1700850499567,2746,4442,6713,4169000,100
1700850499684,2746,4442,6713,4169000,100
1700850499794,2746,4442,6713,4169000,100
1700850499901,2746,4442,6713,4169000,100
1700850500009,2746,4442,6713,4169000,100
1700850500129,2746,4442,6713,4169000,100
