device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,13427.0,4441.0,14195.015652173914,3.8708999324565,3.8697143600264177,0.06304006451130435
pixel5g,com-chrome-canary,1,100.0,4169000.0,13427.0,4441.0,12299.606585788562,3.3698828773865,3.3654047260393694,0.054622552847487
pixel5g,com-chrome-canary,2,100.0,4169000.0,13427.0,4441.0,11322.780405405405,1.5750563379195,1.5769209095935137,0.05028446778040541
pixel5g,com-chrome-canary,3,100.0,4169000.0,13427.0,4441.0,13271.760831889082,3.6224964722290003,3.6222098708931996,0.05893988985441941
pixel5g,com-chrome-canary,4,100.0,4169000.0,13427.0,4441.0,13646.473958333334,3.7293857265845,3.7259939613848077,0.06060399084895834
pixel5g,com-chrome-canary,5,100.0,4169000.0,13427.0,4441.0,8573.465753424658,1.2067895993370001,1.2055230957937808,0.038074761410958904
pixel5g,com-chrome-canary,6,100.0,4169000.0,13427.0,4441.0,13043.875438596491,3.5666216554645,3.5662702080552915,0.05792785082280702
pixel5g,com-chrome-canary,7,100.0,4169000.0,13427.0,4441.0,10108.537162162162,1.403958301743,1.4084420327149254,0.044892013537162156
pixel5g,com-chrome-canary,8,100.0,4169000.0,13427.0,4441.0,2888.9797297297296,1.0271275498630001,1.0288701505222502,0.032753005141891896
pixel5g,com-chrome-canary,9,100.0,4169000.0,13427.0,4441.0,-1374.5402684563758,2.317386263797,2.318279477253822,0.07355647673489933
