datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sat Nov 25 18:21:16 UTC 2023,40,154926,19.57 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1804800
Sat Nov 25 18:21:17 UTC 2023,40,151294,19.67 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:21:19 UTC 2023,40,159768,19.67 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:21:20 UTC 2023,40,203056,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:21:22 UTC 2023,40,175765,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:21:24 UTC 2023,40,173869,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:21:25 UTC 2023,40,173074,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sat Nov 25 18:21:27 UTC 2023,40,173431,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sat Nov 25 18:21:28 UTC 2023,40,173351,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sat Nov 25 18:21:30 UTC 2023,40,174057,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sat Nov 25 18:21:31 UTC 2023,40,173917,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sat Nov 25 18:21:33 UTC 2023,40,173577,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1363200
Sat Nov 25 18:21:34 UTC 2023,40,173557,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:21:36 UTC 2023,40,173553,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sat Nov 25 18:21:37 UTC 2023,40,173533,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sat Nov 25 18:21:39 UTC 2023,40,173569,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sat Nov 25 18:21:40 UTC 2023,40,173193,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sat Nov 25 18:21:42 UTC 2023,40,173213,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sat Nov 25 18:21:43 UTC 2023,40,173205,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1363200
Sat Nov 25 18:21:45 UTC 2023,40,173234,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sat Nov 25 18:21:46 UTC 2023,40,173198,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sat Nov 25 18:21:48 UTC 2023,40,172814,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1363200
Sat Nov 25 18:21:49 UTC 2023,40,172790,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1363200
Sat Nov 25 18:21:51 UTC 2023,40,172686,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:21:52 UTC 2023,40,172687,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:21:54 UTC 2023,40,172659,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:21:55 UTC 2023,40,172663,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:21:57 UTC 2023,40,172687,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sat Nov 25 18:21:58 UTC 2023,40,172667,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:22:00 UTC 2023,40,172687,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:22:01 UTC 2023,40,172675,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:22:03 UTC 2023,40,172687,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:22:04 UTC 2023,40,172667,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sat Nov 25 18:22:05 UTC 2023,40,172667,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sat Nov 25 18:22:07 UTC 2023,40,172672,25.48 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
