Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700936033894,5187,4441,13427,4169000,100
1700936034000,5187,4441,13427,4169000,100
1700936034114,5187,4441,13427,4169000,100
1700936034224,5187,4441,13427,4169000,100
1700936034331,5187,4441,13427,4169000,100
1700936034436,5187,4441,13427,4169000,100
1700936034541,5187,4441,13427,4169000,100
1700936034647,5187,4441,13427,4169000,100
1700936034754,5187,4441,13427,4169000,100
1700936034859,5187,4441,13427,4169000,100
1700936034966,5187,4441,13427,4169000,100
1700936035073,5187,4441,13427,4169000,100
1700936035180,5187,4441,13427,4169000,100
1700936035292,5187,4441,13427,4169000,100
1700936035399,5187,4441,13427,4169000,100
1700936035505,5187,4441,13427,4169000,100
1700936035611,5187,4441,13427,4169000,100
1700936035719,5187,4441,13427,4169000,100
1700936035827,5187,4441,13427,4169000,100
1700936035934,5187,4441,13427,4169000,100
1700936036041,5187,4441,13427,4169000,100
1700936036150,5187,4441,13427,4169000,100
1700936036259,5187,4441,13427,4169000,100
1700936036365,5187,4441,13427,4169000,100
1700936036471,5187,4441,13427,4169000,100
1700936036576,5187,4441,13427,4169000,100
1700936036678,5187,4441,13427,4169000,100
1700936036784,5187,4441,13427,4169000,100
1700936036895,5187,4441,13427,4169000,100
1700936037002,5187,4441,13427,4169000,100
1700936037110,5187,4441,13427,4169000,100
1700936037219,5187,4441,13427,4169000,100
1700936037325,5187,4441,13427,4169000,100
1700936037431,5187,4441,13427,4169000,100
1700936037538,5187,4441,13427,4169000,100
1700936037642,5187,4441,13427,4169000,100
1700936037753,5187,4441,13427,4169000,100
1700936037861,5187,4441,13427,4169000,100
1700936037967,5187,4441,13427,4169000,100
1700936038074,5187,4441,13427,4169000,100
1700936038181,5187,4441,13427,4169000,100
1700936038300,5187,4441,13427,4169000,100
1700936038412,5187,4441,13427,4169000,100
1700936038520,5187,4441,13427,4169000,100
1700936038627,5187,4441,13427,4169000,100
1700936038733,5187,4441,13427,4169000,100
1700936038838,5187,4441,13427,4169000,100
1700936038943,5187,4441,13427,4169000,100
1700936039048,5187,4441,13427,4169000,100
1700936039162,5187,4441,13427,4169000,100
1700936039268,5187,4441,13427,4169000,100
1700936039374,5187,4441,13427,4169000,100
1700936039482,5187,4441,13427,4169000,100
1700936039587,5187,4441,13427,4169000,100
1700936039694,5187,4441,13427,4169000,100
1700936039801,5187,4441,13427,4169000,100
1700936039907,5187,4441,13427,4169000,100
1700936040014,5187,4441,13427,4169000,100
1700936040118,5187,4441,13427,4169000,100
1700936040229,5187,4441,13427,4169000,100
1700936040336,5187,4441,13427,4169000,100
1700936040442,5187,4441,13427,4169000,100
1700936040553,5187,4441,13427,4169000,100
1700936040664,5187,4441,13427,4169000,100
1700936040776,5187,4441,13427,4169000,100
1700936040889,5187,4441,13427,4169000,100
1700936040995,5187,4441,13427,4169000,100
1700936041105,5187,4441,13427,4169000,100
1700936041216,5187,4441,13427,4169000,100
1700936041327,5187,4441,13427,4169000,100
1700936041436,5187,4441,13427,4169000,100
1700936041554,5187,4441,13427,4169000,100
1700936041662,5187,4441,13427,4169000,100
1700936041769,5187,4441,13427,4169000,100
1700936041875,5187,4441,13427,4169000,100
1700936041981,5187,4441,13427,4169000,100
1700936042089,5187,4441,13427,4169000,100
1700936042199,5187,4441,13427,4169000,100
1700936042310,5187,4441,13427,4169000,100
1700936042421,5187,4441,13427,4169000,100
1700936042530,5187,4441,13427,4169000,100
1700936042636,5187,4441,13427,4169000,100
1700936042746,5187,4441,13427,4169000,100
1700936042857,5187,4441,13427,4169000,100
1700936042965,5187,4441,13427,4169000,100
1700936043071,5187,4441,13427,4169000,100
1700936043177,5187,4441,13427,4169000,100
1700936043289,5187,4441,13427,4169000,100
1700936043394,5187,4441,13427,4169000,100
1700936043499,5187,4441,13427,4169000,100
1700936043605,5187,4441,13427,4169000,100
1700936043713,5187,4441,13427,4169000,100
1700936043824,5187,4441,13427,4169000,100
1700936043940,5187,4441,13427,4169000,100
1700936044051,5187,4441,13427,4169000,100
1700936044162,5187,4441,13427,4169000,100
1700936044273,5187,4441,13427,4169000,100
1700936044383,5187,4441,13427,4169000,100
1700936044495,5187,4441,13427,4169000,100
1700936044606,5187,4441,13427,4169000,100
1700936044711,5187,4441,13427,4169000,100
1700936044819,5187,4441,13427,4169000,100
1700936044924,5187,4441,13427,4169000,100
1700936045032,5187,4441,13427,4169000,100
1700936045141,9765,4441,13427,4169000,100
1700936045253,9765,4441,13427,4169000,100
1700936045364,9765,4441,13427,4169000,100
1700936045476,9765,4441,13427,4169000,100
1700936045587,9765,4441,13427,4169000,100
1700936045698,9765,4441,13427,4169000,100
1700936045808,9765,4441,13427,4169000,100
1700936045919,9765,4441,13427,4169000,100
1700936046031,9765,4441,13427,4169000,100
1700936046136,9765,4441,13427,4169000,100
1700936046241,9765,4441,13427,4169000,100
1700936046349,9765,4441,13427,4169000,100
1700936046456,9765,4441,13427,4169000,100
1700936046570,9765,4441,13427,4169000,100
1700936046681,9765,4441,13427,4169000,100
1700936046792,9765,4441,13427,4169000,100
1700936046904,9765,4441,13427,4169000,100
1700936047010,9765,4441,13427,4169000,100
1700936047121,9765,4441,13427,4169000,100
1700936047232,9765,4441,13427,4169000,100
1700936047343,9765,4441,13427,4169000,100
1700936047454,9765,4441,13427,4169000,100
1700936047565,9765,4441,13427,4169000,100
1700936047671,9765,4441,13427,4169000,100
1700936047781,9765,4441,13427,4169000,100
1700936047886,9765,4441,13427,4169000,100
1700936047993,9765,4441,13427,4169000,100
1700936048103,9765,4441,13427,4169000,100
1700936048214,9765,4441,13427,4169000,100
1700936048328,9765,4441,13427,4169000,100
1700936048441,9765,4441,13427,4169000,100
1700936048553,9765,4441,13427,4169000,100
1700936048665,9765,4441,13427,4169000,100
1700936048776,9765,4441,13427,4169000,100
1700936048887,9765,4441,13427,4169000,100
1700936048994,9765,4441,13427,4169000,100
1700936049101,9765,4441,13427,4169000,100
1700936049206,9765,4441,13427,4169000,100
1700936049313,9765,4441,13427,4169000,100
1700936049419,9765,4441,13427,4169000,100
1700936049524,9765,4441,13427,4169000,100
1700936049631,9765,4441,13427,4169000,100
1700936049736,9765,4441,13427,4169000,100
1700936049843,9765,4441,13427,4169000,100
1700936049949,9765,4441,13427,4169000,100
1700936050061,9765,4441,13427,4169000,100
1700936050173,9765,4441,13427,4169000,100
1700936050285,9765,4441,13427,4169000,100
1700936050396,9765,4441,13427,4169000,100
1700936050507,9765,4441,13427,4169000,100
1700936050618,9765,4441,13427,4169000,100
1700936050723,9765,4441,13427,4169000,100
1700936050828,9765,4441,13427,4169000,100
1700936050935,9765,4441,13427,4169000,100
1700936051042,9765,4441,13427,4169000,100
1700936051153,9765,4441,13427,4169000,100
1700936051264,9765,4441,13427,4169000,100
1700936051376,9765,4441,13427,4169000,100
1700936051487,9765,4441,13427,4169000,100
1700936051600,9765,4441,13427,4169000,100
1700936051712,9765,4441,13427,4169000,100
1700936051823,9765,4441,13427,4169000,100
1700936051934,9765,4441,13427,4169000,100
1700936052045,9765,4441,13427,4169000,100
1700936052155,9765,4441,13427,4169000,100
1700936052261,9765,4441,13427,4169000,100
1700936052367,9765,4441,13427,4169000,100
1700936052473,9765,4441,13427,4169000,100
1700936052580,9765,4441,13427,4169000,100
1700936052687,9765,4441,13427,4169000,100
1700936052798,9765,4441,13427,4169000,100
1700936052910,9765,4441,13427,4169000,100
1700936053016,9765,4441,13427,4169000,100
1700936053128,9765,4441,13427,4169000,100
1700936053239,9765,4441,13427,4169000,100
1700936053350,9765,4441,13427,4169000,100
1700936053460,9765,4441,13427,4169000,100
1700936053572,9765,4441,13427,4169000,100
1700936053678,9765,4441,13427,4169000,100
1700936053784,9765,4441,13427,4169000,100
1700936053889,9765,4441,13427,4169000,100
1700936053996,9765,4441,13427,4169000,100
1700936054103,9765,4441,13427,4169000,100
1700936054214,9765,4441,13427,4169000,100
1700936054325,9765,4441,13427,4169000,100
1700936054436,9765,4441,13427,4169000,100
1700936054547,9765,4441,13427,4169000,100
1700936054657,9765,4441,13427,4169000,100
1700936054768,9765,4441,13427,4169000,100
1700936054879,9765,4441,13427,4169000,100
1700936054992,9765,4441,13427,4169000,100
1700936055104,9765,4441,13427,4169000,100
1700936055210,9765,4441,13427,4169000,100
1700936055315,9765,4441,13427,4169000,100
1700936055424,9765,4441,13427,4169000,100
1700936055531,9765,4441,13427,4169000,100
1700936055640,9765,4441,13427,4169000,100
1700936055750,9765,4441,13427,4169000,100
1700936055861,9765,4441,13427,4169000,100
1700936055971,9765,4441,13427,4169000,100
1700936056083,9765,4441,13427,4169000,100
1700936056194,9765,4441,13427,4169000,100
1700936056305,9765,4441,13427,4169000,100
1700936056416,9765,4441,13427,4169000,100
1700936056527,9765,4441,13427,4169000,100
1700936056639,9765,4441,13427,4169000,100
1700936056746,9765,4441,13427,4169000,100
1700936056851,9765,4441,13427,4169000,100
1700936056958,9765,4441,13427,4169000,100
1700936057064,9765,4441,13427,4169000,100
1700936057171,9765,4441,13427,4169000,100
1700936057277,9765,4441,13427,4169000,100
1700936057388,9765,4441,13427,4169000,100
1700936057499,9765,4441,13427,4169000,100
