Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700938107336,14343,4439,13427,4169000,100
1700938107442,14343,4439,13427,4169000,100
1700938107548,14343,4439,13427,4169000,100
1700938107657,14343,4439,13427,4169000,100
1700938107772,9460,4439,13427,4169000,100
1700938107884,9460,4439,13427,4169000,100
1700938107989,9460,4439,13427,4169000,100
1700938108096,9460,4439,13427,4169000,100
1700938108201,9460,4439,13427,4169000,100
1700938108310,9460,4439,13427,4169000,100
1700938108416,9460,4439,13427,4169000,100
1700938108522,9460,4439,13427,4169000,100
1700938108629,9460,4439,13427,4169000,100
1700938108750,9460,4439,13427,4169000,100
1700938108860,9460,4439,13427,4169000,100
1700938108968,9460,4439,13427,4169000,100
1700938109075,9460,4439,13427,4169000,100
1700938109180,9460,4439,13427,4169000,100
1700938109288,9460,4439,13427,4169000,100
1700938109395,9460,4439,13427,4169000,100
1700938109506,9460,4439,13427,4169000,100
1700938109613,9460,4439,13427,4169000,100
1700938109722,9460,4439,13427,4169000,100
1700938109830,9460,4439,13427,4169000,100
1700938109938,9460,4439,13427,4169000,100
1700938110047,9460,4439,13427,4169000,100
1700938110154,9460,4439,13427,4169000,100
1700938110263,9460,4439,13427,4169000,100
1700938110383,9460,4439,13427,4169000,100
1700938110500,9460,4439,13427,4169000,100
1700938110617,9460,4439,13427,4169000,100
1700938110724,9460,4439,13427,4169000,100
1700938110843,9460,4439,13427,4169000,100
1700938110963,9460,4439,13427,4169000,100
1700938111078,9460,4439,13427,4169000,100
1700938111187,9460,4439,13427,4169000,100
1700938111297,9460,4439,13427,4169000,100
1700938111416,9460,4439,13427,4169000,100
1700938111527,9460,4439,13427,4169000,100
1700938111640,9460,4439,13427,4169000,100
1700938111749,9460,4439,13427,4169000,100
1700938111855,9460,4439,13427,4169000,100
1700938111966,9460,4439,13427,4169000,100
1700938112072,9460,4439,13427,4169000,100
1700938112184,9460,4439,13427,4169000,100
1700938112294,9460,4439,13427,4169000,100
1700938112409,9460,4439,13427,4169000,100
1700938112524,9460,4439,13427,4169000,100
1700938112640,9460,4439,13427,4169000,100
1700938112756,9460,4439,13427,4169000,100
1700938112867,9460,4439,13427,4169000,100
1700938112977,9460,4439,13427,4169000,100
1700938113087,9460,4439,13427,4169000,100
1700938113195,9460,4439,13427,4169000,100
1700938113304,9460,4439,13427,4169000,100
1700938113413,9460,4439,13427,4169000,100
1700938113521,9460,4439,13427,4169000,100
1700938113628,9460,4439,13427,4169000,100
1700938113737,9460,4439,13427,4169000,100
1700938113846,9460,4439,13427,4169000,100
1700938113957,9460,4439,13427,4169000,100
1700938114066,9460,4439,13427,4169000,100
1700938114173,9460,4439,13427,4169000,100
1700938114281,9460,4439,13427,4169000,100
1700938114393,9460,4439,13427,4169000,100
1700938114505,9460,4439,13427,4169000,100
1700938114621,9460,4439,13427,4169000,100
1700938114736,9460,4439,13427,4169000,100
1700938114861,9460,4439,13427,4169000,100
1700938114971,9460,4439,13427,4169000,100
1700938115088,9460,4439,13427,4169000,100
1700938115194,9460,4439,13427,4169000,100
1700938115312,9460,4439,13427,4169000,100
1700938115420,9460,4439,13427,4169000,100
1700938115530,9460,4439,13427,4169000,100
1700938115639,9460,4439,13427,4169000,100
1700938115749,9460,4439,13427,4169000,100
1700938115860,9460,4439,13427,4169000,100
1700938115987,9460,4439,13427,4169000,100
1700938116112,9460,4439,13427,4169000,100
1700938116221,9460,4439,13427,4169000,100
1700938116330,9460,4439,13427,4169000,100
1700938116438,9460,4439,13427,4169000,100
1700938116548,9460,4439,13427,4169000,100
1700938116660,9460,4439,13427,4169000,100
1700938116767,9460,4439,13427,4169000,100
1700938116874,9460,4439,13427,4169000,100
1700938116984,9460,4439,13427,4169000,100
1700938117089,9460,4439,13427,4169000,100
1700938117196,9460,4439,13427,4169000,100
1700938117304,9460,4439,13427,4169000,100
1700938117409,9460,4439,13427,4169000,100
1700938117516,9460,4439,13427,4169000,100
1700938117621,9460,4439,13427,4169000,100
1700938117726,9460,4439,13427,4169000,100
1700938117831,9460,4439,13427,4169000,100
1700938117937,9460,4439,13427,4169000,100
1700938118043,9460,4439,13427,4169000,100
1700938118149,9460,4439,13427,4169000,100
1700938118255,9460,4439,13427,4169000,100
1700938118361,9460,4439,13427,4169000,100
1700938118467,9460,4439,13427,4169000,100
1700938118573,9460,4439,13427,4169000,100
1700938118679,9460,4439,13427,4169000,100
1700938118785,9460,4439,13427,4169000,100
1700938118893,9460,4439,13427,4169000,100
1700938118999,9460,4439,13427,4169000,100
1700938119104,9460,4439,13427,4169000,100
1700938119208,9460,4439,13427,4169000,100
1700938119314,9460,4439,13427,4169000,100
1700938119421,9460,4439,13427,4169000,100
1700938119527,9460,4439,13427,4169000,100
1700938119632,9460,4439,13427,4169000,100
1700938119738,9460,4439,13427,4169000,100
1700938119844,9460,4439,13427,4169000,100
1700938119951,9460,4439,13427,4169000,100
1700938120056,9460,4439,13427,4169000,100
1700938120163,9460,4439,13427,4169000,100
1700938120269,9460,4439,13427,4169000,100
1700938120377,9460,4439,13427,4169000,100
1700938120482,9460,4439,13427,4169000,100
1700938120590,9460,4439,13427,4169000,100
1700938120697,9460,4439,13427,4169000,100
1700938120802,9460,4439,13427,4169000,100
1700938120910,9460,4439,13427,4169000,100
1700938121016,9460,4439,13427,4169000,100
1700938121122,9460,4439,13427,4169000,100
1700938121228,9460,4439,13427,4169000,100
1700938121335,9460,4439,13427,4169000,100
1700938121441,9460,4439,13427,4169000,100
1700938121547,9460,4439,13427,4169000,100
1700938121653,9460,4439,13427,4169000,100
1700938121760,9460,4439,13427,4169000,100
1700938121864,9460,4439,13427,4169000,100
1700938121972,9460,4439,13427,4169000,100
1700938122077,9460,4439,13427,4169000,100
1700938122183,9460,4439,13427,4169000,100
1700938122289,9460,4439,13427,4169000,100
