datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 18:55:10 UTC 2023,3.5,164263,4.14 MB (94.84 KB is purgeable),1804800
Fri Nov 24 18:55:11 UTC 2023,3.5,170732,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:13 UTC 2023,3.5,178354,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:14 UTC 2023,3.5,218954,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:16 UTC 2023,32,186317,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:17 UTC 2023,32,185025,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:19 UTC 2023,32,185875,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:20 UTC 2023,32,186165,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:22 UTC 2023,32,186429,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:23 UTC 2023,32,186783,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:24 UTC 2023,32,187263,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:26 UTC 2023,32,187505,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:27 UTC 2023,32,187841,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:28 UTC 2023,32,187397,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:30 UTC 2023,32,187541,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:31 UTC 2023,32,187545,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:32 UTC 2023,32,187435,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:34 UTC 2023,32,186379,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:35 UTC 2023,32,186347,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:36 UTC 2023,32,183929,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:38 UTC 2023,32,183989,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:39 UTC 2023,32,184383,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:40 UTC 2023,32,180088,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:42 UTC 2023,32,180220,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:43 UTC 2023,32,180320,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:45 UTC 2023,32,180280,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:46 UTC 2023,32,180364,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:47 UTC 2023,32,180438,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:49 UTC 2023,32,180424,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:50 UTC 2023,32,180476,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:52 UTC 2023,32,180508,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:53 UTC 2023,32,180498,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:54 UTC 2023,32,180534,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:56 UTC 2023,32,180500,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:57 UTC 2023,32,180500,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:55:58 UTC 2023,32,180526,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:00 UTC 2023,32,180514,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:01 UTC 2023,32,180458,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:02 UTC 2023,32,180506,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:04 UTC 2023,32,180476,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:05 UTC 2023,32,180482,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:07 UTC 2023,32,180498,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:08 UTC 2023,32,180486,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:09 UTC 2023,32,180662,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:11 UTC 2023,32,180670,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:12 UTC 2023,32,180676,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:13 UTC 2023,32,180535,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:15 UTC 2023,32,180543,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:16 UTC 2023,32,180561,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:17 UTC 2023,32,180577,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:19 UTC 2023,32,180823,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:20 UTC 2023,32,180819,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:22 UTC 2023,32,180591,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:23 UTC 2023,32,180585,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:24 UTC 2023,32,180589,4.42 MB (383.86 KB is purgeable),1363200
Fri Nov 24 18:56:26 UTC 2023,32,180601,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:27 UTC 2023,32,180603,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:28 UTC 2023,32,180551,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:30 UTC 2023,32,180611,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:31 UTC 2023,32,180611,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 18:56:33 UTC 2023,32,180587,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:34 UTC 2023,32,180627,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:35 UTC 2023,32,180631,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:37 UTC 2023,32,180579,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:38 UTC 2023,32,180643,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:39 UTC 2023,32,180671,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:41 UTC 2023,32,180587,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:42 UTC 2023,32,180631,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:44 UTC 2023,32,180677,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:45 UTC 2023,32,180629,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:46 UTC 2023,32,180637,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:48 UTC 2023,32,180637,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:49 UTC 2023,32,180633,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:51 UTC 2023,32,180707,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:52 UTC 2023,32,180699,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:53 UTC 2023,32,180655,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:55 UTC 2023,32,180675,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:56 UTC 2023,32,180663,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:57 UTC 2023,32,180663,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:56:59 UTC 2023,32,180687,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:00 UTC 2023,32,180703,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:01 UTC 2023,32,180671,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:03 UTC 2023,32,180685,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:04 UTC 2023,32,180685,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:06 UTC 2023,32,180709,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:07 UTC 2023,32,180689,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:08 UTC 2023,32,180677,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:10 UTC 2023,32,180705,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:11 UTC 2023,32,180739,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:12 UTC 2023,32,180677,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:14 UTC 2023,32,180721,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:15 UTC 2023,32,180749,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:17 UTC 2023,32,180715,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:18 UTC 2023,32,180763,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:19 UTC 2023,32,180775,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 18:57:21 UTC 2023,32,180723,4.42 MB (383.86 KB is purgeable),1804800
