Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700852872482,9155,4440,6713,4169000,100
1700852872587,9155,4440,6713,4169000,100
1700852872693,9155,4440,6713,4169000,100
1700852872800,9155,4440,6713,4169000,100
1700852872910,9155,4440,6713,4169000,100
1700852873014,9155,4440,6713,4169000,100
1700852873121,9155,4440,6713,4169000,100
1700852873225,9155,4440,6713,4169000,100
1700852873330,9155,4440,6713,4169000,100
1700852873435,9155,4440,6713,4169000,100
1700852873539,9155,4440,6713,4169000,100
1700852873644,9155,4440,6713,4169000,100
1700852873748,9155,4440,6713,4169000,100
1700852873853,9155,4440,6713,4169000,100
1700852873959,9155,4440,6713,4169000,100
1700852874064,9155,4440,6713,4169000,100
1700852874169,9155,4440,6713,4169000,100
1700852874273,9155,4440,6713,4169000,100
1700852874378,9155,4440,6713,4169000,100
1700852874483,9155,4440,6713,4169000,100
1700852874589,9155,4440,6713,4169000,100
1700852874695,9155,4440,6713,4169000,100
1700852874800,9155,4440,6713,4169000,100
1700852874904,9155,4440,6713,4169000,100
1700852875010,9155,4440,6713,4169000,100
1700852875116,9155,4440,6713,4169000,100
1700852875223,9155,4440,6713,4169000,100
1700852875327,9155,4440,6713,4169000,100
1700852875433,9155,4440,6713,4169000,100
1700852875539,9155,4440,6713,4169000,100
1700852875653,9155,4440,6713,4169000,100
1700852875759,9155,4440,6713,4169000,100
1700852875864,9155,4440,6713,4169000,100
1700852875969,9155,4440,6713,4169000,100
1700852876074,9155,4440,6713,4169000,100
1700852876180,9155,4440,6713,4169000,100
1700852876285,9155,4440,6713,4169000,100
1700852876391,9155,4440,6713,4169000,100
1700852876497,9155,4440,6713,4169000,100
1700852876603,9155,4440,6713,4169000,100
1700852876709,9155,4440,6713,4169000,100
1700852876816,9155,4440,6713,4169000,100
1700852876922,9155,4440,6713,4169000,100
1700852877028,9155,4440,6713,4169000,100
1700852877133,9155,4440,6713,4169000,100
1700852877238,9155,4440,6713,4169000,100
1700852877343,9155,4440,6713,4169000,100
1700852877449,9155,4440,6713,4169000,100
1700852877556,9155,4440,6713,4169000,100
1700852877665,9155,4440,6713,4169000,100
1700852877783,9155,4440,6713,4169000,100
1700852877893,9155,4440,6713,4169000,100
1700852878011,9155,4440,6713,4169000,100
1700852878136,9155,4440,6713,4169000,100
1700852878251,9155,4440,6713,4169000,100
1700852878364,9155,4440,6713,4169000,100
1700852878469,9155,4440,6713,4169000,100
1700852878574,9155,4440,6713,4169000,100
1700852878689,9155,4440,6713,4169000,100
1700852878793,9155,4440,6713,4169000,100
1700852878899,9155,4440,6713,4169000,100
1700852879009,9155,4440,6713,4169000,100
1700852879120,9155,4440,6713,4169000,100
1700852879235,9155,4440,6713,4169000,100
1700852879350,9155,4440,6713,4169000,100
1700852879459,9155,4440,6713,4169000,100
1700852879567,9155,4440,6713,4169000,100
1700852879679,9155,4440,6713,4169000,100
1700852879789,9155,4440,6713,4169000,100
1700852879902,9155,4440,6713,4169000,100
1700852880005,9155,4440,6713,4169000,100
1700852880112,9155,4440,6713,4169000,100
1700852880232,9155,4440,6713,4169000,100
1700852880339,9155,4440,6713,4169000,100
1700852880445,9155,4440,6713,4169000,100
1700852880557,9155,4440,6713,4169000,100
1700852880666,9155,4440,6713,4169000,100
1700852880775,9155,4440,6713,4169000,100
1700852880891,-23803,4440,6713,4169000,100
1700852881006,-2746,4440,6713,4169000,100
1700852881115,3967,4440,6713,4169000,100
1700852881221,4882,4440,6713,4169000,100
1700852881324,10986,4440,6713,4169000,100
1700852881429,11291,4440,6713,4169000,100
1700852881537,8850,4440,6713,4169000,100
1700852881648,8544,4440,6713,4169000,100
1700852881757,2746,4440,6713,4169000,100
1700852881862,11901,4440,6713,4169000,100
1700852881970,10375,4440,6713,4169000,100
1700852882079,3051,4440,6713,4169000,100
1700852882182,4882,4440,6713,4169000,100
1700852882288,9155,4440,6713,4169000,100
1700852882400,11291,4440,6713,4169000,100
1700852882523,4882,4440,6713,4169000,100
1700852882638,-3662,4440,6713,4169000,100
1700852882745,-29907,4440,6713,4169000,100
1700852882851,13427,4440,6713,4169000,100
1700852882970,9460,4440,6713,4169000,100
1700852883077,-5798,4440,6713,4169000,100
1700852883187,2441,4440,6713,4169000,100
1700852883295,0,4440,6713,4169000,100
1700852883411,-3356,4440,6713,4169000,100
1700852883521,4272,4440,6713,4169000,100
1700852883629,8850,4440,6713,4169000,100
1700852883737,7934,4440,6713,4169000,100
1700852883842,11901,4440,6713,4169000,100
1700852883951,10070,4440,6713,4169000,100
1700852884057,13122,4440,6713,4169000,100
1700852884164,8850,4440,6713,4169000,100
1700852884271,12817,4440,6713,4169000,100
1700852884379,10375,4440,6713,4169000,100
1700852884486,13122,4440,6713,4169000,100
1700852884591,12207,4440,6713,4169000,100
1700852884698,12512,4440,6713,4169000,100
1700852884805,11596,4440,6713,4169000,100
1700852884911,12512,4440,6713,4169000,100
1700852885019,12207,4440,6713,4169000,100
1700852885125,12512,4440,6713,4169000,100
1700852885233,14343,4440,6713,4169000,100
1700852885337,13427,4440,6713,4169000,100
1700852885446,12512,4440,6713,4169000,100
1700852885555,11901,4440,6713,4169000,100
1700852885660,-125732,4440,6713,4169000,100
1700852885770,-20446,4440,6713,4169000,100
1700852885878,8239,4440,6713,4169000,100
1700852885985,14038,4440,6713,4169000,100
1700852886091,14648,4440,6713,4169000,100
1700852886196,15563,4440,6713,4169000,100
1700852886302,9155,4440,6713,4169000,100
1700852886408,12817,4440,6713,4169000,100
1700852886516,11291,4440,6713,4169000,100
1700852886624,11291,4440,6713,4169000,100
1700852886728,10986,4440,6713,4169000,100
1700852886836,10070,4440,6713,4169000,100
1700852886974,-50354,4440,6713,4169000,100
1700852887079,10681,4440,6713,4169000,100
1700852887184,8239,4440,6713,4169000,100
1700852887289,14038,4440,6713,4169000,100
1700852887394,13427,4440,6713,4169000,100
1700852887499,11901,4440,6713,4169000,100
1700852887604,10986,4440,6713,4169000,100
1700852887710,12207,4440,6713,4169000,100
1700852887815,11901,4440,6713,4169000,100
1700852887920,10986,4440,6713,4169000,100
1700852888025,13427,4440,6713,4169000,100
1700852888129,11291,4440,6713,4169000,100
1700852888236,10986,4440,6713,4169000,100
1700852888341,11291,4440,6713,4169000,100
1700852888446,10070,4440,6713,4169000,100
1700852888554,10986,4440,6713,4169000,100
1700852888663,3967,4440,6713,4169000,100
1700852888769,-12817,4440,6713,4169000,100
1700852888874,11901,4440,6713,4169000,100
1700852888979,14343,4440,6713,4169000,100
1700852889084,14953,4440,6713,4169000,100
1700852889189,9155,4440,6713,4169000,100
1700852889295,12207,4440,6713,4169000,100
1700852889400,14343,4440,6713,4169000,100
1700852889506,12817,4440,6713,4169000,100
1700852889616,12817,4440,6713,4169000,100
1700852889724,11291,4440,6713,4169000,100
1700852889832,13427,4440,6713,4169000,100
1700852889943,13427,4440,6713,4169000,100
1700852890048,7324,4440,6713,4169000,100
1700852890153,12207,4440,6713,4169000,100
1700852890259,13427,4440,6713,4169000,100
1700852890364,12817,4440,6713,4169000,100
1700852890469,11291,4440,6713,4169000,100
1700852890583,14648,4440,6713,4169000,100
1700852890690,-13427,4440,6713,4169000,100
1700852890796,-305,4440,6713,4169000,100
1700852890901,-7324,4440,6713,4169000,100
1700852891006,-30822,4440,6713,4169000,100
1700852891111,-13427,4440,6713,4169000,100
1700852891215,13427,4440,6713,4169000,100
1700852891321,13732,4440,6713,4169000,100
1700852891425,13732,4440,6713,4169000,100
1700852891529,13427,4440,6713,4169000,100
1700852891634,22277,4440,6713,4169000,100
1700852891738,4577,4440,6713,4169000,100
1700852891842,11596,4440,6713,4169000,100
1700852891950,10986,4440,6713,4169000,100
1700852892054,8544,4440,6713,4169000,100
1700852892160,6713,4440,6713,4169000,100
1700852892266,5187,4440,6713,4169000,100
1700852892372,-3967,4440,6713,4169000,100
1700852892478,-1525,4440,6713,4169000,100
1700852892584,14953,4440,6713,4169000,100
1700852892689,-20446,4440,6713,4169000,100
1700852892796,13732,4440,6713,4169000,100
1700852892903,10986,4440,6713,4169000,100
1700852893010,12207,4440,6713,4169000,100
1700852893114,15563,4440,6713,4169000,100
1700852893222,14038,4440,6713,4169000,100
1700852893328,14953,4440,6713,4169000,100
1700852893442,14343,4440,6713,4169000,100
1700852893546,12207,4440,6713,4169000,100
1700852893651,14648,4440,6713,4169000,100
1700852893756,14648,4440,6713,4169000,100
1700852893862,14648,4440,6713,4169000,100
1700852893967,14038,4440,6713,4169000,100
1700852894071,14648,4440,6713,4169000,100
1700852894178,13122,4440,6713,4169000,100
1700852894284,16174,4440,6713,4169000,100
1700852894398,13427,4440,6713,4169000,100
1700852894504,13732,4440,6713,4169000,100
1700852894608,16479,4440,6713,4169000,100
1700852894716,15258,4440,6713,4169000,100
1700852894826,14648,4440,6713,4169000,100
1700852894944,14648,4440,6713,4169000,100
1700852895049,7019,4440,6713,4169000,100
1700852895163,12512,4440,6713,4169000,100
1700852895279,12207,4440,6713,4169000,100
1700852895393,14038,4440,6713,4169000,100
1700852895498,14648,4440,6713,4169000,100
1700852895604,15869,4440,6713,4169000,100
1700852895715,16784,4440,6713,4169000,100
1700852895820,15869,4440,6713,4169000,100
1700852895926,13732,4440,6713,4169000,100
1700852896031,14648,4440,6713,4169000,100
1700852896147,14038,4440,6713,4169000,100
1700852896272,12817,4440,6713,4169000,100
1700852896378,14343,4440,6713,4169000,100
1700852896483,14648,4440,6713,4169000,100
1700852896589,13427,4440,6713,4169000,100
