datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 19:39:29 UTC 2023,4.7,157851,4.14 MB (94.84 KB is purgeable),1804800
Fri Nov 24 19:39:31 UTC 2023,4.7,172590,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:32 UTC 2023,4.7,200868,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:34 UTC 2023,65,196241,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:36 UTC 2023,65,160157,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:37 UTC 2023,65,160029,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:39 UTC 2023,65,159392,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:40 UTC 2023,84,159968,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:42 UTC 2023,84,159848,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:43 UTC 2023,84,160760,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:45 UTC 2023,84,160616,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:46 UTC 2023,84,160420,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:48 UTC 2023,84,160336,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:49 UTC 2023,84,160336,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:51 UTC 2023,84,160252,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:52 UTC 2023,84,160252,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:53 UTC 2023,47,160493,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:55 UTC 2023,47,160477,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:56 UTC 2023,47,160493,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:58 UTC 2023,47,160477,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:39:59 UTC 2023,47,160418,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:01 UTC 2023,37,160007,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:02 UTC 2023,37,160035,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:40:04 UTC 2023,37,160015,4.42 MB (383.86 KB is purgeable),1363200
Fri Nov 24 19:40:05 UTC 2023,35,160035,4.42 MB (383.86 KB is purgeable),1363200
Fri Nov 24 19:40:07 UTC 2023,35,160019,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:08 UTC 2023,35,160019,4.42 MB (383.86 KB is purgeable),1363200
Fri Nov 24 19:40:10 UTC 2023,35,159978,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:40:11 UTC 2023,29,159973,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:12 UTC 2023,29,159866,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:14 UTC 2023,29,159850,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:15 UTC 2023,29,159863,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 19:40:17 UTC 2023,29,159845,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 19:40:18 UTC 2023,29,159845,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 19:40:19 UTC 2023,29,159860,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:21 UTC 2023,29,159844,4.42 MB (383.86 KB is purgeable),1363200
Fri Nov 24 19:40:22 UTC 2023,29,159860,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:24 UTC 2023,29,159844,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:40:25 UTC 2023,29,159844,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:26 UTC 2023,29,159860,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:40:28 UTC 2023,29,159844,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:29 UTC 2023,29,158750,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 19:40:30 UTC 2023,29,158763,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:32 UTC 2023,29,159409,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:33 UTC 2023,29,158490,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:35 UTC 2023,29,158485,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 19:40:36 UTC 2023,29,158485,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:37 UTC 2023,29,158493,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:40:39 UTC 2023,29,158881,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:40 UTC 2023,29,158881,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:41 UTC 2023,29,158497,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:43 UTC 2023,29,158489,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:44 UTC 2023,29,158502,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:46 UTC 2023,29,158502,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:47 UTC 2023,29,158502,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:48 UTC 2023,29,158510,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:50 UTC 2023,29,158494,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:40:51 UTC 2023,29,158498,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:40:52 UTC 2023,29,158506,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:54 UTC 2023,29,158491,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:55 UTC 2023,29,158490,4.42 MB (383.86 KB is purgeable),1363200
Fri Nov 24 19:40:57 UTC 2023,29,158490,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:40:58 UTC 2023,29,158498,4.42 MB (383.86 KB is purgeable),1363200
Fri Nov 24 19:40:59 UTC 2023,29,158518,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 19:41:01 UTC 2023,29,158478,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:41:02 UTC 2023,29,158476,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:41:04 UTC 2023,29,158478,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:41:05 UTC 2023,29,158454,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:41:06 UTC 2023,29,158470,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:41:08 UTC 2023,29,158454,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:41:09 UTC 2023,29,158454,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 19:41:11 UTC 2023,29,158470,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:41:12 UTC 2023,29,158454,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:41:13 UTC 2023,29,158470,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:41:15 UTC 2023,29,158454,4.42 MB (383.86 KB is purgeable),1363200
Fri Nov 24 19:41:16 UTC 2023,29,158454,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:41:17 UTC 2023,29,158470,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:41:19 UTC 2023,29,158458,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:41:20 UTC 2023,29,158478,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:41:22 UTC 2023,29,158462,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 19:41:23 UTC 2023,29,158462,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:41:24 UTC 2023,29,158466,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:41:26 UTC 2023,29,158450,4.42 MB (383.86 KB is purgeable),1363200
Fri Nov 24 19:41:27 UTC 2023,29,158450,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:41:29 UTC 2023,29,158563,4.42 MB (383.86 KB is purgeable),1363200
Fri Nov 24 19:41:30 UTC 2023,29,158555,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:41:31 UTC 2023,29,158603,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:41:33 UTC 2023,29,158579,4.42 MB (383.86 KB is purgeable),1363200
Fri Nov 24 19:41:34 UTC 2023,29,158611,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 19:41:36 UTC 2023,29,158623,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:41:37 UTC 2023,29,158611,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 19:41:38 UTC 2023,29,158623,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 19:41:40 UTC 2023,29,158611,4.42 MB (383.86 KB is purgeable),1651200
