Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700854770495,10681,4440,14648,4169000,100
1700854770608,10681,4440,14648,4169000,100
1700854770719,10681,4440,14648,4169000,100
1700854770828,10681,4440,14648,4169000,100
1700854770933,10681,4440,14648,4169000,100
1700854771039,10681,4440,14648,4169000,100
1700854771144,10681,4440,14648,4169000,100
1700854771248,10681,4440,14648,4169000,100
1700854771353,10681,4440,14648,4169000,100
1700854771459,10681,4440,14648,4169000,100
1700854771564,10681,4440,14648,4169000,100
1700854771668,10681,4440,14648,4169000,100
1700854771774,10681,4440,14648,4169000,100
1700854771878,10681,4440,14648,4169000,100
1700854771984,10681,4440,14648,4169000,100
1700854772089,10681,4440,14648,4169000,100
1700854772193,10681,4440,14648,4169000,100
1700854772299,10681,4440,14648,4169000,100
1700854772405,10681,4440,14648,4169000,100
1700854772514,10681,4440,14648,4169000,100
1700854772620,10681,4440,14648,4169000,100
1700854772726,10681,4440,14648,4169000,100
1700854772832,10681,4440,14648,4169000,100
1700854772940,10681,4440,14648,4169000,100
1700854773045,10681,4440,14648,4169000,100
1700854773150,10681,4440,14648,4169000,100
1700854773255,10681,4440,14648,4169000,100
1700854773360,10681,4440,14648,4169000,100
1700854773464,10681,4440,14648,4169000,100
1700854773571,10681,4440,14648,4169000,100
1700854773677,10681,4440,14648,4169000,100
1700854773783,10681,4440,14648,4169000,100
1700854773890,10681,4440,14648,4169000,100
1700854773998,10681,4440,14648,4169000,100
1700854774107,10681,4440,14648,4169000,100
1700854774210,10681,4440,14648,4169000,100
1700854774315,10681,4440,14648,4169000,100
1700854774423,10681,4440,14648,4169000,100
1700854774531,10681,4440,14648,4169000,100
1700854774636,10681,4440,14648,4169000,100
1700854774741,10681,4440,14648,4169000,100
1700854774847,10681,4440,14648,4169000,100
1700854774966,10681,4440,14648,4169000,100
1700854775073,10681,4440,14648,4169000,100
1700854775178,10681,4440,14648,4169000,100
1700854775282,10681,4440,14648,4169000,100
1700854775387,10681,4440,14648,4169000,100
1700854775492,10681,4440,14648,4169000,100
1700854775599,10681,4440,14648,4169000,100
1700854775705,10681,4440,14648,4169000,100
1700854775813,10681,4440,14648,4169000,100
1700854775917,10681,4440,14648,4169000,100
1700854776027,10681,4440,14648,4169000,100
1700854776134,10681,4440,14648,4169000,100
1700854776239,10681,4440,14648,4169000,100
1700854776346,10681,4440,14648,4169000,100
1700854776451,10681,4440,14648,4169000,100
1700854776557,10681,4440,14648,4169000,100
1700854776663,10681,4440,14648,4169000,100
1700854776769,10681,4440,14648,4169000,100
1700854776876,10681,4440,14648,4169000,100
1700854776983,10681,4440,14648,4169000,100
1700854777093,10986,4440,14648,4169000,100
1700854777198,10986,4440,14648,4169000,100
1700854777306,10986,4440,14648,4169000,100
1700854777412,10986,4440,14648,4169000,100
1700854777517,10986,4440,14648,4169000,100
1700854777626,10986,4440,14648,4169000,100
1700854777731,10986,4440,14648,4169000,100
1700854777835,10986,4440,14648,4169000,100
1700854777940,10986,4440,14648,4169000,100
1700854778043,10986,4440,14648,4169000,100
1700854778154,10986,4440,14648,4169000,100
1700854778260,10986,4440,14648,4169000,100
1700854778364,10986,4440,14648,4169000,100
1700854778477,10986,4440,14648,4169000,100
1700854778585,10986,4440,14648,4169000,100
1700854778694,10986,4440,14648,4169000,100
1700854778797,10986,4440,14648,4169000,100
1700854778905,10986,4440,14648,4169000,100
1700854779009,10986,4440,14648,4169000,100
1700854779114,10986,4440,14648,4169000,100
1700854779219,10986,4440,14648,4169000,100
1700854779324,10986,4440,14648,4169000,100
1700854779438,10986,4440,14648,4169000,100
1700854779542,10986,4440,14648,4169000,100
1700854779647,10986,4440,14648,4169000,100
1700854779751,10986,4440,14648,4169000,100
1700854779865,10986,4440,14648,4169000,100
1700854779973,10986,4440,14648,4169000,100
1700854780077,10986,4440,14648,4169000,100
1700854780190,10986,4440,14648,4169000,100
1700854780298,10986,4440,14648,4169000,100
1700854780406,10986,4440,14648,4169000,100
1700854780510,10986,4440,14648,4169000,100
1700854780614,10986,4440,14648,4169000,100
1700854780718,10986,4440,14648,4169000,100
1700854780824,10986,4440,14648,4169000,100
1700854780938,10986,4440,14648,4169000,100
1700854781043,10986,4440,14648,4169000,100
1700854781147,10986,4440,14648,4169000,100
1700854781252,10986,4440,14648,4169000,100
1700854781356,10986,4440,14648,4169000,100
1700854781461,10986,4440,14648,4169000,100
1700854781566,10986,4440,14648,4169000,100
1700854781670,10986,4440,14648,4169000,100
1700854781775,10986,4440,14648,4169000,100
1700854781879,10986,4440,14648,4169000,100
1700854781983,10986,4440,14648,4169000,100
1700854782088,10986,4440,14648,4169000,100
1700854782192,10986,4440,14648,4169000,100
1700854782297,10986,4440,14648,4169000,100
1700854782403,10986,4440,14648,4169000,100
1700854782507,10986,4440,14648,4169000,100
1700854782611,10986,4440,14648,4169000,100
1700854782719,10986,4440,14648,4169000,100
1700854782824,10986,4440,14648,4169000,100
1700854782928,10986,4440,14648,4169000,100
1700854783032,10986,4440,14648,4169000,100
1700854783136,10986,4440,14648,4169000,100
1700854783240,10986,4440,14648,4169000,100
1700854783344,10986,4440,14648,4169000,100
1700854783449,10986,4440,14648,4169000,100
1700854783553,10986,4440,14648,4169000,100
1700854783657,10986,4440,14648,4169000,100
1700854783762,10986,4440,14648,4169000,100
1700854783867,10986,4440,14648,4169000,100
1700854783971,10986,4440,14648,4169000,100
1700854784076,10986,4440,14648,4169000,100
1700854784184,10986,4440,14648,4169000,100
1700854784288,10986,4440,14648,4169000,100
1700854784392,10986,4440,14648,4169000,100
1700854784496,10986,4440,14648,4169000,100
1700854784601,10986,4440,14648,4169000,100
1700854784706,10986,4440,14648,4169000,100
1700854784810,10986,4440,14648,4169000,100
1700854784914,10986,4440,14648,4169000,100
1700854785018,10986,4440,14648,4169000,100
1700854785122,10986,4440,14648,4169000,100
1700854785227,10986,4440,14648,4169000,100
1700854785331,10986,4440,14648,4169000,100
1700854785435,10986,4440,14648,4169000,100
1700854785540,10986,4440,14648,4169000,100
1700854785644,10986,4440,14648,4169000,100
1700854785748,10986,4440,14648,4169000,100
1700854785853,10986,4440,14648,4169000,100
1700854785959,10986,4440,14648,4169000,100
