Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701013870034,144348,4445,155639,4169000,100
1701013870140,151977,4445,155639,4169000,100
1701013870251,164795,4445,155639,4169000,100
1701013870360,173034,4445,155639,4169000,100
1701013870464,131836,4445,155639,4169000,100
1701013870573,154113,4445,155639,4169000,100
1701013870679,146484,4445,155639,4169000,100
1701013870784,143432,4445,155639,4169000,100
1701013870890,145568,4445,155639,4169000,100
1701013870996,143432,4445,155639,4169000,100
1701013871102,149841,4445,155639,4169000,100
1701013871207,143737,4445,155639,4169000,100
1701013871312,148010,4445,155639,4169000,100
1701013871417,150451,4445,155639,4169000,100
1701013871522,150756,4445,155639,4169000,100
1701013871627,154724,4445,155639,4169000,100
1701013871733,149536,4445,155639,4169000,100
1701013871840,145568,4445,155639,4169000,100
1701013871946,145568,4445,155639,4169000,100
1701013872054,144043,4445,155639,4169000,100
1701013872160,151367,4445,155639,4169000,100
1701013872267,152282,4445,153503,4169000,100
1701013872376,160522,4445,153503,4169000,100
1701013872484,143432,4445,153503,4169000,100
1701013872590,154724,4445,153503,4169000,100
1701013872699,147094,4445,153503,4169000,100
1701013872806,151062,4445,153503,4169000,100
1701013872913,156555,4445,153503,4169000,100
1701013873021,153503,4445,153503,4169000,100
1701013873133,154113,4445,153503,4169000,100
1701013873251,150451,4445,153503,4169000,100
1701013873357,169677,4445,153503,4169000,100
1701013873467,177917,4445,153503,4169000,100
1701013873576,147400,4445,153503,4169000,100
1701013873684,165100,4445,153503,4169000,100
1701013873791,146484,4445,153503,4169000,100
1701013873897,148925,4445,153503,4169000,100
1701013874003,155639,4445,153503,4169000,100
1701013874108,160217,4445,153503,4169000,100
1701013874220,147705,4445,153503,4169000,100
1701013874336,146179,4445,153503,4169000,100
1701013874453,164795,4445,153503,4169000,100
1701013874568,162963,4445,153503,4169000,100
1701013874677,156250,4445,153503,4169000,100
1701013874788,150756,4445,153503,4169000,100
1701013874898,156860,4445,153503,4169000,100
1701013875006,152282,4445,153503,4169000,100
1701013875120,150146,4445,153503,4169000,100
1701013875236,152588,4445,153503,4169000,100
1701013875345,148925,4445,153503,4169000,100
1701013875450,154419,4445,153503,4169000,100
1701013875560,158691,4445,153503,4169000,100
1701013875668,154419,4445,153503,4169000,100
1701013875785,152588,4445,153503,4169000,100
1701013875895,158386,4445,153503,4169000,100
1701013876027,158081,4445,153503,4169000,100
1701013876134,155639,4445,153503,4169000,100
1701013876240,154419,4445,153503,4169000,100
1701013876358,155944,4445,153503,4169000,100
1701013876474,153808,4445,153503,4169000,100
1701013876585,153808,4445,153503,4169000,100
1701013876693,155944,4445,153503,4169000,100
1701013876812,153808,4445,153503,4169000,100
1701013876922,151672,4445,153503,4169000,100
1701013877041,148010,4445,153503,4169000,100
1701013877158,150146,4445,153503,4169000,100
1701013877273,156555,4445,153503,4169000,100
1701013877392,156860,4445,153503,4169000,100
1701013877505,153808,4445,153503,4169000,100
1701013877623,159301,4445,153503,4169000,100
1701013877731,149231,4445,153503,4169000,100
1701013877852,148315,4445,153503,4169000,100
1701013877963,155639,4445,153503,4169000,100
1701013878066,155029,4445,153503,4169000,100
1701013878188,155029,4445,153503,4169000,100
1701013878296,142212,4445,153503,4169000,100
1701013878401,154113,4445,153503,4169000,100
1701013878512,152282,4445,153503,4169000,100
1701013878626,155029,4445,153503,4169000,100
1701013878742,155029,4445,153503,4169000,100
1701013878850,155334,4445,153503,4169000,100
1701013878959,157775,4445,153503,4169000,100
1701013879070,149231,4445,153503,4169000,100
1701013879179,153198,4445,153503,4169000,100
1701013879296,152282,4445,153503,4169000,100
1701013879405,148925,4445,153503,4169000,100
1701013879517,153503,4445,153503,4169000,100
1701013879635,157470,4445,153503,4169000,100
1701013879750,152893,4445,153503,4169000,100
1701013879861,148315,4445,153503,4169000,100
1701013879967,148925,4445,153503,4169000,100
1701013880076,148010,4445,153503,4169000,100
1701013880184,149841,4445,153503,4169000,100
1701013880296,155944,4445,153503,4169000,100
1701013880410,158996,4445,153503,4169000,100
1701013880522,164489,4445,153503,4169000,100
1701013880634,157775,4445,153503,4169000,100
1701013880742,158691,4445,153503,4169000,100
1701013880851,153808,4445,153503,4169000,100
1701013880955,161743,4445,153503,4169000,100
1701013881064,160217,4445,153503,4169000,100
1701013881173,151367,4445,153503,4169000,100
1701013881280,155639,4445,153503,4169000,100
1701013881387,163574,4445,153503,4169000,100
1701013881494,160522,4445,153503,4169000,100
1701013881601,151367,4445,153503,4169000,100
1701013881710,155029,4445,153503,4169000,100
1701013881822,150146,4445,153503,4169000,100
1701013881937,164795,4445,153503,4169000,100
