device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,92175.70861222668,4442.0,91147.98750557787,97.401289159747,97.39858872054734,0.4048793604997769
pixel5g,com-chrome-canary,1,100.0,4169000.0,108851.20269058296,4442.0,108863.87892376681,58.372117781271,58.37262267350221,0.48357335017937225
pixel5g,com-chrome-canary,2,100.0,4169000.0,108157.04456327985,4442.0,108069.63725490196,57.787349860617,57.78833671258242,0.4800453286862746
pixel5g,com-chrome-canary,3,100.0,4169000.0,108518.336,4442.0,108519.28711111112,58.048756665533,58.04998893787937,0.4820426733475555
pixel5g,com-chrome-canary,4,100.0,4169000.0,106860.12657091561,4442.0,107175.18671454219,57.258437680178005,57.27741169210188,0.47611354501256736
pixel5g,com-chrome-canary,5,100.0,4169000.0,107930.93315508022,4442.0,107925.73975044563,57.689631093293,57.69125499667188,0.4794061359714796
pixel5g,com-chrome-canary,6,100.0,4169000.0,106779.02327663384,4442.0,106830.7860340197,57.194073006896005,57.19011903678208,0.4747171046947181
pixel5g,com-chrome-canary,7,100.0,4169000.0,108372.4158504007,4442.0,108303.84772929653,57.898959876883,57.90154949983864,0.4810856916135352
pixel5g,com-chrome-canary,8,100.0,4169000.0,106032.4696969697,4442.0,105505.54812834224,56.60546424209101,56.605634744199065,0.4686556447860963
pixel5g,com-chrome-canary,9,100.0,4169000.0,107011.299954894,4442.0,106870.44609833107,114.15316969077801,114.16433855128619,0.47474909262697346
