datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sun Nov 26 16:15:47 UTC 2023,30,184434,19.57 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1804800
Sun Nov 26 16:15:49 UTC 2023,30,208651,19.67 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:15:50 UTC 2023,30,194072,19.67 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:15:52 UTC 2023,30,237730,24.46 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:15:53 UTC 2023,30,218165,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:15:55 UTC 2023,30,200302,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:15:56 UTC 2023,30,201023,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:15:58 UTC 2023,30,201330,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:15:59 UTC 2023,30,201621,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:00 UTC 2023,30,201757,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:02 UTC 2023,30,202980,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:03 UTC 2023,30,203305,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:05 UTC 2023,30,203599,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:06 UTC 2023,30,203177,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:08 UTC 2023,30,203390,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:09 UTC 2023,30,203431,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:10 UTC 2023,30,200310,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:12 UTC 2023,30,200614,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:13 UTC 2023,30,200614,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:15 UTC 2023,30,199212,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:16 UTC 2023,30,199521,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:18 UTC 2023,30,196285,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:19 UTC 2023,30,194399,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:20 UTC 2023,30,194505,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:22 UTC 2023,30,194462,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:23 UTC 2023,30,194575,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:25 UTC 2023,30,194648,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:26 UTC 2023,30,194628,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:28 UTC 2023,30,194755,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:29 UTC 2023,30,194765,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:30 UTC 2023,30,194745,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:32 UTC 2023,30,194818,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:33 UTC 2023,30,194806,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:35 UTC 2023,30,194808,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:36 UTC 2023,30,194842,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:38 UTC 2023,30,194858,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:39 UTC 2023,30,194788,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:40 UTC 2023,30,194788,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:42 UTC 2023,30,194703,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:43 UTC 2023,30,194883,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:45 UTC 2023,30,194920,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:46 UTC 2023,30,195020,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:47 UTC 2023,30,195124,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:49 UTC 2023,30,195151,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:50 UTC 2023,30,194947,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:52 UTC 2023,30,195049,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:53 UTC 2023,30,195056,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:55 UTC 2023,30,195043,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
Sun Nov 26 16:16:56 UTC 2023,30,195355,25.65 KB (0.00 bytes is purgeable),4.45 MB (408.12 KB is purgeable),1804800
