Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701015481346,111694,4442,108642,4169000,100
1701015481455,98571,4442,108642,4169000,100
1701015481565,101623,4442,108642,4169000,100
1701015481672,106506,4442,108642,4169000,100
1701015481779,95214,4442,108642,4169000,100
1701015481885,101318,4442,108642,4169000,100
1701015481989,96740,4442,108642,4169000,100
1701015482094,106506,4442,108642,4169000,100
1701015482200,106811,4442,108642,4169000,100
1701015482307,106506,4442,108642,4169000,100
1701015482415,105285,4442,108642,4169000,100
1701015482522,107727,4442,108642,4169000,100
1701015482628,105896,4442,108642,4169000,100
1701015482733,106811,4442,108642,4169000,100
1701015482836,103759,4442,108642,4169000,100
1701015482940,103454,4442,108642,4169000,100
1701015483048,105590,4442,108642,4169000,100
1701015483154,108337,4442,108642,4169000,100
1701015483262,105896,4442,108642,4169000,100
1701015483372,108337,4442,108642,4169000,100
1701015483479,106811,4442,108642,4169000,100
1701015483584,103759,4442,108642,4169000,100
1701015483691,105590,4442,108642,4169000,100
1701015483803,104980,4442,108642,4169000,100
1701015483913,107727,4442,108642,4169000,100
1701015484035,106201,4442,108642,4169000,100
1701015484150,102844,4442,108642,4169000,100
1701015484256,107116,4442,108642,4169000,100
1701015484361,110473,4442,108642,4169000,100
1701015484465,107421,4442,108642,4169000,100
1701015484574,106201,4442,108642,4169000,100
1701015484679,106201,4442,108642,4169000,100
1701015484791,107116,4442,108642,4169000,100
1701015484902,105896,4442,108642,4169000,100
1701015485011,108337,4442,108642,4169000,100
1701015485122,107421,4442,108642,4169000,100
1701015485235,106811,4442,108642,4169000,100
1701015485343,108337,4442,108642,4169000,100
1701015485457,106201,4442,108642,4169000,100
1701015485564,105590,4442,108642,4169000,100
1701015485668,111999,4442,108642,4169000,100
1701015485771,109863,4442,108642,4169000,100
1701015485874,109558,4442,108642,4169000,100
1701015485982,105896,4442,108642,4169000,100
1701015486090,109558,4442,108642,4169000,100
1701015486203,108032,4442,108642,4169000,100
1701015486316,104675,4442,108642,4169000,100
