device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,2136.0,4454.0,10765.695864828813,11.759736610953,11.759554192213074,0.04885645873721654
pixel5g,com-chrome-canary,1,100.0,4169000.0,2136.0,4454.0,10712.258896797153,7.105123507012999,7.103007802118638,0.05895835486298932
pixel5g,com-chrome-canary,2,100.0,4169000.0,2136.0,4454.0,8087.790780141844,7.048887808542,7.054755532686383,0.058584583397163124
pixel5g,com-chrome-canary,3,100.0,4169000.0,2136.0,4454.0,9932.305235137534,6.0888951367879995,6.081928027762807,0.050429326200532386
pixel5g,com-chrome-canary,4,100.0,4169000.0,3433.016100178891,4454.0,11693.055456171734,7.1466858253989995,7.136182131044437,0.05929770352772809
pixel5g,com-chrome-canary,5,100.0,4169000.0,2136.0,4454.0,10652.849199288255,12.248871559361,12.249424550097823,0.0509170679955516
pixel5g,com-chrome-canary,6,100.0,4169000.0,10375.0,4454.0,11858.523703041144,12.693641080072,12.70026680811916,0.05281786457334525
pixel5g,com-chrome-canary,7,100.0,4169000.0,2136.0,4454.0,12036.204017857142,13.233218108506,13.238988484634845,0.05504593811696428
pixel5g,com-chrome-canary,8,100.0,4169000.0,2136.0,4454.0,12905.388591800356,6.9233218631649995,6.927619487555939,0.05748060078787878
pixel5g,com-chrome-canary,9,100.0,4169000.0,2136.0,4454.0,8567.630289532293,11.621205514748999,11.619613029792522,0.048301144092650336
