Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701016837894,11291,4454,2136,4169000,100
1701016838001,11291,4454,2136,4169000,100
1701016838115,11291,4454,2136,4169000,100
1701016838221,11291,4454,2136,4169000,100
1701016838327,11291,4454,2136,4169000,100
1701016838431,11291,4454,2136,4169000,100
1701016838537,11291,4454,2136,4169000,100
1701016838642,11291,4454,2136,4169000,100
1701016838748,11291,4454,2136,4169000,100
1701016838853,11291,4454,2136,4169000,100
1701016838959,11291,4454,2136,4169000,100
1701016839063,11291,4454,2136,4169000,100
1701016839169,11291,4454,2136,4169000,100
1701016839275,11291,4454,2136,4169000,100
1701016839386,11291,4454,2136,4169000,100
1701016839491,11291,4454,2136,4169000,100
1701016839596,11291,4454,2136,4169000,100
1701016839704,11291,4454,2136,4169000,100
1701016839809,11291,4454,2136,4169000,100
1701016839914,11291,4454,2136,4169000,100
1701016840021,11291,4454,2136,4169000,100
1701016840127,11291,4454,2136,4169000,100
1701016840232,11291,4454,2136,4169000,100
1701016840340,11291,4454,2136,4169000,100
1701016840450,11291,4454,2136,4169000,100
1701016840555,11291,4454,2136,4169000,100
1701016840660,11291,4454,2136,4169000,100
1701016840768,11291,4454,2136,4169000,100
1701016840876,11291,4454,2136,4169000,100
1701016840993,11291,4454,2136,4169000,100
1701016841100,11291,4454,2136,4169000,100
1701016841211,11291,4454,2136,4169000,100
1701016841315,-5798,4454,2136,4169000,100
1701016841431,-5798,4454,2136,4169000,100
1701016841544,-5798,4454,2136,4169000,100
1701016841660,-5798,4454,2136,4169000,100
1701016841770,-5798,4454,2136,4169000,100
1701016841879,-5798,4454,2136,4169000,100
1701016841982,-5798,4454,2136,4169000,100
1701016842086,-5798,4454,2136,4169000,100
1701016842190,-5798,4454,2136,4169000,100
1701016842297,-5798,4454,2136,4169000,100
1701016842409,-5798,4454,2136,4169000,100
1701016842527,-5798,4454,2136,4169000,100
1701016842634,-5798,4454,2136,4169000,100
1701016842741,-5798,4454,2136,4169000,100
1701016842849,-5798,4454,2136,4169000,100
1701016842963,-5798,4454,2136,4169000,100
1701016843072,-5798,4454,2136,4169000,100
1701016843183,-5798,4454,2136,4169000,100
1701016843292,-5798,4454,2136,4169000,100
1701016843403,-5798,4454,2136,4169000,100
1701016843509,-5798,4454,2136,4169000,100
1701016843617,-5798,4454,2136,4169000,100
1701016843722,-5798,4454,2136,4169000,100
1701016843833,-5798,4454,2136,4169000,100
1701016843948,-5798,4454,2136,4169000,100
1701016844059,-5798,4454,2136,4169000,100
1701016844172,-5798,4454,2136,4169000,100
1701016844283,-5798,4454,2136,4169000,100
1701016844391,-5798,4454,2136,4169000,100
1701016844496,-5798,4454,2136,4169000,100
1701016844602,-5798,4454,2136,4169000,100
1701016844717,-5798,4454,2136,4169000,100
1701016844821,-5798,4454,2136,4169000,100
1701016844930,-5798,4454,2136,4169000,100
1701016845035,-5798,4454,2136,4169000,100
1701016845142,-5798,4454,2136,4169000,100
1701016845249,-5798,4454,2136,4169000,100
1701016845356,-5798,4454,2136,4169000,100
1701016845464,-5798,4454,2136,4169000,100
1701016845570,-5798,4454,2136,4169000,100
1701016845678,-5798,4454,2136,4169000,100
1701016845785,-5798,4454,2136,4169000,100
1701016845888,-5798,4454,2136,4169000,100
1701016845994,-5798,4454,2136,4169000,100
1701016846098,-5798,4454,2136,4169000,100
1701016846200,-5798,4454,2136,4169000,100
1701016846307,-5798,4454,2136,4169000,100
1701016846413,-5798,4454,2136,4169000,100
1701016846519,-5798,4454,2136,4169000,100
1701016846624,-5798,4454,2136,4169000,100
1701016846730,-5798,4454,2136,4169000,100
1701016846834,-5798,4454,2136,4169000,100
1701016846940,-5798,4454,2136,4169000,100
1701016847044,-5798,4454,2136,4169000,100
1701016847149,-5798,4454,2136,4169000,100
1701016847255,-5798,4454,2136,4169000,100
1701016847359,-5798,4454,2136,4169000,100
1701016847465,-5798,4454,2136,4169000,100
1701016847570,-5798,4454,2136,4169000,100
1701016847678,-5798,4454,2136,4169000,100
1701016847783,-5798,4454,2136,4169000,100
1701016847889,-5798,4454,2136,4169000,100
1701016847994,-5798,4454,2136,4169000,100
1701016848100,-5798,4454,2136,4169000,100
1701016848205,-5798,4454,2136,4169000,100
1701016848310,-5798,4454,2136,4169000,100
1701016848416,-5798,4454,2136,4169000,100
1701016848521,-5798,4454,2136,4169000,100
1701016848627,-5798,4454,2136,4169000,100
1701016848732,-5798,4454,2136,4169000,100
1701016848837,-5798,4454,2136,4169000,100
1701016848941,-5798,4454,2136,4169000,100
1701016849046,-5798,4454,2136,4169000,100
1701016849152,-5798,4454,2136,4169000,100
1701016849258,-5798,4454,2136,4169000,100
1701016849362,-5798,4454,2136,4169000,100
1701016849467,-5798,4454,2136,4169000,100
1701016849576,-5798,4454,2136,4169000,100
1701016849681,-5798,4454,2136,4169000,100
1701016849786,-5798,4454,2136,4169000,100
1701016849892,-5798,4454,2136,4169000,100
1701016849997,-5798,4454,2136,4169000,100
1701016850103,-5798,4454,2136,4169000,100
1701016850208,-5798,4454,2136,4169000,100
1701016850314,-5798,4454,2136,4169000,100
1701016850418,-5798,4454,2136,4169000,100
1701016850523,-5798,4454,2136,4169000,100
1701016850628,-5798,4454,2136,4169000,100
1701016850733,-5798,4454,2136,4169000,100
1701016850839,-5798,4454,2136,4169000,100
1701016850944,-5798,4454,2136,4169000,100
1701016851051,-5798,4454,2136,4169000,100
1701016851157,-5798,4454,2136,4169000,100
1701016851261,-5798,4454,2136,4169000,100
1701016851366,-5798,4454,2136,4169000,100
1701016851471,-5798,4454,2136,4169000,100
1701016851577,-5798,4454,2136,4169000,100
1701016851681,-5798,4454,2136,4169000,100
1701016851787,-5798,4454,2136,4169000,100
1701016851892,-5798,4454,2136,4169000,100
1701016851996,-5798,4454,2136,4169000,100
1701016852102,-5798,4454,2136,4169000,100
1701016852206,-5798,4454,2136,4169000,100
1701016852311,-5798,4454,2136,4169000,100
1701016852417,-5798,4454,2136,4169000,100
1701016852524,-5798,4454,2136,4169000,100
1701016852629,-5798,4454,2136,4169000,100
1701016852734,-5798,4454,2136,4169000,100
1701016852840,-5798,4454,2136,4169000,100
1701016852945,-5798,4454,2136,4169000,100
1701016853050,-5798,4454,2136,4169000,100
1701016853156,-5798,4454,2136,4169000,100
1701016853261,-5798,4454,2136,4169000,100
1701016853365,-5798,4454,2136,4169000,100
1701016853470,-5798,4454,2136,4169000,100
1701016853575,-5798,4454,2136,4169000,100
1701016853681,-5798,4454,2136,4169000,100
1701016853785,-5798,4454,2136,4169000,100
1701016853890,-5798,4454,2136,4169000,100
1701016853998,-5798,4454,2136,4169000,100
1701016854104,-5798,4454,2136,4169000,100
1701016854208,-5798,4454,2136,4169000,100
1701016854314,-5798,4454,2136,4169000,100
1701016854419,-5798,4454,2136,4169000,100
1701016854524,-5798,4454,2136,4169000,100
1701016854629,-5798,4454,2136,4169000,100
1701016854733,-5798,4454,2136,4169000,100
1701016854839,-5798,4454,2136,4169000,100
1701016854946,-5798,4454,2136,4169000,100
1701016855052,-5798,4454,2136,4169000,100
1701016855161,-5798,4454,2136,4169000,100
1701016855266,-5798,4454,2136,4169000,100
1701016855370,-5798,4454,2136,4169000,100
1701016855475,-5798,4454,2136,4169000,100
1701016855580,-5798,4454,2136,4169000,100
1701016855685,-5798,4454,2136,4169000,100
1701016855790,-5798,4454,2136,4169000,100
1701016855895,-5798,4454,2136,4169000,100
1701016855999,-5798,4454,2136,4169000,100
1701016856103,-5798,4454,2136,4169000,100
1701016856208,-5798,4454,2136,4169000,100
1701016856313,-5798,4454,2136,4169000,100
1701016856417,-5798,4454,2136,4169000,100
1701016856521,-5798,4454,2136,4169000,100
1701016856626,-5798,4454,2136,4169000,100
1701016856733,-5798,4454,2136,4169000,100
1701016856837,-5798,4454,2136,4169000,100
1701016856943,-5798,4454,2136,4169000,100
1701016857049,-5798,4454,2136,4169000,100
1701016857154,-5798,4454,2136,4169000,100
1701016857258,-5798,4454,2136,4169000,100
1701016857364,15258,4454,2136,4169000,100
1701016857468,15258,4454,2136,4169000,100
1701016857574,15258,4454,2136,4169000,100
1701016857678,15258,4454,2136,4169000,100
1701016857783,15258,4454,2136,4169000,100
1701016857887,15258,4454,2136,4169000,100
1701016857992,15258,4454,2136,4169000,100
1701016858097,15258,4454,2136,4169000,100
1701016858203,15258,4454,2136,4169000,100
1701016858309,15258,4454,2136,4169000,100
1701016858413,15258,4454,2136,4169000,100
1701016858519,15258,4454,2136,4169000,100
1701016858623,15258,4454,2136,4169000,100
