device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,2136.0,4450.0,11413.132067137809,12.216481691025,12.22005362938633,0.050788437698763254
pixel5g,com-chrome-canary,1,100.0,4169000.0,2136.0,4450.0,10997.758193091231,5.891441465725,5.8948258858923825,0.04894002395925598
pixel5g,com-chrome-canary,2,100.0,4169000.0,2136.0,4450.0,11915.1134341637,12.769289860775,12.771470509347198,0.05302225478202847
pixel5g,com-chrome-canary,3,100.0,4169000.0,2136.0,4450.0,12537.332300884957,13.443426188050001,13.443374589805778,0.055791128738938066
pixel5g,com-chrome-canary,4,100.0,4169000.0,2136.0,4450.0,12201.983088562527,13.061239413225,13.061527993369294,0.054298824744103254
pixel5g,com-chrome-canary,5,100.0,4169000.0,2136.0,4450.0,10505.377425044091,5.640889822725,5.642642544582099,0.04674892954144621
pixel5g,com-chrome-canary,6,100.0,4169000.0,2136.0,4450.0,11711.720848056537,6.2758543930999995,6.277094716598234,0.0521171577738516
pixel5g,com-chrome-canary,7,100.0,4169000.0,2136.0,4450.0,10540.620476610768,5.665276968600001,5.665137110901104,0.04690576112091792
pixel5g,com-chrome-canary,8,100.0,4169000.0,2136.0,4450.0,9751.349823321554,5.99743930205,6.0043919986706715,0.049785184805653714
pixel5g,com-chrome-canary,9,100.0,4169000.0,2136.0,4450.0,12528.768755516328,6.73638252125,6.739257914829435,0.05575302096204766
