datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sun Nov 26 17:06:54 UTC 2023,7.4,175749,19.67 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1804800
Sun Nov 26 17:06:56 UTC 2023,7.4,163552,19.76 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 17:06:57 UTC 2023,7.4,164733,19.76 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 17:06:59 UTC 2023,7.4,203769,25.63 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 17:07:00 UTC 2023,73,180829,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 17:07:02 UTC 2023,73,166918,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 17:07:04 UTC 2023,73,166942,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 17:07:05 UTC 2023,73,167010,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 17:07:07 UTC 2023,73,167198,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 17:07:08 UTC 2023,79,168314,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 17:07:09 UTC 2023,79,168237,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 17:07:11 UTC 2023,79,168230,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 17:07:12 UTC 2023,79,167958,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
