Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701019457337,10681,4450,2136,4169000,100
1701019457444,10681,4450,2136,4169000,100
1701019457549,10681,4450,2136,4169000,100
1701019457653,10681,4450,2136,4169000,100
1701019457757,10681,4450,2136,4169000,100
1701019457865,10681,4450,2136,4169000,100
1701019457973,10681,4450,2136,4169000,100
1701019458078,10681,4450,2136,4169000,100
1701019458182,10681,4450,2136,4169000,100
1701019458288,10681,4450,2136,4169000,100
1701019458393,10681,4450,2136,4169000,100
1701019458498,10681,4450,2136,4169000,100
1701019458603,10681,4450,2136,4169000,100
1701019458710,10681,4450,2136,4169000,100
1701019458814,10681,4450,2136,4169000,100
1701019458921,10681,4450,2136,4169000,100
1701019459025,10681,4450,2136,4169000,100
1701019459129,10681,4450,2136,4169000,100
1701019459236,10681,4450,2136,4169000,100
1701019459345,10681,4450,2136,4169000,100
1701019459453,10681,4450,2136,4169000,100
1701019459558,10681,4450,2136,4169000,100
1701019459663,10681,4450,2136,4169000,100
1701019459769,10681,4450,2136,4169000,100
1701019459874,10681,4450,2136,4169000,100
1701019459979,10681,4450,2136,4169000,100
1701019460084,10681,4450,2136,4169000,100
1701019460191,10681,4450,2136,4169000,100
1701019460299,10681,4450,2136,4169000,100
1701019460404,10681,4450,2136,4169000,100
1701019460510,10681,4450,2136,4169000,100
1701019460615,10681,4450,2136,4169000,100
1701019460720,10681,4450,2136,4169000,100
1701019460824,10681,4450,2136,4169000,100
1701019460930,10681,4450,2136,4169000,100
1701019461035,10681,4450,2136,4169000,100
1701019461139,10681,4450,2136,4169000,100
1701019461245,10681,4450,2136,4169000,100
1701019461350,10681,4450,2136,4169000,100
1701019461454,10681,4450,2136,4169000,100
1701019461559,10681,4450,2136,4169000,100
1701019461665,10681,4450,2136,4169000,100
1701019461775,10681,4450,2136,4169000,100
1701019461883,10681,4450,2136,4169000,100
1701019461990,10681,4450,2136,4169000,100
1701019462098,10681,4450,2136,4169000,100
1701019462206,10681,4450,2136,4169000,100
1701019462315,10681,4450,2136,4169000,100
1701019462426,10681,4450,2136,4169000,100
1701019462535,10681,4450,2136,4169000,100
1701019462644,10681,4450,2136,4169000,100
1701019462752,10681,4450,2136,4169000,100
1701019462857,10681,4450,2136,4169000,100
1701019462966,10681,4450,2136,4169000,100
1701019463073,10681,4450,2136,4169000,100
1701019463178,5187,4450,2136,4169000,100
1701019463282,5187,4450,2136,4169000,100
1701019463388,5187,4450,2136,4169000,100
1701019463493,5187,4450,2136,4169000,100
1701019463598,5187,4450,2136,4169000,100
1701019463703,5187,4450,2136,4169000,100
1701019463812,5187,4450,2136,4169000,100
1701019463925,5187,4450,2136,4169000,100
1701019464037,5187,4450,2136,4169000,100
1701019464145,5187,4450,2136,4169000,100
1701019464253,5187,4450,2136,4169000,100
1701019464362,5187,4450,2136,4169000,100
1701019464476,5187,4450,2136,4169000,100
1701019464606,5187,4450,2136,4169000,100
1701019464718,5187,4450,2136,4169000,100
1701019464824,5187,4450,2136,4169000,100
1701019464932,5187,4450,2136,4169000,100
1701019465042,5187,4450,2136,4169000,100
1701019465157,5187,4450,2136,4169000,100
1701019465267,5187,4450,2136,4169000,100
1701019465375,5187,4450,2136,4169000,100
1701019465484,5187,4450,2136,4169000,100
1701019465598,5187,4450,2136,4169000,100
1701019465712,5187,4450,2136,4169000,100
1701019465820,5187,4450,2136,4169000,100
1701019465929,5187,4450,2136,4169000,100
1701019466041,5187,4450,2136,4169000,100
1701019466159,5187,4450,2136,4169000,100
1701019466268,5187,4450,2136,4169000,100
1701019466379,5187,4450,2136,4169000,100
1701019466485,5187,4450,2136,4169000,100
1701019466601,5187,4450,2136,4169000,100
1701019466708,5187,4450,2136,4169000,100
1701019466815,5187,4450,2136,4169000,100
1701019466931,5187,4450,2136,4169000,100
1701019467041,5187,4450,2136,4169000,100
1701019467157,5187,4450,2136,4169000,100
1701019467267,5187,4450,2136,4169000,100
1701019467384,5187,4450,2136,4169000,100
1701019467490,5187,4450,2136,4169000,100
1701019467595,5187,4450,2136,4169000,100
1701019467702,5187,4450,2136,4169000,100
1701019467810,5187,4450,2136,4169000,100
1701019467915,5187,4450,2136,4169000,100
1701019468022,5187,4450,2136,4169000,100
1701019468139,5187,4450,2136,4169000,100
1701019468248,5187,4450,2136,4169000,100
1701019468368,5187,4450,2136,4169000,100
1701019468474,5187,4450,2136,4169000,100
1701019468579,5187,4450,2136,4169000,100
1701019468688,5187,4450,2136,4169000,100
1701019468794,5187,4450,2136,4169000,100
1701019468904,5187,4450,2136,4169000,100
1701019469009,5187,4450,2136,4169000,100
1701019469117,5187,4450,2136,4169000,100
1701019469223,5187,4450,2136,4169000,100
1701019469334,5187,4450,2136,4169000,100
1701019469441,5187,4450,2136,4169000,100
1701019469548,5187,4450,2136,4169000,100
1701019469657,5187,4450,2136,4169000,100
1701019469765,5187,4450,2136,4169000,100
1701019469872,5187,4450,2136,4169000,100
1701019469976,5187,4450,2136,4169000,100
1701019470083,5187,4450,2136,4169000,100
1701019470188,5187,4450,2136,4169000,100
1701019470295,5187,4450,2136,4169000,100
1701019470402,5187,4450,2136,4169000,100
1701019470506,5187,4450,2136,4169000,100
1701019470613,5187,4450,2136,4169000,100
1701019470723,5187,4450,2136,4169000,100
1701019470829,5187,4450,2136,4169000,100
1701019470934,5187,4450,2136,4169000,100
1701019471041,5187,4450,2136,4169000,100
1701019471148,5187,4450,2136,4169000,100
1701019471257,5187,4450,2136,4169000,100
1701019471363,5187,4450,2136,4169000,100
1701019471473,5187,4450,2136,4169000,100
1701019471580,5187,4450,2136,4169000,100
1701019471687,5187,4450,2136,4169000,100
1701019471791,5187,4450,2136,4169000,100
1701019471898,5187,4450,2136,4169000,100
1701019472003,5187,4450,2136,4169000,100
1701019472110,5187,4450,2136,4169000,100
1701019472215,5187,4450,2136,4169000,100
1701019472321,5187,4450,2136,4169000,100
1701019472427,5187,4450,2136,4169000,100
