device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,2136.0,4449.0,14078.793418647167,7.545684834054001,7.5463265021648995,0.06263655191956125
pixel5g,com-chrome-canary,1,100.0,4169000.0,2136.0,4449.0,14205.113575865129,7.611833331282,7.613402957422819,0.06319855029902396
pixel5g,com-chrome-canary,2,100.0,4169000.0,2136.0,4449.0,12489.504432624113,6.706983870268501,6.708626361716168,0.05556580522074468
pixel5g,com-chrome-canary,3,100.0,4169000.0,2136.0,4449.0,12522.884821428572,6.711825906051001,6.71936919446489,0.05571431457053572
pixel5g,com-chrome-canary,4,100.0,4169000.0,2136.0,4449.0,14004.570535714285,7.5061330282980006,7.507788672095212,0.06230633431339285
pixel5g,com-chrome-canary,5,100.0,4169000.0,2136.0,4449.0,13519.317516629711,14.471369787839999,14.470332136306435,0.060147443631485595
pixel5g,com-chrome-canary,6,100.0,4169000.0,2136.0,4449.0,13854.840888888888,7.4250202684065,7.424252337026026,0.061640187114666664
pixel5g,com-chrome-canary,7,100.0,4169000.0,2136.0,4449.0,14025.96269982238,7.520071749747,7.52156577298873,0.06240150805150977
pixel5g,com-chrome-canary,8,100.0,4169000.0,2136.0,4449.0,13863.59325044405,7.429611204853499,7.431902973848084,0.061679126371225586
pixel5g,com-chrome-canary,9,100.0,4169000.0,2136.0,4449.0,14220.394454382826,7.6466034519405,7.64266068578287,0.06326653492754919
