datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sun Nov 26 17:38:39 UTC 2023,31,153955,19.76 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1651200
Sun Nov 26 17:38:41 UTC 2023,31,169136,19.85 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:38:42 UTC 2023,31,159497,19.85 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:38:44 UTC 2023,31,166173,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:38:46 UTC 2023,31,158581,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:38:47 UTC 2023,31,158435,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:38:49 UTC 2023,31,157921,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:38:50 UTC 2023,31,158085,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:38:52 UTC 2023,31,157871,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:38:54 UTC 2023,31,159258,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:38:55 UTC 2023,31,159177,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:38:56 UTC 2023,31,158969,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:38:58 UTC 2023,31,158975,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:38:59 UTC 2023,31,158901,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:39:01 UTC 2023,31,158904,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:39:02 UTC 2023,31,158912,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 17:39:04 UTC 2023,31,159046,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sun Nov 26 17:39:05 UTC 2023,31,159065,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sun Nov 26 17:39:07 UTC 2023,31,159043,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sun Nov 26 17:39:08 UTC 2023,31,159122,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sun Nov 26 17:39:10 UTC 2023,31,158905,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1363200
Sun Nov 26 17:39:11 UTC 2023,31,158537,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1363200
Sun Nov 26 17:39:13 UTC 2023,31,158520,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1363200
Sun Nov 26 17:39:14 UTC 2023,31,158536,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1363200
Sun Nov 26 17:39:16 UTC 2023,31,158516,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1363200
Sun Nov 26 17:39:17 UTC 2023,31,158515,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1363200
Sun Nov 26 17:39:18 UTC 2023,31,158516,27.08 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1363200
