Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701021122176,14343,4449,2136,4169000,100
1701021122281,14343,4449,2136,4169000,100
1701021122393,14343,4449,2136,4169000,100
1701021122501,14343,4449,2136,4169000,100
1701021122610,14343,4449,2136,4169000,100
1701021122715,14343,4449,2136,4169000,100
1701021122820,14343,4449,2136,4169000,100
1701021122930,14343,4449,2136,4169000,100
1701021123039,14343,4449,2136,4169000,100
1701021123149,14343,4449,2136,4169000,100
1701021123256,14343,4449,2136,4169000,100
1701021123360,14343,4449,2136,4169000,100
1701021123467,14343,4449,2136,4169000,100
1701021123573,14343,4449,2136,4169000,100
1701021123678,14343,4449,2136,4169000,100
1701021123784,14343,4449,2136,4169000,100
1701021123890,14343,4449,2136,4169000,100
1701021123996,14343,4449,2136,4169000,100
1701021124102,14343,4449,2136,4169000,100
1701021124207,14343,4449,2136,4169000,100
1701021124312,14343,4449,2136,4169000,100
1701021124418,14343,4449,2136,4169000,100
1701021124523,14343,4449,2136,4169000,100
1701021124628,14343,4449,2136,4169000,100
1701021124733,14343,4449,2136,4169000,100
1701021124840,14343,4449,2136,4169000,100
1701021124948,14343,4449,2136,4169000,100
1701021125053,14343,4449,2136,4169000,100
1701021125161,14343,4449,2136,4169000,100
1701021125267,14343,4449,2136,4169000,100
1701021125372,14343,4449,2136,4169000,100
1701021125478,14343,4449,2136,4169000,100
1701021125584,14343,4449,2136,4169000,100
1701021125690,14343,4449,2136,4169000,100
1701021125797,14343,4449,2136,4169000,100
1701021125904,14343,4449,2136,4169000,100
1701021126011,14343,4449,2136,4169000,100
1701021126119,5187,4449,2136,4169000,100
1701021126225,5187,4449,2136,4169000,100
1701021126332,5187,4449,2136,4169000,100
1701021126439,5187,4449,2136,4169000,100
1701021126545,5187,4449,2136,4169000,100
1701021126658,5187,4449,2136,4169000,100
1701021126767,5187,4449,2136,4169000,100
1701021126875,5187,4449,2136,4169000,100
1701021126981,5187,4449,2136,4169000,100
1701021127088,5187,4449,2136,4169000,100
1701021127194,5187,4449,2136,4169000,100
1701021127304,5187,4449,2136,4169000,100
1701021127411,5187,4449,2136,4169000,100
1701021127520,5187,4449,2136,4169000,100
1701021127631,5187,4449,2136,4169000,100
1701021127739,5187,4449,2136,4169000,100
1701021127847,5187,4449,2136,4169000,100
1701021127959,5187,4449,2136,4169000,100
1701021128064,5187,4449,2136,4169000,100
1701021128170,5187,4449,2136,4169000,100
1701021128282,5187,4449,2136,4169000,100
1701021128388,5187,4449,2136,4169000,100
1701021128494,5187,4449,2136,4169000,100
1701021128602,5187,4449,2136,4169000,100
1701021128710,5187,4449,2136,4169000,100
1701021128815,5187,4449,2136,4169000,100
1701021128922,5187,4449,2136,4169000,100
1701021129028,5187,4449,2136,4169000,100
1701021129134,5187,4449,2136,4169000,100
1701021129239,5187,4449,2136,4169000,100
1701021129344,5187,4449,2136,4169000,100
1701021129450,5187,4449,2136,4169000,100
1701021129555,5187,4449,2136,4169000,100
1701021129665,5187,4449,2136,4169000,100
1701021129771,5187,4449,2136,4169000,100
1701021129876,5187,4449,2136,4169000,100
1701021129981,5187,4449,2136,4169000,100
1701021130087,5187,4449,2136,4169000,100
1701021130192,5187,4449,2136,4169000,100
1701021130297,5187,4449,2136,4169000,100
1701021130402,5187,4449,2136,4169000,100
1701021130508,5187,4449,2136,4169000,100
1701021130613,5187,4449,2136,4169000,100
1701021130718,5187,4449,2136,4169000,100
1701021130825,5187,4449,2136,4169000,100
1701021130932,5187,4449,2136,4169000,100
1701021131037,5187,4449,2136,4169000,100
1701021131143,5187,4449,2136,4169000,100
1701021131246,5187,4449,2136,4169000,100
1701021131351,5187,4449,2136,4169000,100
1701021131462,5187,4449,2136,4169000,100
1701021131568,5187,4449,2136,4169000,100
1701021131674,5187,4449,2136,4169000,100
1701021131779,5187,4449,2136,4169000,100
1701021131886,5187,4449,2136,4169000,100
1701021131993,5187,4449,2136,4169000,100
1701021132103,5187,4449,2136,4169000,100
1701021132219,5187,4449,2136,4169000,100
1701021132326,5187,4449,2136,4169000,100
1701021132433,5187,4449,2136,4169000,100
1701021132540,5187,4449,2136,4169000,100
1701021132648,5187,4449,2136,4169000,100
1701021132755,5187,4449,2136,4169000,100
1701021132863,5187,4449,2136,4169000,100
1701021132974,5187,4449,2136,4169000,100
1701021133094,5187,4449,2136,4169000,100
1701021133206,5187,4449,2136,4169000,100
1701021133311,5187,4449,2136,4169000,100
1701021133414,5187,4449,2136,4169000,100
1701021133534,5187,4449,2136,4169000,100
1701021133662,5187,4449,2136,4169000,100
1701021133769,5187,4449,2136,4169000,100
1701021133881,5187,4449,2136,4169000,100
1701021133995,5187,4449,2136,4169000,100
1701021134103,5187,4449,2136,4169000,100
1701021134221,5187,4449,2136,4169000,100
1701021134328,5187,4449,2136,4169000,100
1701021134437,5187,4449,2136,4169000,100
1701021134543,5187,4449,2136,4169000,100
1701021134646,5187,4449,2136,4169000,100
1701021134757,5187,4449,2136,4169000,100
1701021134869,5187,4449,2136,4169000,100
1701021134972,5187,4449,2136,4169000,100
1701021135095,5187,4449,2136,4169000,100
1701021135207,5187,4449,2136,4169000,100
1701021135318,5187,4449,2136,4169000,100
1701021135427,5187,4449,2136,4169000,100
1701021135541,5187,4449,2136,4169000,100
1701021135656,5187,4449,2136,4169000,100
1701021135763,5187,4449,2136,4169000,100
1701021135869,5187,4449,2136,4169000,100
1701021135976,5187,4449,2136,4169000,100
1701021136086,5187,4449,2136,4169000,100
1701021136194,5187,4449,2136,4169000,100
1701021136302,5187,4449,2136,4169000,100
1701021136411,5187,4449,2136,4169000,100
1701021136519,5187,4449,2136,4169000,100
1701021136628,5187,4449,2136,4169000,100
1701021136742,5187,4449,2136,4169000,100
1701021136857,5187,4449,2136,4169000,100
1701021136966,5187,4449,2136,4169000,100
1701021137085,5187,4449,2136,4169000,100
1701021137201,5187,4449,2136,4169000,100
1701021137312,5187,4449,2136,4169000,100
1701021137421,5187,4449,2136,4169000,100
1701021137528,5187,4449,2136,4169000,100
1701021137636,5187,4449,2136,4169000,100
1701021137745,5187,4449,2136,4169000,100
1701021137855,5187,4449,2136,4169000,100
1701021137974,5187,4449,2136,4169000,100
1701021138081,5187,4449,2136,4169000,100
1701021138198,5187,4449,2136,4169000,100
1701021138306,5187,4449,2136,4169000,100
1701021138412,5187,4449,2136,4169000,100
1701021138523,5187,4449,2136,4169000,100
1701021138628,5187,4449,2136,4169000,100
1701021138738,5187,4449,2136,4169000,100
1701021138851,5187,4449,2136,4169000,100
1701021138962,5187,4449,2136,4169000,100
1701021139074,5187,4449,2136,4169000,100
1701021139181,5187,4449,2136,4169000,100
1701021139294,5187,4449,2136,4169000,100
1701021139402,5187,4449,2136,4169000,100
1701021139511,5187,4449,2136,4169000,100
1701021139623,5187,4449,2136,4169000,100
1701021139731,5187,4449,2136,4169000,100
1701021139837,5187,4449,2136,4169000,100
1701021139945,5187,4449,2136,4169000,100
1701021140052,5187,4449,2136,4169000,100
1701021140159,5187,4449,2136,4169000,100
1701021140265,5187,4449,2136,4169000,100
1701021140371,5187,4449,2136,4169000,100
1701021140478,5187,4449,2136,4169000,100
1701021140585,5187,4449,2136,4169000,100
1701021140697,5187,4449,2136,4169000,100
1701021140807,5187,4449,2136,4169000,100
1701021140917,5187,4449,2136,4169000,100
1701021141026,5187,4449,2136,4169000,100
1701021141136,5187,4449,2136,4169000,100
1701021141244,5187,4449,2136,4169000,100
1701021141354,5187,4449,2136,4169000,100
1701021141462,5187,4449,2136,4169000,100
1701021141568,5187,4449,2136,4169000,100
1701021141680,5187,4449,2136,4169000,100
1701021141786,5187,4449,2136,4169000,100
1701021141894,5187,4449,2136,4169000,100
1701021142002,5187,4449,2136,4169000,100
1701021142111,11291,4449,2136,4169000,100
1701021142219,11291,4449,2136,4169000,100
1701021142325,11291,4449,2136,4169000,100
1701021142433,11291,4449,2136,4169000,100
1701021142546,11291,4449,2136,4169000,100
1701021142650,11291,4449,2136,4169000,100
1701021142761,11291,4449,2136,4169000,100
1701021142870,11291,4449,2136,4169000,100
1701021142980,11291,4449,2136,4169000,100
1701021143093,11291,4449,2136,4169000,100
1701021143203,11291,4449,2136,4169000,100
1701021143312,11291,4449,2136,4169000,100
1701021143419,11291,4449,2136,4169000,100
1701021143528,11291,4449,2136,4169000,100
1701021143636,11291,4449,2136,4169000,100
1701021143743,11291,4449,2136,4169000,100
1701021143850,11291,4449,2136,4169000,100
1701021143958,11291,4449,2136,4169000,100
1701021144069,11291,4449,2136,4169000,100
1701021144187,11291,4449,2136,4169000,100
1701021144300,11291,4449,2136,4169000,100
1701021144409,11291,4449,2136,4169000,100
1701021144519,11291,4449,2136,4169000,100
1701021144628,11291,4449,2136,4169000,100
1701021144734,11291,4449,2136,4169000,100
1701021144843,11291,4449,2136,4169000,100
1701021144952,11291,4449,2136,4169000,100
1701021145060,11291,4449,2136,4169000,100
1701021145172,11291,4449,2136,4169000,100
1701021145279,11291,4449,2136,4169000,100
1701021145390,11291,4449,2136,4169000,100
1701021145500,11291,4449,2136,4169000,100
1701021145606,11291,4449,2136,4169000,100
1701021145713,11291,4449,2136,4169000,100
1701021145822,11291,4449,2136,4169000,100
1701021145930,11291,4449,2136,4169000,100
1701021146040,11291,4449,2136,4169000,100
1701021146146,11291,4449,2136,4169000,100
1701021146253,11291,4449,2136,4169000,100
1701021146361,11291,4449,2136,4169000,100
1701021146468,11291,4449,2136,4169000,100
1701021146573,11291,4449,2136,4169000,100
1701021146681,11291,4449,2136,4169000,100
1701021146789,11291,4449,2136,4169000,100
1701021146899,11291,4449,2136,4169000,100
1701021147006,11291,4449,2136,4169000,100
1701021147116,11291,4449,2136,4169000,100
1701021147222,11291,4449,2136,4169000,100
1701021147329,11291,4449,2136,4169000,100
1701021147436,11291,4449,2136,4169000,100
1701021147545,11291,4449,2136,4169000,100
1701021147651,11291,4449,2136,4169000,100
1701021147759,11291,4449,2136,4169000,100
1701021147866,11291,4449,2136,4169000,100
1701021147974,11291,4449,2136,4169000,100
1701021148082,11291,4449,2136,4169000,100
1701021148189,11291,4449,2136,4169000,100
1701021148295,11291,4449,2136,4169000,100
1701021148403,11291,4449,2136,4169000,100
1701021148513,11291,4449,2136,4169000,100
1701021148620,11291,4449,2136,4169000,100
1701021148731,11291,4449,2136,4169000,100
1701021148840,11291,4449,2136,4169000,100
1701021148944,11291,4449,2136,4169000,100
1701021149053,11291,4449,2136,4169000,100
1701021149161,11291,4449,2136,4169000,100
1701021149269,11291,4449,2136,4169000,100
1701021149377,11291,4449,2136,4169000,100
1701021149483,11291,4449,2136,4169000,100
1701021149592,11291,4449,2136,4169000,100
1701021149700,11291,4449,2136,4169000,100
1701021149811,11291,4449,2136,4169000,100
1701021149920,11291,4449,2136,4169000,100
1701021150029,11291,4449,2136,4169000,100
1701021150135,11291,4449,2136,4169000,100
1701021150244,11291,4449,2136,4169000,100
1701021150350,11291,4449,2136,4169000,100
1701021150456,11291,4449,2136,4169000,100
1701021150564,11291,4449,2136,4169000,100
1701021150672,11291,4449,2136,4169000,100
1701021150779,11291,4449,2136,4169000,100
1701021150885,11291,4449,2136,4169000,100
1701021150992,11291,4449,2136,4169000,100
1701021151098,11291,4449,2136,4169000,100
1701021151204,11291,4449,2136,4169000,100
1701021151314,11291,4449,2136,4169000,100
1701021151423,11291,4449,2136,4169000,100
1701021151534,11291,4449,2136,4169000,100
1701021151639,11291,4449,2136,4169000,100
1701021151748,11291,4449,2136,4169000,100
1701021151855,11291,4449,2136,4169000,100
1701021151962,11291,4449,2136,4169000,100
1701021152068,11291,4449,2136,4169000,100
1701021152175,11291,4449,2136,4169000,100
1701021152282,11291,4449,2136,4169000,100
1701021152387,11291,4449,2136,4169000,100
1701021152497,11291,4449,2136,4169000,100
1701021152606,11291,4449,2136,4169000,100
1701021152713,11291,4449,2136,4169000,100
1701021152819,11291,4449,2136,4169000,100
1701021152924,11291,4449,2136,4169000,100
1701021153030,11291,4449,2136,4169000,100
1701021153138,11291,4449,2136,4169000,100
1701021153245,11291,4449,2136,4169000,100
1701021153352,11291,4449,2136,4169000,100
1701021153458,11291,4449,2136,4169000,100
1701021153566,11291,4449,2136,4169000,100
1701021153673,11291,4449,2136,4169000,100
1701021153777,11291,4449,2136,4169000,100
1701021153881,11291,4449,2136,4169000,100
1701021153992,11291,4449,2136,4169000,100
1701021154100,11291,4449,2136,4169000,100
1701021154204,11291,4449,2136,4169000,100
1701021154312,11291,4449,2136,4169000,100
1701021154420,11291,4449,2136,4169000,100
1701021154527,11291,4449,2136,4169000,100
1701021154634,11291,4449,2136,4169000,100
1701021154743,11291,4449,2136,4169000,100
1701021154848,11291,4449,2136,4169000,100
1701021154956,11291,4449,2136,4169000,100
1701021155062,11291,4449,2136,4169000,100
1701021155169,11291,4449,2136,4169000,100
1701021155276,11291,4449,2136,4169000,100
1701021155384,11291,4449,2136,4169000,100
1701021155490,11291,4449,2136,4169000,100
1701021155596,11291,4449,2136,4169000,100
1701021155704,11291,4449,2136,4169000,100
1701021155811,11291,4449,2136,4169000,100
1701021155918,11291,4449,2136,4169000,100
1701021156026,11291,4449,2136,4169000,100
1701021156133,11291,4449,2136,4169000,100
1701021156239,11291,4449,2136,4169000,100
1701021156348,11291,4449,2136,4169000,100
1701021156456,11291,4449,2136,4169000,100
1701021156562,11291,4449,2136,4169000,100
1701021156670,11291,4449,2136,4169000,100
1701021156778,11291,4449,2136,4169000,100
1701021156882,11291,4449,2136,4169000,100
1701021156988,11291,4449,2136,4169000,100
1701021157098,11291,4449,2136,4169000,100
1701021157205,11291,4449,2136,4169000,100
1701021157311,11291,4449,2136,4169000,100
1701021157420,11291,4449,2136,4169000,100
1701021157528,11291,4449,2136,4169000,100
1701021157638,11291,4449,2136,4169000,100
1701021157743,11291,4449,2136,4169000,100
1701021157850,11291,4449,2136,4169000,100
1701021157958,11291,4449,2136,4169000,100
1701021158065,11291,4449,2136,4169000,100
1701021158172,13427,4449,2136,4169000,100
1701021158278,13427,4449,2136,4169000,100
1701021158387,13427,4449,2136,4169000,100
1701021158495,13427,4449,2136,4169000,100
1701021158601,13427,4449,2136,4169000,100
1701021158710,13427,4449,2136,4169000,100
1701021158820,13427,4449,2136,4169000,100
1701021158926,13427,4449,2136,4169000,100
1701021159035,13427,4449,2136,4169000,100
1701021159141,13427,4449,2136,4169000,100
1701021159249,13427,4449,2136,4169000,100
1701021159355,13427,4449,2136,4169000,100
1701021159461,13427,4449,2136,4169000,100
1701021159569,13427,4449,2136,4169000,100
1701021159675,13427,4449,2136,4169000,100
1701021159782,13427,4449,2136,4169000,100
1701021159889,13427,4449,2136,4169000,100
1701021159993,13427,4449,2136,4169000,100
1701021160106,13427,4449,2136,4169000,100
1701021160213,13427,4449,2136,4169000,100
1701021160321,13427,4449,2136,4169000,100
1701021160427,13427,4449,2136,4169000,100
1701021160533,13427,4449,2136,4169000,100
1701021160639,13427,4449,2136,4169000,100
1701021160746,13427,4449,2136,4169000,100
1701021160853,13427,4449,2136,4169000,100
1701021160960,13427,4449,2136,4169000,100
1701021161065,13427,4449,2136,4169000,100
1701021161170,13427,4449,2136,4169000,100
1701021161276,13427,4449,2136,4169000,100
1701021161383,13427,4449,2136,4169000,100
1701021161490,13427,4449,2136,4169000,100
1701021161600,13427,4449,2136,4169000,100
1701021161708,13427,4449,2136,4169000,100
1701021161816,13427,4449,2136,4169000,100
1701021161926,13427,4449,2136,4169000,100
1701021162033,13427,4449,2136,4169000,100
1701021162138,13427,4449,2136,4169000,100
1701021162247,13427,4449,2136,4169000,100
1701021162353,13427,4449,2136,4169000,100
1701021162460,13427,4449,2136,4169000,100
1701021162566,13427,4449,2136,4169000,100
1701021162672,13427,4449,2136,4169000,100
1701021162777,13427,4449,2136,4169000,100
1701021162883,13427,4449,2136,4169000,100
1701021162995,13427,4449,2136,4169000,100
1701021163105,13427,4449,2136,4169000,100
1701021163212,13427,4449,2136,4169000,100
1701021163320,13427,4449,2136,4169000,100
1701021163427,13427,4449,2136,4169000,100
1701021163534,13427,4449,2136,4169000,100
1701021163641,13427,4449,2136,4169000,100
1701021163749,13427,4449,2136,4169000,100
1701021163856,13427,4449,2136,4169000,100
1701021163962,13427,4449,2136,4169000,100
1701021164070,13427,4449,2136,4169000,100
1701021164178,13427,4449,2136,4169000,100
1701021164284,13427,4449,2136,4169000,100
1701021164390,13427,4449,2136,4169000,100
1701021164500,13427,4449,2136,4169000,100
1701021164607,13427,4449,2136,4169000,100
1701021164715,13427,4449,2136,4169000,100
1701021164823,13427,4449,2136,4169000,100
1701021164931,13427,4449,2136,4169000,100
1701021165039,13427,4449,2136,4169000,100
1701021165144,13427,4449,2136,4169000,100
1701021165250,13427,4449,2136,4169000,100
1701021165357,13427,4449,2136,4169000,100
1701021165462,13427,4449,2136,4169000,100
1701021165569,13427,4449,2136,4169000,100
1701021165677,13427,4449,2136,4169000,100
1701021165783,13427,4449,2136,4169000,100
1701021165888,13427,4449,2136,4169000,100
1701021165995,13427,4449,2136,4169000,100
1701021166110,13427,4449,2136,4169000,100
1701021166220,13427,4449,2136,4169000,100
1701021166328,13427,4449,2136,4169000,100
1701021166435,13427,4449,2136,4169000,100
1701021166542,13427,4449,2136,4169000,100
1701021166648,13427,4449,2136,4169000,100
1701021166755,13427,4449,2136,4169000,100
1701021166863,13427,4449,2136,4169000,100
1701021166972,13427,4449,2136,4169000,100
1701021167080,13427,4449,2136,4169000,100
1701021167188,13427,4449,2136,4169000,100
1701021167297,13427,4449,2136,4169000,100
1701021167403,13427,4449,2136,4169000,100
1701021167510,13427,4449,2136,4169000,100
1701021167619,13427,4449,2136,4169000,100
1701021167727,13427,4449,2136,4169000,100
1701021167835,13427,4449,2136,4169000,100
1701021167942,13427,4449,2136,4169000,100
1701021168047,13427,4449,2136,4169000,100
1701021168151,13427,4449,2136,4169000,100
1701021168257,13427,4449,2136,4169000,100
1701021168364,13427,4449,2136,4169000,100
1701021168471,13427,4449,2136,4169000,100
1701021168575,13427,4449,2136,4169000,100
1701021168681,13427,4449,2136,4169000,100
1701021168789,13427,4449,2136,4169000,100
1701021168893,13427,4449,2136,4169000,100
1701021169005,13427,4449,2136,4169000,100
1701021169116,13427,4449,2136,4169000,100
1701021169228,13427,4449,2136,4169000,100
1701021169333,13427,4449,2136,4169000,100
1701021169438,13427,4449,2136,4169000,100
1701021169546,13427,4449,2136,4169000,100
1701021169655,13427,4449,2136,4169000,100
1701021169763,13427,4449,2136,4169000,100
1701021169871,13427,4449,2136,4169000,100
1701021169979,13427,4449,2136,4169000,100
1701021170087,13427,4449,2136,4169000,100
1701021170194,13427,4449,2136,4169000,100
1701021170300,13427,4449,2136,4169000,100
1701021170407,13427,4449,2136,4169000,100
1701021170516,13427,4449,2136,4169000,100
1701021170624,13427,4449,2136,4169000,100
1701021170729,13427,4449,2136,4169000,100
1701021170835,13427,4449,2136,4169000,100
1701021170941,13427,4449,2136,4169000,100
1701021171049,13427,4449,2136,4169000,100
1701021171154,13427,4449,2136,4169000,100
1701021171261,13427,4449,2136,4169000,100
1701021171369,13427,4449,2136,4169000,100
1701021171476,13427,4449,2136,4169000,100
1701021171585,13427,4449,2136,4169000,100
1701021171693,13427,4449,2136,4169000,100
1701021171800,13427,4449,2136,4169000,100
1701021171909,13427,4449,2136,4169000,100
1701021172013,13427,4449,2136,4169000,100
1701021172121,13427,4449,2136,4169000,100
1701021172228,13427,4449,2136,4169000,100
1701021172339,13427,4449,2136,4169000,100
1701021172446,13427,4449,2136,4169000,100
1701021172553,13427,4449,2136,4169000,100
1701021172659,13427,4449,2136,4169000,100
1701021172766,13427,4449,2136,4169000,100
1701021172875,13427,4449,2136,4169000,100
1701021172984,13427,4449,2136,4169000,100
1701021173091,13427,4449,2136,4169000,100
1701021173199,13427,4449,2136,4169000,100
1701021173306,13427,4449,2136,4169000,100
1701021173415,13427,4449,2136,4169000,100
1701021173522,13427,4449,2136,4169000,100
1701021173631,13427,4449,2136,4169000,100
1701021173735,13427,4449,2136,4169000,100
1701021173840,13427,4449,2136,4169000,100
