datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sun Nov 26 18:25:20 UTC 2023,30,172612,19.57 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1804800
Sun Nov 26 18:25:22 UTC 2023,30,157429,19.67 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:23 UTC 2023,30,162516,19.67 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:24 UTC 2023,30,181578,25.35 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:25 UTC 2023,30,177604,25.35 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:26 UTC 2023,30,178640,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:28 UTC 2023,30,164057,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:30 UTC 2023,30,164641,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:31 UTC 2023,30,164897,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:32 UTC 2023,30,164449,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:34 UTC 2023,30,165297,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:35 UTC 2023,30,165357,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:37 UTC 2023,30,165339,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:38 UTC 2023,30,165648,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:39 UTC 2023,30,165248,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:41 UTC 2023,30,165348,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:42 UTC 2023,30,165332,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:44 UTC 2023,30,165248,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:45 UTC 2023,30,165488,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:47 UTC 2023,30,165491,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:48 UTC 2023,30,165171,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:49 UTC 2023,30,165246,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:51 UTC 2023,30,165226,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:52 UTC 2023,30,164410,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:54 UTC 2023,30,164430,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:55 UTC 2023,30,164414,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:57 UTC 2023,30,164426,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:58 UTC 2023,30,164433,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:25:59 UTC 2023,30,164410,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:01 UTC 2023,30,164413,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:02 UTC 2023,30,164406,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:04 UTC 2023,30,164406,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:05 UTC 2023,30,164402,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:07 UTC 2023,30,164394,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:08 UTC 2023,30,164418,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:09 UTC 2023,30,164394,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 18:26:11 UTC 2023,30,164413,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:12 UTC 2023,30,164346,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:14 UTC 2023,30,164362,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:15 UTC 2023,30,164350,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:17 UTC 2023,30,164358,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:18 UTC 2023,30,164361,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:19 UTC 2023,30,164567,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 18:26:21 UTC 2023,30,164599,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 18:26:22 UTC 2023,30,164594,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:24 UTC 2023,30,164408,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:25 UTC 2023,30,164432,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:27 UTC 2023,30,164407,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:28 UTC 2023,30,164428,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:29 UTC 2023,30,164680,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:31 UTC 2023,30,164436,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:32 UTC 2023,30,164412,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:34 UTC 2023,30,164436,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:35 UTC 2023,30,164444,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:37 UTC 2023,30,164451,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:38 UTC 2023,30,164452,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:40 UTC 2023,30,164452,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:41 UTC 2023,30,164484,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 18:26:42 UTC 2023,30,164456,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:44 UTC 2023,30,164472,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:45 UTC 2023,30,164464,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:47 UTC 2023,30,164453,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:48 UTC 2023,30,164492,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:50 UTC 2023,30,164476,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:51 UTC 2023,30,164484,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:52 UTC 2023,30,164449,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:54 UTC 2023,30,164456,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:55 UTC 2023,30,164448,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:56 UTC 2023,30,164448,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:58 UTC 2023,30,164460,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:26:59 UTC 2023,30,164436,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:27:01 UTC 2023,30,164428,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:27:02 UTC 2023,30,164435,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:27:04 UTC 2023,30,164436,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:27:05 UTC 2023,30,164477,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:27:06 UTC 2023,30,164444,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:27:08 UTC 2023,30,164472,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:27:09 UTC 2023,30,164440,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:27:11 UTC 2023,30,164452,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:27:12 UTC 2023,30,164464,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:27:14 UTC 2023,30,164456,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 18:27:15 UTC 2023,30,164464,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:27:17 UTC 2023,30,164452,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 18:27:18 UTC 2023,30,164464,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 18:27:19 UTC 2023,30,164460,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
