Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701021557194,8239,4447,2136,4169000,100
1701021557308,8239,4447,2136,4169000,100
1701021557415,8239,4447,2136,4169000,100
1701021557521,8239,4447,2136,4169000,100
1701021557627,8239,4447,2136,4169000,100
1701021557733,8239,4447,2136,4169000,100
1701021557838,8239,4447,2136,4169000,100
1701021557943,8544,4447,2136,4169000,100
1701021558049,8544,4447,2136,4169000,100
1701021558155,8544,4447,2136,4169000,100
1701021558262,8544,4447,2136,4169000,100
1701021558367,8544,4447,2136,4169000,100
1701021558472,8544,4447,2136,4169000,100
1701021558577,8544,4447,2136,4169000,100
1701021558683,8544,4447,2136,4169000,100
1701021558790,8544,4447,2136,4169000,100
1701021558895,8544,4447,2136,4169000,100
1701021559002,8544,4447,2136,4169000,100
1701021559109,8544,4447,2136,4169000,100
1701021559216,8544,4447,2136,4169000,100
1701021559322,8544,4447,2136,4169000,100
1701021559428,8544,4447,2136,4169000,100
1701021559534,8544,4447,2136,4169000,100
1701021559641,8544,4447,2136,4169000,100
1701021559763,8544,4447,2136,4169000,100
1701021559872,8544,4447,2136,4169000,100
1701021559979,8544,4447,2136,4169000,100
1701021560084,8544,4447,2136,4169000,100
1701021560195,8544,4447,2136,4169000,100
1701021560302,8544,4447,2136,4169000,100
1701021560407,8544,4447,2136,4169000,100
1701021560513,8544,4447,2136,4169000,100
1701021560619,8544,4447,2136,4169000,100
1701021560724,8544,4447,2136,4169000,100
1701021560846,8544,4447,2136,4169000,100
1701021560955,8544,4447,2136,4169000,100
1701021561074,8544,4447,2136,4169000,100
1701021561179,8544,4447,2136,4169000,100
1701021561291,8544,4447,2136,4169000,100
1701021561404,8544,4447,2136,4169000,100
1701021561516,8544,4447,2136,4169000,100
1701021561626,8544,4447,2136,4169000,100
1701021561743,8544,4447,2136,4169000,100
1701021561855,8544,4447,2136,4169000,100
