device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,2136.0,4448.0,10705.657848324516,5.748440836608001,5.745680318753863,0.047618766109347455
pixel5g,com-chrome-canary,1,100.0,4169000.0,2136.0,4448.0,12016.09268292683,12.857807579200001,12.856868877597815,0.05344758025365854
pixel5g,com-chrome-canary,2,100.0,4169000.0,2136.0,4448.0,11920.967256637168,12.757351636464001,12.757897741069256,0.05302446235752213
pixel5g,com-chrome-canary,3,100.0,4169000.0,2136.0,4448.0,10944.324503311258,11.709370012448002,11.708793799999576,0.04868035539072848
pixel5g,com-chrome-canary,4,100.0,4169000.0,2136.0,4448.0,11462.343309859154,6.143682590592001,6.144142461621974,0.050984503042253534
pixel5g,com-chrome-canary,5,100.0,4169000.0,2136.0,4448.0,12232.846017699116,6.5579451779680005,6.558024444126698,0.05441169908672567
pixel5g,com-chrome-canary,6,100.0,4169000.0,2136.0,4448.0,10149.163082437275,5.4319459252960005,5.439563308190109,0.04514347739068101
pixel5g,com-chrome-canary,7,100.0,4169000.0,2136.0,4448.0,11890.022084805654,6.379397607424002,6.380318638473359,0.05288681823321556
pixel5g,com-chrome-canary,8,100.0,4169000.0,2136.0,4448.0,11552.390350877193,6.190745851104001,6.191845004792282,0.051385032280701765
pixel5g,com-chrome-canary,9,100.0,4169000.0,2136.0,4448.0,12359.378091872792,6.627938430032001,6.627727378019506,0.05497451375265018
