datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sun Nov 26 19:15:50 UTC 2023,33,168482,19.57 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1804800
Sun Nov 26 19:15:52 UTC 2023,33,171404,19.67 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 19:15:53 UTC 2023,33,187719,19.67 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 19:15:55 UTC 2023,33,193022,24.63 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 19:15:56 UTC 2023,33,175678,25.82 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 19:15:58 UTC 2023,33,164127,25.82 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 19:15:59 UTC 2023,33,158609,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:01 UTC 2023,33,187054,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:02 UTC 2023,33,186638,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:04 UTC 2023,33,186182,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:05 UTC 2023,33,186038,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:07 UTC 2023,33,186006,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:08 UTC 2023,33,185814,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:10 UTC 2023,33,185698,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:11 UTC 2023,33,185682,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:13 UTC 2023,33,185654,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:14 UTC 2023,33,185822,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:16 UTC 2023,33,185817,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:17 UTC 2023,33,185853,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:19 UTC 2023,33,185823,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:20 UTC 2023,33,185671,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:22 UTC 2023,33,185283,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:16:23 UTC 2023,33,185315,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:16:25 UTC 2023,33,185283,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:26 UTC 2023,33,185311,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:16:28 UTC 2023,33,185283,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:16:29 UTC 2023,33,185310,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:16:31 UTC 2023,33,185279,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:16:32 UTC 2023,33,185306,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:16:33 UTC 2023,33,185283,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:35 UTC 2023,33,185308,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:36 UTC 2023,33,185283,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:16:38 UTC 2023,33,185307,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:16:39 UTC 2023,33,185267,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:16:41 UTC 2023,33,185268,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:16:42 UTC 2023,33,185283,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1363200
Sun Nov 26 19:16:44 UTC 2023,33,185271,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),614400
Sun Nov 26 19:16:45 UTC 2023,33,185291,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),614400
Sun Nov 26 19:16:47 UTC 2023,33,185271,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:16:48 UTC 2023,33,185290,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:16:50 UTC 2023,33,184010,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:51 UTC 2023,33,184523,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:16:52 UTC 2023,33,184488,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1363200
Sun Nov 26 19:16:54 UTC 2023,33,183788,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:16:55 UTC 2023,33,183768,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:16:57 UTC 2023,33,183788,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:16:58 UTC 2023,33,183772,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:17:00 UTC 2023,33,184052,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:17:01 UTC 2023,33,183772,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:17:03 UTC 2023,33,183772,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:17:04 UTC 2023,33,183800,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:17:06 UTC 2023,33,183772,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1516800
Sun Nov 26 19:17:07 UTC 2023,33,183808,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),614400
Sun Nov 26 19:17:09 UTC 2023,33,183780,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1363200
Sun Nov 26 19:17:10 UTC 2023,33,183772,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:17:12 UTC 2023,33,183752,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:17:13 UTC 2023,33,183780,54.01 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),614400
Sun Nov 26 19:17:15 UTC 2023,33,181282,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),576000
Sun Nov 26 19:17:16 UTC 2023,33,174515,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:18 UTC 2023,33,175814,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:19 UTC 2023,33,172517,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:21 UTC 2023,33,172034,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:23 UTC 2023,33,172023,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:24 UTC 2023,33,172290,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:26 UTC 2023,33,171949,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:27 UTC 2023,33,171977,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:29 UTC 2023,33,171954,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:30 UTC 2023,33,171990,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:32 UTC 2023,33,171954,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:33 UTC 2023,33,171974,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:35 UTC 2023,33,171962,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:36 UTC 2023,33,171974,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:37 UTC 2023,33,171998,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:39 UTC 2023,33,171998,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:40 UTC 2023,33,172002,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:42 UTC 2023,33,171966,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:43 UTC 2023,33,171986,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:45 UTC 2023,33,171955,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:46 UTC 2023,33,171958,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:47 UTC 2023,33,171938,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
Sun Nov 26 19:17:49 UTC 2023,33,172058,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1651200
Sun Nov 26 19:17:50 UTC 2023,33,172054,54.01 KB (0.00 bytes is purgeable),4.61 MB (568.31 KB is purgeable),1804800
