Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701026151139,11291,4448,2136,4169000,100
1701026151244,11291,4448,2136,4169000,100
1701026151351,11291,4448,2136,4169000,100
1701026151455,11291,4448,2136,4169000,100
1701026151560,11291,4448,2136,4169000,100
1701026151666,11291,4448,2136,4169000,100
1701026151770,11291,4448,2136,4169000,100
1701026151875,11291,4448,2136,4169000,100
1701026151979,11291,4448,2136,4169000,100
1701026152084,11291,4448,2136,4169000,100
1701026152189,11291,4448,2136,4169000,100
1701026152293,11291,4448,2136,4169000,100
1701026152401,11291,4448,2136,4169000,100
1701026152509,11291,4448,2136,4169000,100
1701026152614,11291,4448,2136,4169000,100
1701026152721,11291,4448,2136,4169000,100
1701026152826,11291,4448,2136,4169000,100
1701026152934,11291,4448,2136,4169000,100
1701026153042,11291,4448,2136,4169000,100
1701026153146,11291,4448,2136,4169000,100
1701026153253,11291,4448,2136,4169000,100
1701026153357,11291,4448,2136,4169000,100
1701026153463,11291,4448,2136,4169000,100
1701026153570,11291,4448,2136,4169000,100
1701026153683,11291,4448,2136,4169000,100
1701026153797,11291,4448,2136,4169000,100
1701026153909,11291,4448,2136,4169000,100
1701026154020,11291,4448,2136,4169000,100
1701026154126,11291,4448,2136,4169000,100
1701026154233,11291,4448,2136,4169000,100
1701026154345,11291,4448,2136,4169000,100
1701026154452,11291,4448,2136,4169000,100
1701026154558,11291,4448,2136,4169000,100
1701026154666,11291,4448,2136,4169000,100
1701026154773,11291,4448,2136,4169000,100
1701026154881,11291,4448,2136,4169000,100
1701026155006,11291,4448,2136,4169000,100
1701026155113,11291,4448,2136,4169000,100
1701026155218,11291,4448,2136,4169000,100
1701026155331,11291,4448,2136,4169000,100
1701026155437,11291,4448,2136,4169000,100
1701026155543,11291,4448,2136,4169000,100
1701026155652,11291,4448,2136,4169000,100
1701026155762,11291,4448,2136,4169000,100
1701026155866,11291,4448,2136,4169000,100
1701026155983,11291,4448,2136,4169000,100
1701026156097,11291,4448,2136,4169000,100
1701026156204,11291,4448,2136,4169000,100
1701026156313,11291,4448,2136,4169000,100
1701026156419,11291,4448,2136,4169000,100
1701026156525,11291,4448,2136,4169000,100
1701026156635,11291,4448,2136,4169000,100
1701026156742,11291,4448,2136,4169000,100
1701026156862,11291,4448,2136,4169000,100
1701026156970,11291,4448,2136,4169000,100
1701026157087,11291,4448,2136,4169000,100
1701026157196,11291,4448,2136,4169000,100
1701026157321,11291,4448,2136,4169000,100
1701026157430,11291,4448,2136,4169000,100
1701026157536,11291,4448,2136,4169000,100
1701026157643,11291,4448,2136,4169000,100
1701026157759,11291,4448,2136,4169000,100
1701026157882,11291,4448,2136,4169000,100
1701026157988,11291,4448,2136,4169000,100
1701026158097,11291,4448,2136,4169000,100
1701026158209,11291,4448,2136,4169000,100
1701026158320,11291,4448,2136,4169000,100
1701026158425,11291,4448,2136,4169000,100
1701026158534,11291,4448,2136,4169000,100
1701026158646,11291,4448,2136,4169000,100
1701026158751,11291,4448,2136,4169000,100
1701026158855,11291,4448,2136,4169000,100
1701026158962,11291,4448,2136,4169000,100
1701026159068,11291,4448,2136,4169000,100
1701026159174,11291,4448,2136,4169000,100
1701026159278,11291,4448,2136,4169000,100
1701026159385,11291,4448,2136,4169000,100
1701026159491,11291,4448,2136,4169000,100
1701026159595,11291,4448,2136,4169000,100
1701026159709,11291,4448,2136,4169000,100
1701026159817,11291,4448,2136,4169000,100
1701026159921,11291,4448,2136,4169000,100
1701026160025,11291,4448,2136,4169000,100
1701026160129,11291,4448,2136,4169000,100
1701026160234,11291,4448,2136,4169000,100
1701026160339,11291,4448,2136,4169000,100
1701026160444,11291,4448,2136,4169000,100
1701026160549,11291,4448,2136,4169000,100
1701026160653,11291,4448,2136,4169000,100
1701026160758,11291,4448,2136,4169000,100
1701026160863,11291,4448,2136,4169000,100
1701026160968,11291,4448,2136,4169000,100
1701026161073,11291,4448,2136,4169000,100
1701026161178,11291,4448,2136,4169000,100
1701026161285,11291,4448,2136,4169000,100
1701026161390,11291,4448,2136,4169000,100
1701026161495,11291,4448,2136,4169000,100
1701026161601,11291,4448,2136,4169000,100
1701026161703,11291,4448,2136,4169000,100
1701026161808,11291,4448,2136,4169000,100
1701026161912,11291,4448,2136,4169000,100
1701026162018,11291,4448,2136,4169000,100
1701026162124,11291,4448,2136,4169000,100
1701026162230,11291,4448,2136,4169000,100
1701026162335,11291,4448,2136,4169000,100
1701026162440,11291,4448,2136,4169000,100
1701026162545,11291,4448,2136,4169000,100
1701026162651,12512,4448,2136,4169000,100
1701026162756,12512,4448,2136,4169000,100
1701026162861,12512,4448,2136,4169000,100
1701026162966,12512,4448,2136,4169000,100
1701026163071,12512,4448,2136,4169000,100
1701026163176,12512,4448,2136,4169000,100
1701026163281,12512,4448,2136,4169000,100
1701026163386,12512,4448,2136,4169000,100
1701026163491,12512,4448,2136,4169000,100
1701026163596,12512,4448,2136,4169000,100
1701026163702,12512,4448,2136,4169000,100
1701026163808,12512,4448,2136,4169000,100
1701026163912,12512,4448,2136,4169000,100
1701026164018,12512,4448,2136,4169000,100
1701026164123,12512,4448,2136,4169000,100
1701026164228,12512,4448,2136,4169000,100
1701026164338,12512,4448,2136,4169000,100
1701026164442,12512,4448,2136,4169000,100
1701026164547,12512,4448,2136,4169000,100
1701026164651,12512,4448,2136,4169000,100
1701026164755,12512,4448,2136,4169000,100
1701026164859,12512,4448,2136,4169000,100
1701026164964,12512,4448,2136,4169000,100
1701026165069,12512,4448,2136,4169000,100
1701026165174,12512,4448,2136,4169000,100
1701026165278,12512,4448,2136,4169000,100
1701026165383,12512,4448,2136,4169000,100
1701026165487,12512,4448,2136,4169000,100
1701026165592,12512,4448,2136,4169000,100
1701026165697,12512,4448,2136,4169000,100
1701026165803,12512,4448,2136,4169000,100
1701026165908,12512,4448,2136,4169000,100
1701026166013,12512,4448,2136,4169000,100
1701026166118,12512,4448,2136,4169000,100
1701026166223,12512,4448,2136,4169000,100
1701026166331,12512,4448,2136,4169000,100
1701026166437,12512,4448,2136,4169000,100
1701026166542,12512,4448,2136,4169000,100
1701026166647,12512,4448,2136,4169000,100
1701026166752,12512,4448,2136,4169000,100
1701026166857,12512,4448,2136,4169000,100
1701026166962,12512,4448,2136,4169000,100
1701026167067,12512,4448,2136,4169000,100
1701026167172,12512,4448,2136,4169000,100
1701026167277,12512,4448,2136,4169000,100
1701026167383,12512,4448,2136,4169000,100
1701026167488,12512,4448,2136,4169000,100
1701026167593,12512,4448,2136,4169000,100
1701026167697,12512,4448,2136,4169000,100
1701026167802,12512,4448,2136,4169000,100
1701026167908,12512,4448,2136,4169000,100
1701026168013,12512,4448,2136,4169000,100
1701026168119,12512,4448,2136,4169000,100
1701026168224,12512,4448,2136,4169000,100
1701026168329,12512,4448,2136,4169000,100
1701026168434,12512,4448,2136,4169000,100
1701026168539,12512,4448,2136,4169000,100
1701026168644,12512,4448,2136,4169000,100
1701026168749,12512,4448,2136,4169000,100
1701026168854,12512,4448,2136,4169000,100
1701026168959,12512,4448,2136,4169000,100
1701026169065,12512,4448,2136,4169000,100
1701026169169,12512,4448,2136,4169000,100
1701026169276,12512,4448,2136,4169000,100
1701026169381,12512,4448,2136,4169000,100
1701026169486,12512,4448,2136,4169000,100
1701026169591,12512,4448,2136,4169000,100
1701026169696,12512,4448,2136,4169000,100
1701026169802,12512,4448,2136,4169000,100
1701026169907,12512,4448,2136,4169000,100
1701026170011,12512,4448,2136,4169000,100
1701026170116,12512,4448,2136,4169000,100
1701026170221,12512,4448,2136,4169000,100
1701026170328,12512,4448,2136,4169000,100
1701026170432,12512,4448,2136,4169000,100
1701026170536,12512,4448,2136,4169000,100
1701026170641,12512,4448,2136,4169000,100
1701026170746,12512,4448,2136,4169000,100
1701026170851,12512,4448,2136,4169000,100
1701026170955,12512,4448,2136,4169000,100
1701026171060,12512,4448,2136,4169000,100
1701026171166,12512,4448,2136,4169000,100
1701026171271,12512,4448,2136,4169000,100
1701026171377,12512,4448,2136,4169000,100
1701026171482,12512,4448,2136,4169000,100
1701026171588,12512,4448,2136,4169000,100
1701026171694,12512,4448,2136,4169000,100
1701026171799,12512,4448,2136,4169000,100
1701026171905,12512,4448,2136,4169000,100
1701026172009,12512,4448,2136,4169000,100
1701026172114,12512,4448,2136,4169000,100
1701026172218,12512,4448,2136,4169000,100
1701026172323,12512,4448,2136,4169000,100
1701026172428,12512,4448,2136,4169000,100
1701026172534,12512,4448,2136,4169000,100
1701026172639,12512,4448,2136,4169000,100
1701026172743,12512,4448,2136,4169000,100
1701026172849,12512,4448,2136,4169000,100
1701026172954,12512,4448,2136,4169000,100
1701026173059,12512,4448,2136,4169000,100
1701026173163,12512,4448,2136,4169000,100
1701026173271,12512,4448,2136,4169000,100
1701026173375,12512,4448,2136,4169000,100
1701026173479,12512,4448,2136,4169000,100
1701026173584,12512,4448,2136,4169000,100
1701026173689,12512,4448,2136,4169000,100
1701026173793,12512,4448,2136,4169000,100
1701026173899,12512,4448,2136,4169000,100
1701026174004,12512,4448,2136,4169000,100
1701026174109,12512,4448,2136,4169000,100
1701026174214,12512,4448,2136,4169000,100
1701026174319,12512,4448,2136,4169000,100
1701026174424,12512,4448,2136,4169000,100
1701026174529,12512,4448,2136,4169000,100
1701026174635,12512,4448,2136,4169000,100
1701026174739,12512,4448,2136,4169000,100
1701026174844,12512,4448,2136,4169000,100
1701026174949,12512,4448,2136,4169000,100
1701026175055,12512,4448,2136,4169000,100
1701026175159,12512,4448,2136,4169000,100
1701026175264,12512,4448,2136,4169000,100
1701026175369,12512,4448,2136,4169000,100
1701026175473,12512,4448,2136,4169000,100
1701026175579,12512,4448,2136,4169000,100
1701026175683,12512,4448,2136,4169000,100
1701026175788,12512,4448,2136,4169000,100
1701026175893,12512,4448,2136,4169000,100
1701026175998,12512,4448,2136,4169000,100
1701026176102,12512,4448,2136,4169000,100
1701026176207,12512,4448,2136,4169000,100
1701026176311,12512,4448,2136,4169000,100
1701026176415,12512,4448,2136,4169000,100
1701026176520,12512,4448,2136,4169000,100
1701026176624,12512,4448,2136,4169000,100
1701026176729,12512,4448,2136,4169000,100
1701026176835,12512,4448,2136,4169000,100
1701026176940,12512,4448,2136,4169000,100
1701026177045,12512,4448,2136,4169000,100
1701026177150,12512,4448,2136,4169000,100
1701026177255,12512,4448,2136,4169000,100
1701026177359,12512,4448,2136,4169000,100
1701026177464,12512,4448,2136,4169000,100
1701026177569,12512,4448,2136,4169000,100
1701026177673,12512,4448,2136,4169000,100
1701026177778,12512,4448,2136,4169000,100
1701026177883,12512,4448,2136,4169000,100
1701026177988,12512,4448,2136,4169000,100
1701026178094,12512,4448,2136,4169000,100
1701026178198,12512,4448,2136,4169000,100
1701026178303,12512,4448,2136,4169000,100
1701026178408,12512,4448,2136,4169000,100
1701026178513,12512,4448,2136,4169000,100
1701026178618,10375,4448,2136,4169000,100
1701026178722,10375,4448,2136,4169000,100
1701026178827,10375,4448,2136,4169000,100
1701026178932,10375,4448,2136,4169000,100
1701026179037,10375,4448,2136,4169000,100
1701026179141,10375,4448,2136,4169000,100
1701026179246,10375,4448,2136,4169000,100
1701026179351,10375,4448,2136,4169000,100
1701026179456,10375,4448,2136,4169000,100
1701026179560,10375,4448,2136,4169000,100
1701026179664,10375,4448,2136,4169000,100
1701026179769,10375,4448,2136,4169000,100
1701026179874,10375,4448,2136,4169000,100
1701026179979,10375,4448,2136,4169000,100
1701026180084,10375,4448,2136,4169000,100
1701026180189,10375,4448,2136,4169000,100
1701026180294,10375,4448,2136,4169000,100
1701026180398,10375,4448,2136,4169000,100
1701026180503,10375,4448,2136,4169000,100
1701026180609,10375,4448,2136,4169000,100
1701026180713,10375,4448,2136,4169000,100
1701026180818,10375,4448,2136,4169000,100
1701026180922,10375,4448,2136,4169000,100
1701026181026,10375,4448,2136,4169000,100
1701026181130,10375,4448,2136,4169000,100
1701026181234,10375,4448,2136,4169000,100
1701026181340,10375,4448,2136,4169000,100
1701026181445,10375,4448,2136,4169000,100
1701026181551,10375,4448,2136,4169000,100
1701026181660,10375,4448,2136,4169000,100
1701026181774,10375,4448,2136,4169000,100
1701026181888,10375,4448,2136,4169000,100
1701026182004,10375,4448,2136,4169000,100
1701026182115,10375,4448,2136,4169000,100
1701026182220,10375,4448,2136,4169000,100
1701026182325,10375,4448,2136,4169000,100
1701026182432,10375,4448,2136,4169000,100
1701026182537,10375,4448,2136,4169000,100
1701026182646,10375,4448,2136,4169000,100
1701026182755,10375,4448,2136,4169000,100
1701026182861,10375,4448,2136,4169000,100
1701026182974,10375,4448,2136,4169000,100
1701026183079,10375,4448,2136,4169000,100
1701026183185,10375,4448,2136,4169000,100
1701026183290,10375,4448,2136,4169000,100
1701026183395,10375,4448,2136,4169000,100
1701026183499,10375,4448,2136,4169000,100
1701026183604,10375,4448,2136,4169000,100
1701026183709,10375,4448,2136,4169000,100
1701026183814,10375,4448,2136,4169000,100
1701026183922,10375,4448,2136,4169000,100
1701026184030,10375,4448,2136,4169000,100
1701026184142,10375,4448,2136,4169000,100
1701026184247,10375,4448,2136,4169000,100
1701026184352,10375,4448,2136,4169000,100
1701026184457,10375,4448,2136,4169000,100
1701026184562,10375,4448,2136,4169000,100
1701026184667,10375,4448,2136,4169000,100
1701026184773,10375,4448,2136,4169000,100
1701026184887,10375,4448,2136,4169000,100
1701026185000,10375,4448,2136,4169000,100
1701026185110,10375,4448,2136,4169000,100
1701026185222,10375,4448,2136,4169000,100
1701026185327,10375,4448,2136,4169000,100
1701026185432,10375,4448,2136,4169000,100
1701026185536,10375,4448,2136,4169000,100
1701026185640,10375,4448,2136,4169000,100
1701026185745,10375,4448,2136,4169000,100
1701026185851,10375,4448,2136,4169000,100
1701026185957,10375,4448,2136,4169000,100
1701026186065,10375,4448,2136,4169000,100
1701026186176,10375,4448,2136,4169000,100
1701026186289,10375,4448,2136,4169000,100
