device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,2136.0,4447.0,7943.883257918552,8.475070876404999,8.500356101143593,0.0353264488479638
pixel5g,com-chrome-canary,1,100.0,4169000.0,2136.0,4447.0,12839.242290748898,6.890287749775,6.889673457827173,0.05709611046696036
pixel5g,com-chrome-canary,2,100.0,4169000.0,2136.0,4447.0,8861.857142857143,4.7386150378425,4.747602933388714,0.039408678714285716
pixel5g,com-chrome-canary,3,100.0,4169000.0,2136.0,4447.0,11958.965410199557,12.7923031361675,12.793771705891544,0.05318151917915742
pixel5g,com-chrome-canary,4,100.0,4169000.0,2136.0,4447.0,12099.523725834797,6.4760228732475,6.476590663233717,0.05380658200878736
pixel5g,com-chrome-canary,5,100.0,4169000.0,2136.0,4447.0,11848.826315789474,6.344111472224501,6.343715525294037,0.05269173062631579
pixel5g,com-chrome-canary,6,100.0,4169000.0,2136.0,4447.0,12570.572123893806,13.442822607686999,13.442929251485218,0.055901334234955746
pixel5g,com-chrome-canary,7,100.0,4169000.0,2136.0,4447.0,11384.159190853123,6.0974816437905,6.097672244703872,0.05062535592172384
pixel5g,com-chrome-canary,8,100.0,4169000.0,2136.0,4447.0,10510.357330992098,5.6332298168395,5.635061457856294,0.04673955905092187
pixel5g,com-chrome-canary,9,100.0,4169000.0,2136.0,4447.0,10763.50705467372,5.7596372860315,5.762266051266856,0.04786531587213404
