datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sun Nov 26 19:29:31 UTC 2023,46,189222,19.67 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1804800
Sun Nov 26 19:29:32 UTC 2023,46,194381,19.76 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 19:29:34 UTC 2023,46,190387,19.76 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 19:29:36 UTC 2023,46,251965,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:37 UTC 2023,46,218161,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:39 UTC 2023,46,216125,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:40 UTC 2023,46,216693,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:42 UTC 2023,46,216252,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:43 UTC 2023,46,217080,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:45 UTC 2023,46,218089,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:46 UTC 2023,46,217325,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:47 UTC 2023,46,217615,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:49 UTC 2023,46,217657,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:50 UTC 2023,46,217255,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:52 UTC 2023,46,217374,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:53 UTC 2023,46,217436,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:55 UTC 2023,46,217567,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:56 UTC 2023,46,217595,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:58 UTC 2023,46,217386,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:29:59 UTC 2023,46,217605,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:30:01 UTC 2023,46,217725,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:30:02 UTC 2023,46,216694,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:04 UTC 2023,46,216782,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:30:05 UTC 2023,46,216785,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:07 UTC 2023,46,216786,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:30:08 UTC 2023,46,216852,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:30:10 UTC 2023,46,216930,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:30:11 UTC 2023,46,217032,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:13 UTC 2023,46,217066,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:14 UTC 2023,46,217833,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:16 UTC 2023,46,217937,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:17 UTC 2023,46,217912,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),614400
Sun Nov 26 19:30:19 UTC 2023,46,217566,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1516800
Sun Nov 26 19:30:20 UTC 2023,46,217591,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),614400
Sun Nov 26 19:30:22 UTC 2023,46,217570,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:30:24 UTC 2023,46,217598,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:30:25 UTC 2023,46,217682,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:30:27 UTC 2023,46,217696,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:30:28 UTC 2023,46,217686,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:30:30 UTC 2023,46,218438,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:31 UTC 2023,46,218418,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:30:33 UTC 2023,46,218482,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:34 UTC 2023,46,217955,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:30:36 UTC 2023,46,217955,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1363200
Sun Nov 26 19:30:37 UTC 2023,46,217977,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:30:39 UTC 2023,46,218020,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1363200
Sun Nov 26 19:30:40 UTC 2023,46,218340,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:30:41 UTC 2023,46,218012,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:43 UTC 2023,46,218048,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:44 UTC 2023,46,218063,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:46 UTC 2023,46,218055,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:48 UTC 2023,46,218100,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:30:49 UTC 2023,46,218098,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:51 UTC 2023,46,218135,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:30:52 UTC 2023,46,218147,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1363200
Sun Nov 26 19:30:54 UTC 2023,46,218166,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),902400
Sun Nov 26 19:30:55 UTC 2023,46,218178,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:30:57 UTC 2023,46,218202,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:30:58 UTC 2023,46,218206,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:31:00 UTC 2023,46,218248,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:31:01 UTC 2023,46,218241,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:31:03 UTC 2023,46,218248,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:31:04 UTC 2023,46,218272,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:31:06 UTC 2023,46,218302,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:31:07 UTC 2023,46,218286,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:31:09 UTC 2023,46,218322,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:31:10 UTC 2023,46,218307,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:31:12 UTC 2023,46,218284,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:31:13 UTC 2023,46,218284,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:31:15 UTC 2023,46,218284,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:31:17 UTC 2023,46,218306,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:31:18 UTC 2023,46,218306,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:31:19 UTC 2023,46,218309,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),614400
Sun Nov 26 19:31:21 UTC 2023,46,218314,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
Sun Nov 26 19:31:22 UTC 2023,46,218326,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:31:24 UTC 2023,46,218352,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:31:25 UTC 2023,46,218316,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),614400
Sun Nov 26 19:31:27 UTC 2023,46,218368,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:31:28 UTC 2023,46,218361,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:31:30 UTC 2023,46,218433,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:31:31 UTC 2023,46,218419,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),1804800
Sun Nov 26 19:31:33 UTC 2023,46,218511,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),614400
Sun Nov 26 19:31:34 UTC 2023,46,218427,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:31:36 UTC 2023,46,218449,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:31:37 UTC 2023,46,218432,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),576000
Sun Nov 26 19:31:39 UTC 2023,46,218467,55.51 KB (0.00 bytes is purgeable),4.49 MB (447.91 KB is purgeable),864000
