Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701028399895,11901,4447,2136,4169000,100
1701028400001,11901,4447,2136,4169000,100
1701028400106,11901,4447,2136,4169000,100
1701028400212,11901,4447,2136,4169000,100
1701028400316,11901,4447,2136,4169000,100
1701028400420,11901,4447,2136,4169000,100
1701028400525,11901,4447,2136,4169000,100
1701028400633,11901,4447,2136,4169000,100
1701028400738,11901,4447,2136,4169000,100
1701028400845,11901,4447,2136,4169000,100
1701028400949,11596,4447,2136,4169000,100
1701028401053,11596,4447,2136,4169000,100
1701028401167,11596,4447,2136,4169000,100
1701028401273,11596,4447,2136,4169000,100
1701028401379,11596,4447,2136,4169000,100
1701028401484,11596,4447,2136,4169000,100
1701028401589,11596,4447,2136,4169000,100
1701028401694,11596,4447,2136,4169000,100
1701028401802,11596,4447,2136,4169000,100
1701028401913,11596,4447,2136,4169000,100
1701028402023,11596,4447,2136,4169000,100
1701028402130,11596,4447,2136,4169000,100
1701028402239,11596,4447,2136,4169000,100
1701028402344,11596,4447,2136,4169000,100
1701028402450,11596,4447,2136,4169000,100
1701028402556,11596,4447,2136,4169000,100
1701028402670,11596,4447,2136,4169000,100
1701028402776,11596,4447,2136,4169000,100
1701028402882,11596,4447,2136,4169000,100
1701028402995,11596,4447,2136,4169000,100
1701028403100,11596,4447,2136,4169000,100
1701028403208,11596,4447,2136,4169000,100
1701028403327,11596,4447,2136,4169000,100
1701028403447,11596,4447,2136,4169000,100
1701028403556,11596,4447,2136,4169000,100
1701028403668,11596,4447,2136,4169000,100
1701028403773,11596,4447,2136,4169000,100
1701028403881,11596,4447,2136,4169000,100
1701028403991,11596,4447,2136,4169000,100
1701028404096,11596,4447,2136,4169000,100
1701028404205,11596,4447,2136,4169000,100
1701028404312,11596,4447,2136,4169000,100
1701028404418,11596,4447,2136,4169000,100
1701028404530,11596,4447,2136,4169000,100
1701028404639,11596,4447,2136,4169000,100
1701028404750,11596,4447,2136,4169000,100
1701028404862,11596,4447,2136,4169000,100
1701028404972,11596,4447,2136,4169000,100
1701028405077,11596,4447,2136,4169000,100
1701028405183,11596,4447,2136,4169000,100
1701028405290,11596,4447,2136,4169000,100
1701028405396,11596,4447,2136,4169000,100
1701028405503,11596,4447,2136,4169000,100
1701028405614,11596,4447,2136,4169000,100
1701028405719,11596,4447,2136,4169000,100
1701028405827,11596,4447,2136,4169000,100
1701028405938,11596,4447,2136,4169000,100
1701028406068,11596,4447,2136,4169000,100
1701028406183,11596,4447,2136,4169000,100
1701028406290,11596,4447,2136,4169000,100
1701028406398,11596,4447,2136,4169000,100
1701028406509,11596,4447,2136,4169000,100
1701028406617,11596,4447,2136,4169000,100
1701028406724,11596,4447,2136,4169000,100
1701028406834,11596,4447,2136,4169000,100
1701028406938,11596,4447,2136,4169000,100
1701028407044,11596,4447,2136,4169000,100
1701028407151,11596,4447,2136,4169000,100
1701028407261,11596,4447,2136,4169000,100
1701028407378,11596,4447,2136,4169000,100
1701028407486,11596,4447,2136,4169000,100
1701028407597,11596,4447,2136,4169000,100
1701028407714,11596,4447,2136,4169000,100
1701028407820,11596,4447,2136,4169000,100
1701028407928,11596,4447,2136,4169000,100
1701028408034,11596,4447,2136,4169000,100
1701028408140,11596,4447,2136,4169000,100
1701028408249,11596,4447,2136,4169000,100
1701028408356,11596,4447,2136,4169000,100
1701028408462,11596,4447,2136,4169000,100
1701028408568,11596,4447,2136,4169000,100
1701028408672,11596,4447,2136,4169000,100
1701028408778,11596,4447,2136,4169000,100
1701028408883,11596,4447,2136,4169000,100
1701028408988,11596,4447,2136,4169000,100
1701028409094,11596,4447,2136,4169000,100
1701028409199,11596,4447,2136,4169000,100
1701028409304,11596,4447,2136,4169000,100
1701028409408,11596,4447,2136,4169000,100
1701028409514,11596,4447,2136,4169000,100
1701028409621,11596,4447,2136,4169000,100
1701028409726,11596,4447,2136,4169000,100
1701028409830,11596,4447,2136,4169000,100
1701028409936,11596,4447,2136,4169000,100
1701028410041,11596,4447,2136,4169000,100
1701028410145,11596,4447,2136,4169000,100
1701028410251,11596,4447,2136,4169000,100
1701028410356,11596,4447,2136,4169000,100
