device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,2136.0,4446.0,10619.588546255507,5.685641958438,5.683185102057922,0.04721469067665198
pixel5g,com-chrome-canary,1,100.0,4169000.0,2136.0,4446.0,11275.028169014084,12.075061234977,12.077325303336506,0.05012877523943662
pixel5g,com-chrome-canary,2,100.0,4169000.0,2136.0,4446.0,12852.807760141093,6.885755611254,6.88477320334184,0.057143583301587295
pixel5g,com-chrome-canary,3,100.0,4169000.0,2136.0,4446.0,10730.068783068784,5.750276701572,5.747366592902381,0.04770588580952381
pixel5g,com-chrome-canary,4,100.0,4169000.0,2136.0,4446.0,12287.012323943662,6.600010666625999,6.599888681356109,0.05462805679225352
pixel5g,com-chrome-canary,5,100.0,4169000.0,2136.0,4446.0,11611.104056437389,6.219956496428999,6.219948244884317,0.05162296863492063
pixel5g,com-chrome-canary,6,100.0,4169000.0,2136.0,4446.0,11719.975286849074,6.274077641091,6.274621945272106,0.05210701012533098
pixel5g,com-chrome-canary,7,100.0,4169000.0,2136.0,4446.0,9323.69865470852,4.98853548765,4.997261852908887,0.041453164218834083
pixel5g,com-chrome-canary,8,100.0,4169000.0,2136.0,4446.0,7550.096716947649,7.13790610416,7.147393667486418,0.059381490042590954
pixel5g,com-chrome-canary,9,100.0,4169000.0,2136.0,4446.0,11827.667546174143,6.3381613581,6.336905609049436,0.052585809910290236
