Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701029500640,10681,4446,2136,4169000,100
1701029500762,10681,4446,2136,4169000,100
1701029500867,10681,4446,2136,4169000,100
1701029500972,10681,4446,2136,4169000,100
1701029501080,10681,4446,2136,4169000,100
1701029501186,10681,4446,2136,4169000,100
1701029501291,10681,4446,2136,4169000,100
1701029501395,10681,4446,2136,4169000,100
1701029501499,10681,4446,2136,4169000,100
1701029501603,10681,4446,2136,4169000,100
1701029501708,10681,4446,2136,4169000,100
1701029501813,10681,4446,2136,4169000,100
1701029501919,10681,4446,2136,4169000,100
1701029502023,10681,4446,2136,4169000,100
1701029502131,10681,4446,2136,4169000,100
1701029502235,10681,4446,2136,4169000,100
1701029502340,10681,4446,2136,4169000,100
1701029502445,10681,4446,2136,4169000,100
1701029502550,10681,4446,2136,4169000,100
1701029502655,10681,4446,2136,4169000,100
1701029502762,10681,4446,2136,4169000,100
1701029502866,10681,4446,2136,4169000,100
1701029502973,10681,4446,2136,4169000,100
1701029503078,10681,4446,2136,4169000,100
1701029503183,10681,4446,2136,4169000,100
1701029503289,10681,4446,2136,4169000,100
1701029503398,10681,4446,2136,4169000,100
1701029503511,10681,4446,2136,4169000,100
1701029503619,10681,4446,2136,4169000,100
1701029503724,10681,4446,2136,4169000,100
1701029503828,10681,4446,2136,4169000,100
1701029503932,10681,4446,2136,4169000,100
1701029504036,10681,4446,2136,4169000,100
1701029504141,8850,4446,2136,4169000,100
1701029504245,8850,4446,2136,4169000,100
1701029504349,8850,4446,2136,4169000,100
1701029504453,8850,4446,2136,4169000,100
1701029504557,8850,4446,2136,4169000,100
1701029504661,8850,4446,2136,4169000,100
1701029504765,8850,4446,2136,4169000,100
1701029504869,8850,4446,2136,4169000,100
1701029504973,8850,4446,2136,4169000,100
1701029505077,8850,4446,2136,4169000,100
1701029505182,8850,4446,2136,4169000,100
1701029505285,8850,4446,2136,4169000,100
1701029505390,8850,4446,2136,4169000,100
1701029505494,8850,4446,2136,4169000,100
1701029505598,8850,4446,2136,4169000,100
1701029505705,8850,4446,2136,4169000,100
1701029505816,8850,4446,2136,4169000,100
1701029505927,8850,4446,2136,4169000,100
1701029506046,8850,4446,2136,4169000,100
1701029506163,8850,4446,2136,4169000,100
1701029506274,8850,4446,2136,4169000,100
1701029506387,8850,4446,2136,4169000,100
1701029506495,8850,4446,2136,4169000,100
1701029506604,8850,4446,2136,4169000,100
1701029506727,8850,4446,2136,4169000,100
1701029506836,8850,4446,2136,4169000,100
1701029506942,8850,4446,2136,4169000,100
1701029507050,8850,4446,2136,4169000,100
1701029507156,8850,4446,2136,4169000,100
1701029507262,8850,4446,2136,4169000,100
1701029507367,8850,4446,2136,4169000,100
1701029507475,8850,4446,2136,4169000,100
1701029507580,8850,4446,2136,4169000,100
1701029507685,8850,4446,2136,4169000,100
1701029507789,8850,4446,2136,4169000,100
1701029507894,8850,4446,2136,4169000,100
1701029508002,8850,4446,2136,4169000,100
1701029508117,8850,4446,2136,4169000,100
1701029508227,8850,4446,2136,4169000,100
1701029508334,8850,4446,2136,4169000,100
1701029508440,8850,4446,2136,4169000,100
1701029508545,8850,4446,2136,4169000,100
1701029508652,8850,4446,2136,4169000,100
1701029508769,8850,4446,2136,4169000,100
1701029508873,8850,4446,2136,4169000,100
1701029508977,8850,4446,2136,4169000,100
1701029509082,8850,4446,2136,4169000,100
1701029509187,8850,4446,2136,4169000,100
1701029509291,8850,4446,2136,4169000,100
1701029509397,8850,4446,2136,4169000,100
1701029509501,8850,4446,2136,4169000,100
1701029509605,8850,4446,2136,4169000,100
1701029509710,8850,4446,2136,4169000,100
1701029509815,8850,4446,2136,4169000,100
1701029509920,8850,4446,2136,4169000,100
1701029510025,8850,4446,2136,4169000,100
1701029510130,8850,4446,2136,4169000,100
1701029510234,8850,4446,2136,4169000,100
1701029510339,8850,4446,2136,4169000,100
1701029510444,8850,4446,2136,4169000,100
1701029510548,8850,4446,2136,4169000,100
1701029510653,8850,4446,2136,4169000,100
1701029510758,8850,4446,2136,4169000,100
1701029510862,8850,4446,2136,4169000,100
1701029510966,8850,4446,2136,4169000,100
1701029511071,8850,4446,2136,4169000,100
1701029511177,8850,4446,2136,4169000,100
1701029511282,8850,4446,2136,4169000,100
1701029511386,8850,4446,2136,4169000,100
1701029511491,8850,4446,2136,4169000,100
1701029511596,8850,4446,2136,4169000,100
1701029511703,8850,4446,2136,4169000,100
1701029511808,8850,4446,2136,4169000,100
1701029511912,8850,4446,2136,4169000,100
1701029512017,8850,4446,2136,4169000,100
1701029512122,8850,4446,2136,4169000,100
1701029512227,8850,4446,2136,4169000,100
1701029512332,8850,4446,2136,4169000,100
1701029512437,8850,4446,2136,4169000,100
1701029512541,8850,4446,2136,4169000,100
1701029512645,8850,4446,2136,4169000,100
1701029512751,8850,4446,2136,4169000,100
1701029512855,8850,4446,2136,4169000,100
1701029512960,8850,4446,2136,4169000,100
1701029513065,8850,4446,2136,4169000,100
1701029513170,8850,4446,2136,4169000,100
1701029513276,8850,4446,2136,4169000,100
1701029513381,8850,4446,2136,4169000,100
