Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701030476394,9460,4445,2136,4169000,100
1701030476503,9460,4445,2136,4169000,100
1701030476607,9460,4445,2136,4169000,100
1701030476713,9460,4445,2136,4169000,100
1701030476819,9460,4445,2136,4169000,100
1701030476924,9460,4445,2136,4169000,100
1701030477028,9460,4445,2136,4169000,100
1701030477132,9460,4445,2136,4169000,100
1701030477236,9460,4445,2136,4169000,100
1701030477341,9460,4445,2136,4169000,100
1701030477446,9460,4445,2136,4169000,100
1701030477551,9460,4445,2136,4169000,100
1701030477656,9460,4445,2136,4169000,100
1701030477764,9460,4445,2136,4169000,100
1701030477871,9460,4445,2136,4169000,100
1701030477976,9460,4445,2136,4169000,100
1701030478082,9460,4445,2136,4169000,100
1701030478187,9460,4445,2136,4169000,100
1701030478293,9460,4445,2136,4169000,100
1701030478400,9460,4445,2136,4169000,100
1701030478519,9460,4445,2136,4169000,100
1701030478623,9460,4445,2136,4169000,100
1701030478728,9460,4445,2136,4169000,100
1701030478833,9460,4445,2136,4169000,100
1701030478938,9460,4445,2136,4169000,100
1701030479048,9460,4445,2136,4169000,100
1701030479156,9460,4445,2136,4169000,100
1701030479274,9460,4445,2136,4169000,100
1701030479383,10070,4445,2136,4169000,100
1701030479489,10070,4445,2136,4169000,100
1701030479597,10070,4445,2136,4169000,100
1701030479703,10070,4445,2136,4169000,100
1701030479808,10070,4445,2136,4169000,100
1701030479911,10070,4445,2136,4169000,100
1701030480013,10070,4445,2136,4169000,100
1701030480125,10070,4445,2136,4169000,100
1701030480229,10070,4445,2136,4169000,100
1701030480332,10070,4445,2136,4169000,100
1701030480435,10070,4445,2136,4169000,100
1701030480539,10070,4445,2136,4169000,100
1701030480643,10070,4445,2136,4169000,100
1701030480746,10070,4445,2136,4169000,100
1701030480848,10070,4445,2136,4169000,100
1701030480953,10070,4445,2136,4169000,100
1701030481066,10070,4445,2136,4169000,100
1701030481170,10070,4445,2136,4169000,100
1701030481279,10070,4445,2136,4169000,100
1701030481386,10070,4445,2136,4169000,100
1701030481490,10070,4445,2136,4169000,100
1701030481602,10070,4445,2136,4169000,100
1701030481707,10070,4445,2136,4169000,100
1701030481811,10070,4445,2136,4169000,100
1701030481915,10070,4445,2136,4169000,100
1701030482019,10070,4445,2136,4169000,100
1701030482124,10070,4445,2136,4169000,100
1701030482230,10070,4445,2136,4169000,100
1701030482337,10070,4445,2136,4169000,100
1701030482449,10070,4445,2136,4169000,100
1701030482559,10070,4445,2136,4169000,100
1701030482667,10070,4445,2136,4169000,100
1701030482774,10070,4445,2136,4169000,100
1701030482883,10070,4445,2136,4169000,100
1701030482988,10070,4445,2136,4169000,100
1701030483095,10070,4445,2136,4169000,100
1701030483205,10070,4445,2136,4169000,100
1701030483311,10070,4445,2136,4169000,100
1701030483422,10070,4445,2136,4169000,100
1701030483532,10070,4445,2136,4169000,100
1701030483638,10070,4445,2136,4169000,100
1701030483745,10070,4445,2136,4169000,100
1701030483849,10070,4445,2136,4169000,100
1701030483954,10070,4445,2136,4169000,100
1701030484064,10070,4445,2136,4169000,100
1701030484174,10070,4445,2136,4169000,100
1701030484279,10070,4445,2136,4169000,100
1701030484385,10070,4445,2136,4169000,100
1701030484498,10070,4445,2136,4169000,100
1701030484608,10070,4445,2136,4169000,100
1701030484718,10070,4445,2136,4169000,100
1701030484829,10070,4445,2136,4169000,100
1701030484939,10070,4445,2136,4169000,100
1701030485048,10070,4445,2136,4169000,100
1701030485168,10070,4445,2136,4169000,100
1701030485274,10070,4445,2136,4169000,100
1701030485379,10070,4445,2136,4169000,100
1701030485483,10070,4445,2136,4169000,100
1701030485589,10070,4445,2136,4169000,100
1701030485697,10070,4445,2136,4169000,100
1701030485801,10070,4445,2136,4169000,100
1701030485905,10070,4445,2136,4169000,100
1701030486011,10070,4445,2136,4169000,100
1701030486118,10070,4445,2136,4169000,100
1701030486224,10070,4445,2136,4169000,100
1701030486332,10070,4445,2136,4169000,100
1701030486438,10070,4445,2136,4169000,100
1701030486548,10070,4445,2136,4169000,100
1701030486653,10070,4445,2136,4169000,100
1701030486759,10070,4445,2136,4169000,100
1701030486864,10070,4445,2136,4169000,100
1701030486968,10070,4445,2136,4169000,100
1701030487072,10070,4445,2136,4169000,100
1701030487176,10070,4445,2136,4169000,100
1701030487280,10070,4445,2136,4169000,100
1701030487385,10070,4445,2136,4169000,100
1701030487490,10070,4445,2136,4169000,100
