Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701032357527,12207,4445,2136,4169000,100
1701032357635,12207,4445,2136,4169000,100
1701032357743,12207,4445,2136,4169000,100
1701032357850,12207,4445,2136,4169000,100
1701032357954,12207,4445,2136,4169000,100
1701032358059,12207,4445,2136,4169000,100
1701032358163,12207,4445,2136,4169000,100
1701032358267,12207,4445,2136,4169000,100
1701032358374,12207,4445,2136,4169000,100
1701032358479,12207,4445,2136,4169000,100
1701032358583,12207,4445,2136,4169000,100
1701032358688,12207,4445,2136,4169000,100
1701032358792,12207,4445,2136,4169000,100
1701032358897,12207,4445,2136,4169000,100
1701032359002,12207,4445,2136,4169000,100
1701032359107,12207,4445,2136,4169000,100
1701032359213,12207,4445,2136,4169000,100
1701032359318,12207,4445,2136,4169000,100
1701032359423,12207,4445,2136,4169000,100
1701032359527,12207,4445,2136,4169000,100
1701032359642,12207,4445,2136,4169000,100
1701032359754,12207,4445,2136,4169000,100
1701032359861,12207,4445,2136,4169000,100
1701032359965,12207,4445,2136,4169000,100
1701032360071,12207,4445,2136,4169000,100
1701032360176,12207,4445,2136,4169000,100
1701032360287,12207,4445,2136,4169000,100
1701032360394,12207,4445,2136,4169000,100
1701032360499,12207,4445,2136,4169000,100
1701032360608,12207,4445,2136,4169000,100
1701032360712,12207,4445,2136,4169000,100
1701032360818,12207,4445,2136,4169000,100
1701032360934,12207,4445,2136,4169000,100
1701032361053,12207,4445,2136,4169000,100
1701032361170,12207,4445,2136,4169000,100
1701032361291,12207,4445,2136,4169000,100
1701032361406,12207,4445,2136,4169000,100
1701032361511,12207,4445,2136,4169000,100
1701032361620,12207,4445,2136,4169000,100
1701032361725,12207,4445,2136,4169000,100
1701032361838,12207,4445,2136,4169000,100
1701032361958,12207,4445,2136,4169000,100
1701032362071,12207,4445,2136,4169000,100
1701032362177,12207,4445,2136,4169000,100
1701032362286,12207,4445,2136,4169000,100
1701032362394,12207,4445,2136,4169000,100
