datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sun Nov 26 21:21:59 UTC 2023,35,173960,19.57 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1804800
Sun Nov 26 21:22:01 UTC 2023,35,178373,19.67 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:02 UTC 2023,35,216819,20.86 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:04 UTC 2023,35,174589,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:05 UTC 2023,35,171002,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:07 UTC 2023,35,169044,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:08 UTC 2023,35,169735,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:10 UTC 2023,35,169172,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:11 UTC 2023,35,168640,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1651200
Sun Nov 26 21:22:12 UTC 2023,35,168476,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1516800
Sun Nov 26 21:22:14 UTC 2023,35,169232,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1651200
Sun Nov 26 21:22:15 UTC 2023,35,169397,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:17 UTC 2023,35,171252,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:19 UTC 2023,35,168385,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:20 UTC 2023,35,168471,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:22 UTC 2023,35,168452,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:23 UTC 2023,35,168635,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:24 UTC 2023,35,168623,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:26 UTC 2023,35,168634,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:27 UTC 2023,35,168414,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:29 UTC 2023,35,168486,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:30 UTC 2023,35,168398,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:32 UTC 2023,35,168359,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:33 UTC 2023,35,168383,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:34 UTC 2023,35,168355,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:36 UTC 2023,35,167987,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:37 UTC 2023,35,168023,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:39 UTC 2023,35,167946,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:40 UTC 2023,35,167966,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:42 UTC 2023,35,167946,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:43 UTC 2023,35,167963,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:45 UTC 2023,35,167946,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:46 UTC 2023,35,167945,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:47 UTC 2023,35,167910,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
Sun Nov 26 21:22:49 UTC 2023,35,167901,25.82 KB (0.00 bytes is purgeable),4.18 MB (136.12 KB is purgeable),1804800
