Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701033853551,9155,4444,2136,4169000,100
1701033853656,9155,4444,2136,4169000,100
1701033853761,9155,4444,2136,4169000,100
1701033853865,9155,4444,2136,4169000,100
1701033853969,9155,4444,2136,4169000,100
1701033854073,9155,4444,2136,4169000,100
1701033854179,9155,4444,2136,4169000,100
1701033854282,9155,4444,2136,4169000,100
1701033854387,9155,4444,2136,4169000,100
1701033854492,9155,4444,2136,4169000,100
1701033854597,9155,4444,2136,4169000,100
1701033854701,9155,4444,2136,4169000,100
1701033854805,9155,4444,2136,4169000,100
1701033854910,9155,4444,2136,4169000,100
1701033855014,9155,4444,2136,4169000,100
1701033855118,9155,4444,2136,4169000,100
1701033855222,9155,4444,2136,4169000,100
1701033855326,9155,4444,2136,4169000,100
1701033855431,9155,4444,2136,4169000,100
1701033855537,9155,4444,2136,4169000,100
1701033855642,9155,4444,2136,4169000,100
1701033855746,9155,4444,2136,4169000,100
1701033855851,9155,4444,2136,4169000,100
1701033855955,9155,4444,2136,4169000,100
1701033856060,9155,4444,2136,4169000,100
1701033856163,9155,4444,2136,4169000,100
1701033856268,9155,4444,2136,4169000,100
1701033856373,9155,4444,2136,4169000,100
1701033856481,9155,4444,2136,4169000,100
1701033856591,9155,4444,2136,4169000,100
1701033856698,9155,4444,2136,4169000,100
1701033856804,9155,4444,2136,4169000,100
1701033856909,9155,4444,2136,4169000,100
1701033857016,9155,4444,2136,4169000,100
1701033857120,9155,4444,2136,4169000,100
1701033857225,9155,4444,2136,4169000,100
1701033857329,9155,4444,2136,4169000,100
1701033857436,9155,4444,2136,4169000,100
1701033857542,9155,4444,2136,4169000,100
1701033857647,9155,4444,2136,4169000,100
1701033857754,9155,4444,2136,4169000,100
1701033857886,9155,4444,2136,4169000,100
1701033857988,9155,4444,2136,4169000,100
1701033858105,9155,4444,2136,4169000,100
1701033858215,9155,4444,2136,4169000,100
1701033858323,9155,4444,2136,4169000,100
1701033858427,9155,4444,2136,4169000,100
1701033858539,9155,4444,2136,4169000,100
1701033858652,9155,4444,2136,4169000,100
1701033858763,9155,4444,2136,4169000,100
1701033858877,9155,4444,2136,4169000,100
1701033858982,9155,4444,2136,4169000,100
1701033859085,9155,4444,2136,4169000,100
1701033859192,9155,4444,2136,4169000,100
1701033859308,9155,4444,2136,4169000,100
1701033859412,9155,4444,2136,4169000,100
