device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,2136.0,4444.0,12660.727753303965,6.78055747644,6.786371689149519,0.056264274135682815
pixel5g,com-chrome-canary,1,100.0,4169000.0,2136.0,4444.0,12379.631625441696,6.62583197276,6.627722057281919,0.0550150829434629
pixel5g,com-chrome-canary,2,100.0,4169000.0,2136.0,4444.0,13056.51015004413,6.9870234277800005,6.987377540404816,0.05802313110679612
pixel5g,com-chrome-canary,3,100.0,4169000.0,2136.0,4444.0,12020.689929328622,6.434936573098,6.4338983017725795,0.053419946045936396
pixel5g,com-chrome-canary,4,100.0,4169000.0,2136.0,4444.0,11503.57610619469,6.1532980597660005,6.152315240618216,0.0511218922159292
pixel5g,com-chrome-canary,5,100.0,4169000.0,2136.0,4444.0,12303.954946996466,6.582818283448001,6.584855610170021,0.0546787757844523
pixel5g,com-chrome-canary,6,100.0,4169000.0,2136.0,4444.0,11911.688437775816,6.3796361948,6.377886013111144,0.05293554341747572
pixel5g,com-chrome-canary,7,100.0,4169000.0,2136.0,4444.0,12489.430837004405,6.705138092466,6.7054321376371036,0.05550303063964758
pixel5g,com-chrome-canary,8,100.0,4169000.0,2136.0,4444.0,11022.600526777875,5.917794303608,5.9234430129055315,0.048984436741000885
pixel5g,com-chrome-canary,9,100.0,4169000.0,2136.0,4444.0,12677.863195057369,6.788973521418001,6.791950798729631,0.05634042403883495
