datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sun Nov 26 21:40:13 UTC 2023,76,174757,19.85 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1804800
Sun Nov 26 21:40:14 UTC 2023,76,184998,19.95 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:16 UTC 2023,76,167530,19.95 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:18 UTC 2023,76,206399,26.99 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:19 UTC 2023,76,180896,26.99 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:20 UTC 2023,76,179784,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:22 UTC 2023,76,168766,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:23 UTC 2023,76,168538,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:25 UTC 2023,76,169183,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:26 UTC 2023,76,169042,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:27 UTC 2023,76,170372,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:29 UTC 2023,76,170332,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:30 UTC 2023,76,170059,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:32 UTC 2023,76,170055,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:33 UTC 2023,76,169927,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:34 UTC 2023,76,169945,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:36 UTC 2023,76,169993,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:37 UTC 2023,76,170073,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:39 UTC 2023,76,170089,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:40 UTC 2023,76,170077,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:42 UTC 2023,76,170008,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:43 UTC 2023,76,170140,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:44 UTC 2023,76,169756,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:46 UTC 2023,76,169780,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:47 UTC 2023,76,169752,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 21:40:49 UTC 2023,76,169776,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:50 UTC 2023,76,169756,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:52 UTC 2023,76,169756,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:53 UTC 2023,76,169772,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:55 UTC 2023,76,169756,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sun Nov 26 21:40:56 UTC 2023,76,169772,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:57 UTC 2023,76,169756,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:40:59 UTC 2023,76,169772,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:41:00 UTC 2023,76,169756,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 21:41:02 UTC 2023,76,169773,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:41:03 UTC 2023,76,169744,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:41:05 UTC 2023,76,169761,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 21:41:06 UTC 2023,76,169740,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:41:08 UTC 2023,76,169740,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sun Nov 26 21:41:09 UTC 2023,76,169764,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sun Nov 26 21:41:10 UTC 2023,76,169740,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 21:41:12 UTC 2023,76,168523,28.18 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
