Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701035481052,12207,4444,2136,4169000,100
1701035481160,12207,4444,2136,4169000,100
1701035481267,12207,4444,2136,4169000,100
1701035481371,12207,4444,2136,4169000,100
1701035481476,12207,4444,2136,4169000,100
1701035481580,12207,4444,2136,4169000,100
1701035481686,12207,4444,2136,4169000,100
1701035481790,12207,4444,2136,4169000,100
1701035481896,12207,4444,2136,4169000,100
1701035482002,12207,4444,2136,4169000,100
1701035482115,12207,4444,2136,4169000,100
1701035482224,12207,4444,2136,4169000,100
1701035482334,12207,4444,2136,4169000,100
1701035482441,12207,4444,2136,4169000,100
1701035482551,12207,4444,2136,4169000,100
1701035482668,12207,4444,2136,4169000,100
1701035482772,12207,4444,2136,4169000,100
1701035482885,12207,4444,2136,4169000,100
1701035483001,12207,4444,2136,4169000,100
1701035483108,12207,4444,2136,4169000,100
1701035483218,12207,4444,2136,4169000,100
1701035483325,12207,4444,2136,4169000,100
1701035483441,12207,4444,2136,4169000,100
1701035483546,12207,4444,2136,4169000,100
1701035483655,12207,4444,2136,4169000,100
1701035483769,10986,4444,2136,4169000,100
1701035483877,10986,4444,2136,4169000,100
1701035483990,10986,4444,2136,4169000,100
1701035484105,10986,4444,2136,4169000,100
1701035484215,10986,4444,2136,4169000,100
1701035484334,10986,4444,2136,4169000,100
1701035484444,10986,4444,2136,4169000,100
1701035484556,10986,4444,2136,4169000,100
1701035484663,10986,4444,2136,4169000,100
1701035484775,10986,4444,2136,4169000,100
1701035484880,10986,4444,2136,4169000,100
1701035484987,10986,4444,2136,4169000,100
1701035485095,10986,4444,2136,4169000,100
1701035485201,10986,4444,2136,4169000,100
1701035485312,10986,4444,2136,4169000,100
1701035485417,10986,4444,2136,4169000,100
1701035485523,10986,4444,2136,4169000,100
1701035485629,10986,4444,2136,4169000,100
1701035485737,10986,4444,2136,4169000,100
1701035485843,10986,4444,2136,4169000,100
1701035485959,10986,4444,2136,4169000,100
1701035486064,10986,4444,2136,4169000,100
1701035486174,10986,4444,2136,4169000,100
1701035486281,10986,4444,2136,4169000,100
1701035486386,10986,4444,2136,4169000,100
1701035486495,10986,4444,2136,4169000,100
1701035486602,10986,4444,2136,4169000,100
1701035486715,10986,4444,2136,4169000,100
1701035486822,10986,4444,2136,4169000,100
1701035486927,10986,4444,2136,4169000,100
1701035487031,10986,4444,2136,4169000,100
1701035487145,10986,4444,2136,4169000,100
1701035487253,10986,4444,2136,4169000,100
1701035487359,10986,4444,2136,4169000,100
1701035487464,10986,4444,2136,4169000,100
1701035487569,10986,4444,2136,4169000,100
1701035487675,10986,4444,2136,4169000,100
1701035487780,10986,4444,2136,4169000,100
1701035487887,10986,4444,2136,4169000,100
1701035487993,10986,4444,2136,4169000,100
1701035488099,10986,4444,2136,4169000,100
1701035488205,10986,4444,2136,4169000,100
1701035488312,10986,4444,2136,4169000,100
1701035488417,10986,4444,2136,4169000,100
1701035488524,10986,4444,2136,4169000,100
1701035488631,10986,4444,2136,4169000,100
1701035488736,10986,4444,2136,4169000,100
1701035488842,10986,4444,2136,4169000,100
1701035488948,10986,4444,2136,4169000,100
1701035489054,10986,4444,2136,4169000,100
1701035489160,10986,4444,2136,4169000,100
1701035489266,10986,4444,2136,4169000,100
1701035489371,10986,4444,2136,4169000,100
1701035489479,10986,4444,2136,4169000,100
1701035489588,10986,4444,2136,4169000,100
1701035489694,10986,4444,2136,4169000,100
1701035489801,10986,4444,2136,4169000,100
1701035489909,10986,4444,2136,4169000,100
1701035490016,10986,4444,2136,4169000,100
1701035490123,10986,4444,2136,4169000,100
1701035490228,10986,4444,2136,4169000,100
1701035490332,10986,4444,2136,4169000,100
1701035490437,10986,4444,2136,4169000,100
1701035490543,10986,4444,2136,4169000,100
1701035490649,10986,4444,2136,4169000,100
1701035490755,10986,4444,2136,4169000,100
1701035490861,10986,4444,2136,4169000,100
1701035490965,10986,4444,2136,4169000,100
1701035491072,10986,4444,2136,4169000,100
1701035491180,10986,4444,2136,4169000,100
1701035491287,10986,4444,2136,4169000,100
1701035491395,10986,4444,2136,4169000,100
1701035491501,10986,4444,2136,4169000,100
1701035491608,10986,4444,2136,4169000,100
1701035491716,10986,4444,2136,4169000,100
1701035491821,10986,4444,2136,4169000,100
1701035491928,10986,4444,2136,4169000,100
1701035492034,10986,4444,2136,4169000,100
1701035492142,10986,4444,2136,4169000,100
1701035492247,10986,4444,2136,4169000,100
1701035492354,10986,4444,2136,4169000,100
1701035492460,10986,4444,2136,4169000,100
1701035492566,10986,4444,2136,4169000,100
1701035492673,10986,4444,2136,4169000,100
1701035492777,10986,4444,2136,4169000,100
1701035492881,10986,4444,2136,4169000,100
1701035492989,10986,4444,2136,4169000,100
1701035493093,10986,4444,2136,4169000,100
1701035493200,10986,4444,2136,4169000,100
1701035493305,10986,4444,2136,4169000,100
1701035493411,10986,4444,2136,4169000,100
1701035493517,10986,4444,2136,4169000,100
1701035493624,10986,4444,2136,4169000,100
1701035493733,10986,4444,2136,4169000,100
1701035493838,10986,4444,2136,4169000,100
1701035493947,10986,4444,2136,4169000,100
1701035494053,10986,4444,2136,4169000,100
1701035494158,10986,4444,2136,4169000,100
1701035494262,10986,4444,2136,4169000,100
1701035494367,10986,4444,2136,4169000,100
1701035494471,10986,4444,2136,4169000,100
1701035494578,10986,4444,2136,4169000,100
1701035494683,10986,4444,2136,4169000,100
1701035494787,10986,4444,2136,4169000,100
1701035494892,10986,4444,2136,4169000,100
1701035494998,10986,4444,2136,4169000,100
1701035495106,10986,4444,2136,4169000,100
1701035495211,10986,4444,2136,4169000,100
1701035495316,10986,4444,2136,4169000,100
1701035495422,10986,4444,2136,4169000,100
1701035495526,10986,4444,2136,4169000,100
1701035495630,10986,4444,2136,4169000,100
1701035495735,10986,4444,2136,4169000,100
1701035495841,10986,4444,2136,4169000,100
1701035495947,10986,4444,2136,4169000,100
1701035496053,10986,4444,2136,4169000,100
1701035496162,10986,4444,2136,4169000,100
1701035496268,10986,4444,2136,4169000,100
1701035496375,10986,4444,2136,4169000,100
1701035496483,10986,4444,2136,4169000,100
1701035496588,10986,4444,2136,4169000,100
1701035496693,10986,4444,2136,4169000,100
1701035496799,10986,4444,2136,4169000,100
1701035496906,10986,4444,2136,4169000,100
1701035497012,10986,4444,2136,4169000,100
1701035497117,10986,4444,2136,4169000,100
1701035497225,10986,4444,2136,4169000,100
1701035497331,10986,4444,2136,4169000,100
1701035497437,10986,4444,2136,4169000,100
1701035497544,10986,4444,2136,4169000,100
1701035497651,10986,4444,2136,4169000,100
1701035497757,10986,4444,2136,4169000,100
1701035497862,10986,4444,2136,4169000,100
1701035497967,10986,4444,2136,4169000,100
1701035498072,10986,4444,2136,4169000,100
1701035498180,10986,4444,2136,4169000,100
1701035498284,10986,4444,2136,4169000,100
1701035498389,10986,4444,2136,4169000,100
1701035498493,10986,4444,2136,4169000,100
1701035498599,10986,4444,2136,4169000,100
1701035498705,10986,4444,2136,4169000,100
1701035498812,10986,4444,2136,4169000,100
1701035498919,10986,4444,2136,4169000,100
1701035499025,10986,4444,2136,4169000,100
1701035499134,10986,4444,2136,4169000,100
1701035499238,10986,4444,2136,4169000,100
1701035499345,10986,4444,2136,4169000,100
1701035499450,10986,4444,2136,4169000,100
1701035499558,10986,4444,2136,4169000,100
1701035499663,13427,4444,2136,4169000,100
1701035499770,13427,4444,2136,4169000,100
1701035499875,13427,4444,2136,4169000,100
1701035499982,13427,4444,2136,4169000,100
1701035500088,13427,4444,2136,4169000,100
1701035500193,13427,4444,2136,4169000,100
1701035500299,13427,4444,2136,4169000,100
1701035500406,13427,4444,2136,4169000,100
1701035500514,13427,4444,2136,4169000,100
1701035500619,13427,4444,2136,4169000,100
1701035500727,13427,4444,2136,4169000,100
1701035500834,13427,4444,2136,4169000,100
1701035500940,13427,4444,2136,4169000,100
