datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sun Nov 26 22:23:08 UTC 2023,33,172896,19.57 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1804800
Sun Nov 26 22:23:10 UTC 2023,33,158867,19.67 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 22:23:11 UTC 2023,35,198887,19.67 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 22:23:13 UTC 2023,35,198666,25.35 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 22:23:14 UTC 2023,35,188797,26.55 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 22:23:15 UTC 2023,35,169132,26.55 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 22:23:17 UTC 2023,35,167910,26.55 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 22:23:18 UTC 2023,35,167926,26.55 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 22:23:20 UTC 2023,35,168190,26.55 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 22:23:21 UTC 2023,35,168130,26.55 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Sun Nov 26 22:23:23 UTC 2023,35,169439,26.55 KB (0.00 bytes is purgeable),4.43 MB (119.11 KB is purgeable),1804800
Sun Nov 26 22:23:24 UTC 2023,35,175288,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 22:23:26 UTC 2023,35,170822,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 22:23:27 UTC 2023,35,169979,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 22:23:28 UTC 2023,35,169304,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 22:23:29 UTC 2023,35,169308,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 22:23:31 UTC 2023,35,169308,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 22:23:33 UTC 2023,35,169184,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 22:23:34 UTC 2023,35,169116,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 22:23:36 UTC 2023,35,169128,26.55 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
