Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701036061360,6103,4443,2136,4169000,100
1701036061473,6103,4443,2136,4169000,100
1701036061578,6103,4443,2136,4169000,100
1701036061689,6103,4443,2136,4169000,100
1701036061793,6103,4443,2136,4169000,100
1701036061902,6103,4443,2136,4169000,100
1701036062006,6103,4443,2136,4169000,100
1701036062111,6103,4443,2136,4169000,100
1701036062215,6103,4443,2136,4169000,100
1701036062319,6103,4443,2136,4169000,100
1701036062426,6103,4443,2136,4169000,100
1701036062539,6103,4443,2136,4169000,100
1701036062642,6103,4443,2136,4169000,100
1701036062749,6103,4443,2136,4169000,100
1701036062854,6103,4443,2136,4169000,100
1701036062960,6103,4443,2136,4169000,100
1701036063064,6103,4443,2136,4169000,100
1701036063168,6103,4443,2136,4169000,100
1701036063277,6103,4443,2136,4169000,100
1701036063385,6103,4443,2136,4169000,100
1701036063490,6103,4443,2136,4169000,100
1701036063597,6103,4443,2136,4169000,100
1701036063701,6103,4443,2136,4169000,100
1701036063807,6103,4443,2136,4169000,100
1701036063913,6103,4443,2136,4169000,100
1701036064019,6103,4443,2136,4169000,100
1701036064140,6103,4443,2136,4169000,100
1701036064255,6103,4443,2136,4169000,100
1701036064360,6103,4443,2136,4169000,100
1701036064468,6103,4443,2136,4169000,100
1701036064582,6103,4443,2136,4169000,100
1701036064693,6103,4443,2136,4169000,100
1701036064805,6103,4443,2136,4169000,100
1701036064914,6103,4443,2136,4169000,100
1701036065024,6103,4443,2136,4169000,100
1701036065129,6103,4443,2136,4169000,100
1701036065241,6103,4443,2136,4169000,100
1701036065347,6103,4443,2136,4169000,100
1701036065458,6103,4443,2136,4169000,100
1701036065563,6103,4443,2136,4169000,100
1701036065670,6103,4443,2136,4169000,100
1701036065786,6103,4443,2136,4169000,100
1701036065890,6103,4443,2136,4169000,100
1701036065996,6103,4443,2136,4169000,100
1701036066108,6103,4443,2136,4169000,100
1701036066214,6103,4443,2136,4169000,100
1701036066322,6103,4443,2136,4169000,100
1701036066434,6103,4443,2136,4169000,100
1701036066543,6103,4443,2136,4169000,100
1701036066648,6103,4443,2136,4169000,100
1701036066752,6103,4443,2136,4169000,100
1701036066857,6103,4443,2136,4169000,100
1701036066961,6103,4443,2136,4169000,100
1701036067066,6103,4443,2136,4169000,100
1701036067172,6103,4443,2136,4169000,100
1701036067278,6103,4443,2136,4169000,100
1701036067384,6103,4443,2136,4169000,100
1701036067488,6103,4443,2136,4169000,100
1701036067594,6103,4443,2136,4169000,100
1701036067699,6103,4443,2136,4169000,100
1701036067805,6103,4443,2136,4169000,100
1701036067910,6103,4443,2136,4169000,100
1701036068015,6103,4443,2136,4169000,100
1701036068120,6103,4443,2136,4169000,100
1701036068224,6103,4443,2136,4169000,100
1701036068329,6103,4443,2136,4169000,100
1701036068433,6103,4443,2136,4169000,100
1701036068537,6103,4443,2136,4169000,100
1701036068642,6103,4443,2136,4169000,100
1701036068750,6103,4443,2136,4169000,100
1701036068855,6103,4443,2136,4169000,100
1701036068960,6103,4443,2136,4169000,100
1701036069069,6103,4443,2136,4169000,100
1701036069175,6103,4443,2136,4169000,100
1701036069279,6103,4443,2136,4169000,100
1701036069384,6103,4443,2136,4169000,100
1701036069489,6103,4443,2136,4169000,100
1701036069593,6103,4443,2136,4169000,100
1701036069697,6103,4443,2136,4169000,100
1701036069802,6103,4443,2136,4169000,100
1701036069906,6103,4443,2136,4169000,100
1701036070011,6103,4443,2136,4169000,100
1701036070116,6103,4443,2136,4169000,100
1701036070223,6103,4443,2136,4169000,100
1701036070330,6103,4443,2136,4169000,100
1701036070436,6103,4443,2136,4169000,100
1701036070542,6103,4443,2136,4169000,100
1701036070646,6103,4443,2136,4169000,100
1701036070751,6103,4443,2136,4169000,100
1701036070858,6103,4443,2136,4169000,100
1701036070963,6103,4443,2136,4169000,100
1701036071068,6103,4443,2136,4169000,100
1701036071172,6103,4443,2136,4169000,100
1701036071276,6103,4443,2136,4169000,100
1701036071386,6103,4443,2136,4169000,100
1701036071495,6103,4443,2136,4169000,100
1701036071602,6103,4443,2136,4169000,100
1701036071713,6103,4443,2136,4169000,100
1701036071825,6103,4443,2136,4169000,100
1701036071934,6103,4443,2136,4169000,100
1701036072043,6103,4443,2136,4169000,100
1701036072163,6103,4443,2136,4169000,100
1701036072273,6103,4443,2136,4169000,100
1701036072384,6103,4443,2136,4169000,100
1701036072495,6103,4443,2136,4169000,100
1701036072606,6103,4443,2136,4169000,100
1701036072713,6103,4443,2136,4169000,100
1701036072828,6103,4443,2136,4169000,100
1701036072941,6103,4443,2136,4169000,100
1701036073052,6103,4443,2136,4169000,100
1701036073159,6103,4443,2136,4169000,100
1701036073268,6103,4443,2136,4169000,100
1701036073382,6103,4443,2136,4169000,100
1701036073486,6103,4443,2136,4169000,100
1701036073594,6103,4443,2136,4169000,100
1701036073702,6103,4443,2136,4169000,100
1701036073814,6103,4443,2136,4169000,100
1701036073924,6103,4443,2136,4169000,100
1701036074030,6103,4443,2136,4169000,100
1701036074134,6103,4443,2136,4169000,100
1701036074238,6103,4443,2136,4169000,100
1701036074343,6103,4443,2136,4169000,100
1701036074447,6103,4443,2136,4169000,100
1701036074554,6103,4443,2136,4169000,100
1701036074660,6103,4443,2136,4169000,100
1701036074764,6103,4443,2136,4169000,100
1701036074869,6103,4443,2136,4169000,100
1701036074973,6103,4443,2136,4169000,100
1701036075077,6103,4443,2136,4169000,100
1701036075181,6103,4443,2136,4169000,100
1701036075285,11291,4443,2136,4169000,100
1701036075390,11291,4443,2136,4169000,100
1701036075494,11291,4443,2136,4169000,100
1701036075598,11291,4443,2136,4169000,100
1701036075701,11291,4443,2136,4169000,100
1701036075809,11291,4443,2136,4169000,100
1701036075915,11291,4443,2136,4169000,100
1701036076019,11291,4443,2136,4169000,100
1701036076124,11291,4443,2136,4169000,100
1701036076228,11291,4443,2136,4169000,100
1701036076333,11291,4443,2136,4169000,100
