device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,2136.0,4442.0,12431.389232127096,6.672590131414,6.672370948459325,0.05522023096910856
pixel5g,com-chrome-canary,1,100.0,4169000.0,2136.0,4442.0,14248.81914893617,7.621229441561001,7.621140793559364,0.06329325465957449
pixel5g,com-chrome-canary,2,100.0,4169000.0,2136.0,4442.0,11242.833035714286,6.004067661112001,6.02414257723689,0.04994066434464286
pixel5g,com-chrome-canary,3,100.0,4169000.0,2136.0,4442.0,14026.228241563054,7.516598353661001,7.518533938825014,0.0623045058490231
pixel5g,com-chrome-canary,4,100.0,4169000.0,2136.0,4442.0,14575.578111209179,7.8048605955140005,7.807306561129358,0.06474471796999119
pixel5g,com-chrome-canary,5,100.0,4169000.0,2136.0,4442.0,14631.917406749555,7.831420002024,7.832349707894019,0.06499497712078152
pixel5g,com-chrome-canary,6,100.0,4169000.0,2136.0,4442.0,13518.380697050938,7.261837804626,7.2653458559888255,0.06004864705630027
pixel5g,com-chrome-canary,7,100.0,4169000.0,2136.0,4442.0,13007.213830755232,6.952574983892,6.954858692652841,0.05777804383621474
pixel5g,com-chrome-canary,8,100.0,4169000.0,2136.0,4442.0,12535.130921619293,13.828663882725001,13.830596676825524,0.05602879778983635
pixel5g,com-chrome-canary,9,100.0,4169000.0,2136.0,4442.0,14811.359292035399,16.256109082048003,16.263336187068866,0.06579205797522124
