datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sun Nov 26 22:41:28 UTC 2023,20,158854,19.76 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1363200
Sun Nov 26 22:41:30 UTC 2023,20,168433,19.85 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:31 UTC 2023,20,166252,19.85 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:33 UTC 2023,20,168525,25.89 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:35 UTC 2023,20,171217,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:36 UTC 2023,20,159344,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:38 UTC 2023,20,156036,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:39 UTC 2023,20,156294,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:40 UTC 2023,20,159036,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:42 UTC 2023,20,174557,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:44 UTC 2023,20,174335,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:45 UTC 2023,20,173311,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:47 UTC 2023,20,173275,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:48 UTC 2023,20,173195,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:50 UTC 2023,20,173163,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:51 UTC 2023,20,173183,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:53 UTC 2023,20,173411,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:54 UTC 2023,20,173439,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:56 UTC 2023,20,173411,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:57 UTC 2023,20,173251,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:41:59 UTC 2023,20,173204,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:42:00 UTC 2023,20,173211,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:42:02 UTC 2023,20,173191,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:42:03 UTC 2023,20,172824,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 22:42:05 UTC 2023,20,172811,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
