Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701037694028,7019,4442,2136,4169000,100
1701037694134,7019,4442,2136,4169000,100
1701037694239,7019,4442,2136,4169000,100
1701037694343,7019,4442,2136,4169000,100
1701037694454,7019,4442,2136,4169000,100
1701037694560,7019,4442,2136,4169000,100
1701037694665,7019,4442,2136,4169000,100
1701037694770,7019,4442,2136,4169000,100
1701037694874,7019,4442,2136,4169000,100
1701037694980,7019,4442,2136,4169000,100
1701037695089,7019,4442,2136,4169000,100
1701037695193,7019,4442,2136,4169000,100
1701037695301,7019,4442,2136,4169000,100
1701037695405,7019,4442,2136,4169000,100
1701037695512,7019,4442,2136,4169000,100
1701037695620,7019,4442,2136,4169000,100
1701037695727,7019,4442,2136,4169000,100
1701037695836,7019,4442,2136,4169000,100
1701037695944,7019,4442,2136,4169000,100
1701037696054,7019,4442,2136,4169000,100
1701037696162,7019,4442,2136,4169000,100
1701037696271,7019,4442,2136,4169000,100
1701037696379,7019,4442,2136,4169000,100
1701037696484,7019,4442,2136,4169000,100
1701037696589,7019,4442,2136,4169000,100
1701037696693,7019,4442,2136,4169000,100
1701037696802,7019,4442,2136,4169000,100
1701037696908,7019,4442,2136,4169000,100
1701037697016,7019,4442,2136,4169000,100
1701037697125,7019,4442,2136,4169000,100
1701037697232,7019,4442,2136,4169000,100
1701037697339,7019,4442,2136,4169000,100
1701037697448,7019,4442,2136,4169000,100
1701037697572,7019,4442,2136,4169000,100
1701037697682,7019,4442,2136,4169000,100
1701037697794,7019,4442,2136,4169000,100
1701037697900,7019,4442,2136,4169000,100
1701037698010,7019,4442,2136,4169000,100
1701037698114,7019,4442,2136,4169000,100
1701037698219,7019,4442,2136,4169000,100
1701037698334,7019,4442,2136,4169000,100
1701037698438,7019,4442,2136,4169000,100
1701037698547,7019,4442,2136,4169000,100
1701037698654,7019,4442,2136,4169000,100
1701037698765,7019,4442,2136,4169000,100
1701037698878,7019,4442,2136,4169000,100
1701037698997,7019,4442,2136,4169000,100
1701037699111,7019,4442,2136,4169000,100
1701037699222,7019,4442,2136,4169000,100
1701037699336,7019,4442,2136,4169000,100
1701037699450,7019,4442,2136,4169000,100
