datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sun Nov 26 23:23:29 UTC 2023,39,151196,19.67 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1363200
Sun Nov 26 23:23:30 UTC 2023,39,153775,19.76 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:32 UTC 2023,39,167092,19.76 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:33 UTC 2023,39,174269,25.63 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:35 UTC 2023,39,160737,25.63 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:37 UTC 2023,39,165858,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:38 UTC 2023,39,153117,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:40 UTC 2023,39,150598,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:41 UTC 2023,39,165868,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),902400
Sun Nov 26 23:23:43 UTC 2023,39,166234,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:45 UTC 2023,39,165718,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:46 UTC 2023,39,165086,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:48 UTC 2023,39,165106,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:49 UTC 2023,39,164970,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:50 UTC 2023,39,164974,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:52 UTC 2023,39,164942,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:53 UTC 2023,39,165102,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:55 UTC 2023,39,165086,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:56 UTC 2023,39,165093,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:58 UTC 2023,39,164830,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
Sun Nov 26 23:23:59 UTC 2023,39,164724,26.83 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1363200
