Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701040740155,11901,4442,2136,4169000,100
1701040740265,11901,4442,2136,4169000,100
1701040740383,11901,4442,2136,4169000,100
1701040740492,11901,4442,2136,4169000,100
1701040740598,11901,4442,2136,4169000,100
1701040740705,11901,4442,2136,4169000,100
1701040740813,11901,4442,2136,4169000,100
1701040740927,11901,4442,2136,4169000,100
1701040741034,11901,4442,2136,4169000,100
1701040741156,11901,4442,2136,4169000,100
1701040741264,11901,4442,2136,4169000,100
1701040741371,11901,4442,2136,4169000,100
1701040741475,11901,4442,2136,4169000,100
1701040741580,11901,4442,2136,4169000,100
1701040741685,11901,4442,2136,4169000,100
1701040741790,11901,4442,2136,4169000,100
1701040741895,11901,4442,2136,4169000,100
1701040742009,11901,4442,2136,4169000,100
1701040742115,11901,4442,2136,4169000,100
1701040742220,11901,4442,2136,4169000,100
1701040742325,11901,4442,2136,4169000,100
1701040742431,11901,4442,2136,4169000,100
1701040742538,11901,4442,2136,4169000,100
1701040742644,11901,4442,2136,4169000,100
1701040742732,11901,4442,2136,4169000,100
1701040742761,11901,4442,2136,4169000,100
1701040742864,11901,4442,2136,4169000,100
1701040742873,11901,4442,2136,4169000,100
1701040742977,11901,4442,2136,4169000,100
1701040742984,11901,4442,2136,4169000,100
1701040743090,11901,4442,2136,4169000,100
1701040743092,11901,4442,2136,4169000,100
1701040743210,11901,4442,2136,4169000,100
1701040743211,11901,4442,2136,4169000,100
1701040743321,11901,4442,2136,4169000,100
1701040743322,11901,4442,2136,4169000,100
1701040743430,11901,4442,2136,4169000,100
1701040743430,11901,4442,2136,4169000,100
1701040743537,11901,4442,2136,4169000,100
1701040743538,11901,4442,2136,4169000,100
1701040743645,11901,4442,2136,4169000,100
1701040743647,11901,4442,2136,4169000,100
1701040743752,11901,4442,2136,4169000,100
1701040743754,11901,4442,2136,4169000,100
1701040743858,11901,4442,2136,4169000,100
1701040743862,11901,4442,2136,4169000,100
1701040743966,11901,4442,2136,4169000,100
1701040743968,11901,4442,2136,4169000,100
1701040744073,11291,4442,2136,4169000,100
1701040744079,11291,4442,2136,4169000,100
1701040744178,11291,4442,2136,4169000,100
