device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,2136.0,4442.0,10905.543183742591,7.437858728730999,7.43652395375704,0.05633602231583404
pixel5g,com-chrome-canary,1,100.0,4169000.0,2136.0,4442.0,11298.666878306878,13.054685651676,13.004087295361177,0.050188678273439154
pixel5g,com-chrome-canary,2,100.0,4169000.0,2136.0,4442.0,12777.550105708246,14.688279802681,14.724866451502624,0.05675787756955601
pixel5g,com-chrome-canary,3,100.0,4169000.0,2136.0,4442.0,11624.885460693153,6.847785252183,6.84308510373841,0.05163774121639899
pixel5g,com-chrome-canary,4,100.0,4169000.0,2136.0,4442.0,12170.814611486487,7.16146049586,7.1383925701390964,0.05406275850422297
pixel5g,com-chrome-canary,5,100.0,4169000.0,2136.0,4442.0,11554.355329949238,6.8042623318510005,6.784475917502375,0.05132444637563452
pixel5g,com-chrome-canary,6,100.0,4169000.0,2136.0,4442.0,11392.614183199663,6.692615520277999,6.6976524619124405,0.05060599220177289
pixel5g,com-chrome-canary,7,100.0,4169000.0,2136.0,4442.0,12910.784139100933,7.574758405807,7.5851864374812195,0.05734970314588634
pixel5g,com-chrome-canary,8,100.0,4169000.0,2136.0,4442.0,7913.048972452995,9.164793816192,9.115423327460075,0.03514976353563621
pixel5g,com-chrome-canary,9,100.0,4169000.0,2136.0,4442.0,11608.585138004246,6.821449005090001,6.79837379052868,0.051565335183014864
