datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Sun Nov 26 23:37:18 UTC 2023,7.1,186406,19.57 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1804800
Sun Nov 26 23:37:19 UTC 2023,36,170931,19.67 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:21 UTC 2023,36,211780,19.67 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:22 UTC 2023,36,197467,24.98 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:23 UTC 2023,36,193266,24.98 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:24 UTC 2023,36,197974,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:26 UTC 2023,36,179552,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:28 UTC 2023,36,179040,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:29 UTC 2023,36,179152,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:31 UTC 2023,36,179088,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:32 UTC 2023,72,180483,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:33 UTC 2023,72,179624,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:35 UTC 2023,72,179917,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:36 UTC 2023,72,179916,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:38 UTC 2023,72,179609,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:39 UTC 2023,42,179585,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:41 UTC 2023,42,179481,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:42 UTC 2023,42,179733,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:44 UTC 2023,42,179744,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:45 UTC 2023,42,179432,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:47 UTC 2023,42,179332,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:48 UTC 2023,42,179436,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:49 UTC 2023,42,178795,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:51 UTC 2023,35,178824,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:52 UTC 2023,35,178800,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:54 UTC 2023,35,178808,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:55 UTC 2023,35,178784,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 23:37:57 UTC 2023,35,178795,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:37:58 UTC 2023,35,178771,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:00 UTC 2023,31,178799,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1651200
Sun Nov 26 23:38:01 UTC 2023,31,178759,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:03 UTC 2023,31,178762,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:04 UTC 2023,31,178787,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:05 UTC 2023,31,178766,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1516800
Sun Nov 26 23:38:07 UTC 2023,31,178782,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:08 UTC 2023,29,178774,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:10 UTC 2023,29,178739,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:11 UTC 2023,29,178715,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1363200
Sun Nov 26 23:38:13 UTC 2023,29,178742,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:14 UTC 2023,29,178715,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:16 UTC 2023,29,178723,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:17 UTC 2023,29,178911,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:18 UTC 2023,29,178895,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:20 UTC 2023,29,178963,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Sun Nov 26 23:38:21 UTC 2023,29,178767,26.17 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
