Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701042369997,12817,4442,2136,4169000,100
1701042370102,12817,4442,2136,4169000,100
1701042370208,12817,4442,2136,4169000,100
1701042370312,12817,4442,2136,4169000,100
1701042370417,12817,4442,2136,4169000,100
1701042370522,12817,4442,2136,4169000,100
1701042370632,12817,4442,2136,4169000,100
1701042370739,12817,4442,2136,4169000,100
1701042370842,12817,4442,2136,4169000,100
1701042370948,12817,4442,2136,4169000,100
1701042371053,12817,4442,2136,4169000,100
1701042371161,12817,4442,2136,4169000,100
1701042371275,12817,4442,2136,4169000,100
1701042371384,12817,4442,2136,4169000,100
1701042371489,12817,4442,2136,4169000,100
1701042371594,12817,4442,2136,4169000,100
1701042371697,12817,4442,2136,4169000,100
1701042371803,12817,4442,2136,4169000,100
1701042371907,12817,4442,2136,4169000,100
1701042372016,12817,4442,2136,4169000,100
1701042372120,12817,4442,2136,4169000,100
1701042372226,12817,4442,2136,4169000,100
1701042372330,12817,4442,2136,4169000,100
1701042372435,12817,4442,2136,4169000,100
1701042372540,12817,4442,2136,4169000,100
1701042372622,12817,4442,2136,4169000,100
1701042372646,12817,4442,2136,4169000,100
1701042372725,12817,4442,2136,4169000,100
1701042372750,12817,4442,2136,4169000,100
1701042372830,12817,4442,2136,4169000,100
1701042372855,12817,4442,2136,4169000,100
1701042372935,12817,4442,2136,4169000,100
1701042372962,12817,4442,2136,4169000,100
1701042373039,12817,4442,2136,4169000,100
1701042373066,12817,4442,2136,4169000,100
1701042373143,12817,4442,2136,4169000,100
1701042373170,12817,4442,2136,4169000,100
1701042373247,12817,4442,2136,4169000,100
1701042373275,12817,4442,2136,4169000,100
1701042373352,12817,4442,2136,4169000,100
1701042373380,12817,4442,2136,4169000,100
1701042373456,12817,4442,2136,4169000,100
1701042373485,12817,4442,2136,4169000,100
1701042373561,12817,4442,2136,4169000,100
1701042373589,12817,4442,2136,4169000,100
1701042373665,12817,4442,2136,4169000,100
1701042373693,12817,4442,2136,4169000,100
1701042373769,12817,4442,2136,4169000,100
1701042373797,12817,4442,2136,4169000,100
1701042373875,12817,4442,2136,4169000,100
1701042373903,12817,4442,2136,4169000,100
1701042373979,12817,4442,2136,4169000,100
1701042374008,12817,4442,2136,4169000,100
1701042374084,12817,4442,2136,4169000,100
1701042374112,12817,4442,2136,4169000,100
1701042374189,12817,4442,2136,4169000,100
1701042374217,12817,4442,2136,4169000,100
1701042374293,12817,4442,2136,4169000,100
1701042374321,12817,4442,2136,4169000,100
1701042374397,12817,4442,2136,4169000,100
1701042374426,12817,4442,2136,4169000,100
1701042374502,12817,4442,2136,4169000,100
1701042374531,12817,4442,2136,4169000,100
1701042374614,12817,4442,2136,4169000,100
1701042374644,12817,4442,2136,4169000,100
1701042374745,9155,4442,2136,4169000,100
1701042374758,9155,4442,2136,4169000,100
1701042374851,9155,4442,2136,4169000,100
1701042374863,9155,4442,2136,4169000,100
1701042374957,9155,4442,2136,4169000,100
1701042374973,9155,4442,2136,4169000,100
1701042375064,9155,4442,2136,4169000,100
1701042375081,9155,4442,2136,4169000,100
1701042375170,9155,4442,2136,4169000,100
1701042375187,9155,4442,2136,4169000,100
1701042375287,9155,4442,2136,4169000,100
1701042375293,9155,4442,2136,4169000,100
1701042375391,9155,4442,2136,4169000,100
1701042375398,9155,4442,2136,4169000,100
1701042375494,9155,4442,2136,4169000,100
1701042375503,9155,4442,2136,4169000,100
1701042375613,9155,4442,2136,4169000,100
1701042375614,9155,4442,2136,4169000,100
1701042375727,9155,4442,2136,4169000,100
1701042375729,9155,4442,2136,4169000,100
1701042375847,9155,4442,2136,4169000,100
1701042375851,9155,4442,2136,4169000,100
1701042375962,9155,4442,2136,4169000,100
1701042375965,9155,4442,2136,4169000,100
1701042376072,9155,4442,2136,4169000,100
1701042376074,9155,4442,2136,4169000,100
1701042376179,9155,4442,2136,4169000,100
1701042376179,9155,4442,2136,4169000,100
1701042376296,9155,4442,2136,4169000,100
1701042376304,9155,4442,2136,4169000,100
1701042376417,9155,4442,2136,4169000,100
1701042376425,9155,4442,2136,4169000,100
1701042376525,9155,4442,2136,4169000,100
1701042376536,9155,4442,2136,4169000,100
1701042376635,9155,4442,2136,4169000,100
1701042376649,9155,4442,2136,4169000,100
1701042376744,9155,4442,2136,4169000,100
1701042376757,9155,4442,2136,4169000,100
1701042376853,9155,4442,2136,4169000,100
1701042376868,9155,4442,2136,4169000,100
1701042376959,9155,4442,2136,4169000,100
1701042376971,9155,4442,2136,4169000,100
1701042377066,9155,4442,2136,4169000,100
1701042377079,9155,4442,2136,4169000,100
1701042377175,9155,4442,2136,4169000,100
1701042377194,9155,4442,2136,4169000,100
1701042377286,9155,4442,2136,4169000,100
1701042377320,9155,4442,2136,4169000,100
1701042377403,9155,4442,2136,4169000,100
1701042377428,9155,4442,2136,4169000,100
1701042377513,9155,4442,2136,4169000,100
1701042377536,9155,4442,2136,4169000,100
1701042377622,9155,4442,2136,4169000,100
1701042377655,9155,4442,2136,4169000,100
1701042377732,9155,4442,2136,4169000,100
1701042377766,9155,4442,2136,4169000,100
1701042377848,9155,4442,2136,4169000,100
1701042377892,9155,4442,2136,4169000,100
1701042377957,9155,4442,2136,4169000,100
1701042377999,9155,4442,2136,4169000,100
1701042378079,9155,4442,2136,4169000,100
1701042378129,9155,4442,2136,4169000,100
1701042378189,9155,4442,2136,4169000,100
1701042378240,9155,4442,2136,4169000,100
1701042378300,9155,4442,2136,4169000,100
1701042378354,9155,4442,2136,4169000,100
